index,ilid,iid,tid,uprice,quantity
469.0,470.0,88.0,2832.0,1.99,1.0
472.0,473.0,88.0,2850.0,1.99,1.0
475.0,476.0,88.0,2868.0,1.99,1.0
526.0,527.0,96.0,3214.0,1.99,1.0
527.0,528.0,96.0,3223.0,1.99,1.0
532.0,533.0,99.0,3250.0,1.99,1.0
1097.0,1098.0,201.0,3200.0,1.99,1.0
1099.0,1100.0,202.0,3223.0,1.99,1.0
1667.0,1668.0,306.0,3177.0,1.99,1.0
1669.0,1670.0,307.0,3200.0,1.99,1.0
1677.0,1678.0,310.0,3214.0,1.99,1.0
1685.0,1686.0,312.0,3250.0,1.99,1.0
2189.0,2190.0,404.0,2832.0,1.99,1.0
2191.0,2192.0,404.0,2850.0,1.99,1.0
2193.0,2194.0,404.0,2868.0,1.99,1.0
2239.0,2240.0,412.0,3177.0,1.99,1.0
