index,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
0,Arab World,ARB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,31.2853842116054
1,Caribbean small states,CSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,31.5974898513652
2,Central Europe and the Baltics,CEB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,44.5079211390026
3,East Asia & Pacific (all income levels),EAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,22.4711322042954
4,East Asia & Pacific (developing only),EAP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.917678848089302
5,Euro area,EMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,62.09694690167751
6,Europe & Central Asia (all income levels),ECS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,55.37897744532791
7,Europe & Central Asia (developing only),ECA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,38.0661286852531
8,European Union,EUU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,61.212897757742994
9,Fragile and conflict affected situations,FCS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,17.891972253143898
10,Heavily indebted poor countries (HIPC),HPC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,12.2360458011676
11,High income,HIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,62.68033182181272
12,High income: nonOECD,NOC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,56.107863478694895
13,High income: OECD,OEC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,64.2854345248921
14,Latin America & Caribbean (all income levels),LCN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,49.284688388433295
15,Latin America & Caribbean (developing only),LAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,44.8633081654172
16,Least developed countries: UN classification,LDC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,9.61626121218712
17,Low & middle income,LMY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,21.2728938836701
18,Low income,LIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,11.498396251491402
19,Lower middle income,LMC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,19.8105133452822
20,Middle East & North Africa (all income levels),MEA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,34.951333965345995
21,Middle East & North Africa (developing only),MNA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.875011607466995
22,Middle income,MIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,22.053113572467
23,North America,NAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,69.9184025592192
24,OECD members,OED,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,62.480915374846106
25,Other small states,OSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,14.3378436363526
26,Pacific island small states,PSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,22.0437617758986
27,Small states,SST,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,21.1205727918357
28,South Asia,SAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.73554548224
29,Sub-Saharan Africa (all income levels),SSF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,14.6313867340196
30,Sub-Saharan Africa (developing only),SSA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,14.616940830425598
31,Upper middle income,UMC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,24.109480436157305
32,World,WLD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,33.557608124572894
33,Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,8.221
34,Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,30.705
35,Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,30.51
36,American Samoa,ASM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,66.211
37,Andorra,ADO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,58.45
38,Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.435
39,Antigua and Barbuda,ATG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,39.656
40,Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,73.611
41,Armenia,ARM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,51.275
42,Aruba,ABW,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,50.776
43,Australia,AUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,81.529
44,Austria,AUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,64.72
45,Azerbaijan,AZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,52.663
46,Bahamas, The,BHS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,59.712
47,Bahrain,BHR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,82.32
48,Bangladesh,BGD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,5.135
49,Barbados,BRB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,36.777
50,Belarus,BLR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,32.401
51,Belgium,BEL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,92.46
52,Belize,BLZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,54.028
53,Benin,BEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,9.275
54,Bermuda,BMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,100.0
55,Bhutan,BTN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,3.596
56,Bolivia,BOL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,36.762
57,Bosnia and Herzegovina,BIH,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,19.04
58,Botswana,BWA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,3.06
59,Brazil,BRA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,46.139
60,Brunei Darussalam,BRN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,43.401
61,Bulgaria,BGR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,37.1
62,Burkina Faso,BFA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,4.7
63,Burundi,BDI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,2.077
64,Cabo Verde,CPV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,16.679000000000002
65,Cambodia,KHM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,10.285
66,Cameroon,CMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,13.937
