index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Additional_Info,Price
0,Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,19h,2 stops,No info,13882.0
1,IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,5h 25m,1 stop,No info,6218.0
2,IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,4h 45m,1 stop,No info,13302.0
3,SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,09:00,2h 25m,non-stop,No info,3873.0
4,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,15h 30m,1 stop,In-flight meal not included,11087.0
5,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,21h 5m,1 stop,No info,22270.0
6,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,25h 30m,1 stop,In-flight meal not included,11087.0
7,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,7h 50m,1 stop,No info,8625.0
8,Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,13h 15m,1 stop,No info,8907.0
9,IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,2h 35m,non-stop,No info,4174.0
10,Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,2h 15m,non-stop,No info,4667.0
11,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12h 10m,1 stop,In-flight meal not included,9663.0
12,IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,2h 35m,non-stop,No info,4804.0
13,Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,26h 35m,2 stops,No info,14011.0
14,SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,4h 30m,1 stop,No info,5830.0
15,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,22h 35m,1 stop,In-flight meal not included,10262.0
16,Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,23h,2 stops,No info,13381.0
17,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,20h 35m,1 stop,In-flight meal not included,12898.0
18,GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,5h 10m,1 stop,nan,19495.0
19,Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,15h 20m,1 stop,No info,6955.0
20,IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,2h 50m,non-stop,No info,3943.0
21,IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,2h 55m,non-stop,No info,4823.0
22,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,13h 20m,1 stop,In-flight meal not included,7757.0
23,Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,15h 10m,2 stops,No info,13292.0
