Designation,date_of_response,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_USD,Job_Category
Machine Learning Scientist,2020-01-07 00:00:00,SE,FT,20688070.0,JP,JP,S,0.0,248256.84,Machine Learning
Big Data Engineer,2020-09-19 00:00:00,SE,FT,8674985.0,GB,GB,M,50.0,104099.82,Data Engineering
Product Data Analyst,2020-11-21 00:00:00,MI,FT,1591390.0,HN,HN,S,0.0,19096.68,Data Analytics
Machine Learning Engineer,2020-11-29 00:00:00,SE,FT,11935425.0,US,US,L,50.0,143225.1,Machine Learning
Data Analyst,2020-09-07 00:00:00,EN,FT,5729004.0,US,US,L,100.0,68748.048,Data Analytics
Lead Data Scientist,2020-08-04 00:00:00,SE,FT,15118205.0,US,US,S,100.0,181418.46,Data Science
Data Scientist,2020-05-27 00:00:00,MI,FT,2843416.0,HU,HU,L,50.0,34120.992,Data Science
Business Data Analyst,2020-10-13 00:00:00,MI,FT,10741883.0,US,US,L,100.0,128902.596,Data Analytics
Lead Data Engineer,2020-05-23 00:00:00,SE,FT,9946188.0,NZ,NZ,S,50.0,119354.256,Data Engineering
Data Scientist,2020-10-15 00:00:00,MI,FT,3221053.0,IN,IN,L,0.0,38652.636,Data Science
Data Scientist,2020-11-07 00:00:00,EN,FT,3176096.0,FR,FR,M,0.0,38113.152,Data Science
Lead Data Analyst,2020-08-15 00:00:00,MI,FT,6922547.0,US,US,L,100.0,83070.564,Data Analytics
Data Analyst,2020-03-16 00:00:00,MI,FT,6763408.0,US,US,L,100.0,81160.89600000001,Data Analytics
Data Engineer,2020-10-08 00:00:00,EN,FT,3317173.0,JP,JP,S,100.0,39806.076,Data Engineering
Big Data Engineer,2020-05-02 00:00:00,SE,FT,9074663.0,PL,GB,S,100.0,108895.956,Data Engineering
BI Data Analyst,2020-05-24 00:00:00,MI,FT,7797811.0,US,US,M,0.0,93573.732,Data Analytics
Lead Data Scientist,2020-04-19 00:00:00,MI,FT,9150493.0,AE,AE,L,0.0,109805.916,Data Science
Data Engineer,2020-05-11 00:00:00,SE,FT,2666454.0,MX,MX,S,0.0,31997.448,Data Engineering
Business Data Analyst,2020-09-25 00:00:00,EN,CT,7956950.0,US,US,L,100.0,95483.4,Data Analytics
Machine Learning Manager,2020-04-26 00:00:00,SE,FT,9317907.0,CA,CA,L,50.0,111814.884,Machine Learning
Big Data Engineer,2020-08-20 00:00:00,EN,FT,5569865.0,US,US,L,100.0,66838.38,Data Engineering
Data Scientist,2020-07-10 00:00:00,SE,FT,5444782.0,GR,US,L,100.0,65337.384,Data Science
Research Scientist,2020-11-15 00:00:00,MI,FT,35806275.0,US,US,M,0.0,429675.3,Other
Data Analyst,2020-10-09 00:00:00,MI,FT,3720590.0,FR,FR,L,50.0,44647.08,Data Analytics
Data Engineer,2020-08-24 00:00:00,MI,FT,5898487.0,AT,AT,L,50.0,70781.844,Data Engineering
Machine Learning Engineer,2020-02-21 00:00:00,EN,FT,19892375.0,US,US,L,50.0,238708.5,Machine Learning
Machine Learning Engineer,2020-02-04 00:00:00,EN,FT,10980591.0,US,US,S,100.0,131767.092,Machine Learning
Data Engineering Manager,2020-04-10 00:00:00,EX,FT,6352272.0,ES,ES,L,50.0,76227.264,Data Engineering
