id,character,name
17857,Yinsen,Shaun Toub
12052,Virginia "Pepper" Potts,Gwyneth Paltrow
1229,Obadiah Stane / Iron Monger,Jeff Bridges
18288,War Machine,Terrence Howard
57451,Christine Everhart,Leslie Bibb
57452,Raza,Faran Tahir
3223,Tony Stark / Iron Man,Robert Downey Jr.
9048,Agent Phil Coulson,Clark Gregg
173810,Abu Bakaar,Sayed Badreya
6162,J.A.R.V.I.S. (voice),Paul Bettany
15277,Happy Hogan,Jon Favreau
12708,William Ginter Riva,Peter Billingsley
40275,Major Allen,Tim Guinee
2231,Director Nick Fury,Samuel L. Jackson
17200,General Gabriel,Bill Smitrovich
163671,Award Ceremony Narrator (voice),Will Lyman
78299,Guard,Tom Morello
54809,Guard,Marco Khan
944830,Guard,Daston Kalili
1209417,Guard,Ido Ezra
95698,Jimmy,Kevin Foster
1209418,Pratt,Garret Noël
62037,Ramirez,Eileen Weisinger
183439,Ahmed,Ahmed Ahmed
109669,Omar,Fahim Fazli
104669,Howard Stark,Gerard Sanders
1209419,Viper 1,Tim Rigby
195442,Viper 2,Russell Richardson
142213,Amira Ahmed,Nazanin Boniadi
1209702,Colonel Craig,Thomas Craig Plumer
1209703,Dealer at Craps Table,Robert Berkman
183037,Woman at Craps Table,Stacy Stas
1209704,Woman at Craps Table,Lauren Scyphers
214951,Engineer,Frank Nyi
205362,Air Force Officer,Marvin Jordan
203468,Jim Cramer,Jim Cramer
939869,Woman In SUV,Donna Evans
1209705,Kid in SUV,Reid Harper
1209706,Kid in SUV,Summer Kylie Remington
1209707,Kid in SUV,Ava Rose Williams
1209708,Kid in SUV,Vladimir Kubr
1209709,Kid in SUV,Callie Croughwell
1209710,Gulmira Kid,Javan Tahir
206423,Gulmira Mom,Sahar Bibiyan
133121,Reporter,Patrick O'Connell
181895,Reporter,Adam Harrington
62843,Reporter,Meera Simhan
204606,Reporter,Ben Newmark
210842,Flight Attendant,Ricki Lander
205720,Flight Attendant,Jeannine Kaspar
1005698,Flight Attendant,Sarah Cahill
7624,Stan Lee,Stan Lee
1209711,Air Force Lieutenant,Justin Rex
90721,Zorianna Kit,Zorianna Kit
169681,Stan's Girl,Lana Kinnear
1209712,Stan's Girl,Nicole Lindeblad
1209713,Stan's Girl,Masha Lund
169642,Stan's Girl,Gabrielle Tuite
27031,CAOC Analyst,Tim Griffin
34544,CAOC Analyst,Joshua Harto
150669,CAOC Analyst,Micah A. Hauptman
1209714,CAOC Analyst,James Bethea
1209715,Photographer (uncredited),Jeffrey Ashkin
1004624,Georgio (uncredited),Russell Bobbitt
984619,Fireman's Wife (uncredited),Vianessa Castaños
1209716,Gulmira Villager (uncredited),Mike Cochrane
1209717,Dubai Beauty (uncredited),Crystal Marie Denha
970218,Dubai Girl (uncredited),Mellany Gandara
1209718,House wife at Award Ceremony (uncredited),Halla
1202546,Insurgent (uncredited),Rodrick Hersh
1209719,Reporter (uncredited),Kristin J. Hooper
1209720,Dubai Waiter (uncredited),Chris Jalandoni
1209721,Party Guest (uncredited),Steve Janousek
1209722,Dancer in Ballroom (uncredited),Laura Liguori
1089759,Reporter (uncredited),Flavia Manes Rossi
1096679,Village Dad (uncredited),Anthony Martins
1209723,Reporter (uncredited),Robert McMurrer
1209724,Airforce Officer (uncredited),James M. Myers
78434,Dubai Beauty #1 (uncredited),America Olivo
1209725,Staff Sergeant (uncredited),Sylvette Ortiz
1209726,Journalist (uncredited),Brett Padelford
1209727,Voice (uncredited),Ajani Perkins
1209728,Reporter (uncredited),Chris Reid
1209729,News Cameraman (uncredited),Toi Rose
1209730,Rooftop Fireman (uncredited),George F. Watson
1209731,Whiplash One (voice) (uncredited),David Zyler
1429470,Reporter (uncredited),Nick W. Nicholson
