CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Caribbean small states,CSS,1960,4190810,31.59748985
Central Europe and the Baltics,CEB,1960,91401583,44.50792114
East Asia & Pacific (all income levels),EAS,1960,1042475394,22.4711322
East Asia & Pacific (developing only),EAP,1960,896492991,16.91767885
Euro area,EMU,1960,265396501,62.0969469
Europe & Central Asia (all income levels),ECS,1960,667489033,55.37897745
Europe & Central Asia (developing only),ECA,1960,155317369,38.06612869
European Union,EUU,1960,409498462,61.21289776
Fragile and conflict affected situations,FCS,1960,120354582,17.89197225
Heavily indebted poor countries (HIPC),HPC,1960,162491185,12.2360458
High income,HIC,1960,907597507,62.68033182
High income: nonOECD,NOC,1960,186676748,56.10786348
High income: OECD,OEC,1960,720920759,64.28543452
Latin America & Caribbean (all income levels),LCN,1960,220564224,49.28468839
Latin America & Caribbean (developing only),LAC,1960,177682238,44.86330817
Least developed countries: UN classification,LDC,1960,241072814,9.616261212
Low & middle income,LMY,1960,2127373057,21.27289388
Low income,LIC,1960,157188433,11.49839625
Lower middle income,LMC,1960,942911642,19.81051335
Middle East & North Africa (all income levels),MEA,1960,105512645,34.95133397
Middle East & North Africa (developing only),MNA,1960,97869415,33.87501161
Middle income,MIC,1960,1970184624,22.05311357
North America,NAC,1960,198624409,69.91840256
OECD members,OED,1960,786648153,62.48091537
Other small states,OSS,1960,6590560,14.33784364
Pacific island small states,PSS,1960,861378,22.04376178
Small states,SST,1960,11642748,21.12057279
South Asia,SAS,1960,572036107,16.73554548
Sub-Saharan Africa (all income levels),SSF,1960,228268752,14.63138673
Sub-Saharan Africa (developing only),SSA,1960,227974937,14.61694083
Upper middle income,UMC,1960,1027272982,24.10948044
World,WLD,1960,3034970564,33.55760812
Afghanistan,AFG,1960,8994793,8.221
Albania,ALB,1960,1608800,30.705
Algeria,DZA,1960,11124892,30.51
American Samoa,ASM,1960,20012,66.211
Andorra,ADO,1960,13414,58.45
Angola,AGO,1960,5270844,10.435
Antigua and Barbuda,ATG,1960,54681,39.656
Argentina,ARG,1960,20619075,73.611
Armenia,ARM,1960,1867396,51.275
Aruba,ABW,1960,54208,50.776
Australia,AUS,1960,10276477,81.529
Austria,AUT,1960,7047539,64.72
Azerbaijan,AZE,1960,3897889,52.663
Bahamas The,BHS,1960,109526,59.712
Bahrain,BHR,1960,162501,82.32
Bangladesh,BGD,1960,48200702,5.135
Barbados,BRB,1960,230934,36.777
Belarus,BLR,1960,8198000,32.401
Belgium,BEL,1960,9153489,92.46
Belize,BLZ,1960,92068,54.028
Benin,BEN,1960,2431620,9.275
Bermuda,BMU,1960,44400,100
Bhutan,BTN,1960,224108,3.596
Bolivia,BOL,1960,3693451,36.762
Bosnia and Herzegovina,BIH,1960,3214520,19.04
Botswana,BWA,1960,524029,3.06
Brazil,BRA,1960,72493585,46.139
Brunei Darussalam,BRN,1960,81825,43.401
Bulgaria,BGR,1960,7867374,37.1
Burkina Faso,BFA,1960,4829291,4.7
Burundi,BDI,1960,2786740,2.077
Cabo Verde,CPV,1960,202316,16.679
Cambodia,KHM,1960,5722370,10.285
Cameroon,CMR,1960,5361367,13.937
Canada,CAN,1960,17909009,69.061
Cayman Islands,CYM,1960,7867,100
Central African Republic,CAF,1960,1503501,20.1
Chad,TCD,1960,3002596,6.695
Channel Islands,CHI,1960,109419,38.7
Chile,CHL,1960,7695692,67.836
China,CHN,1960,667070000,16.203
Colombia,COL,1960,16480384,45.033
Comoros,COM,1960,188732,12.551
Congo Dem. Rep.,ZAR,1960,15248246,22.3
Congo Rep.,COG,1960,1013581,31.601
Costa Rica,CRI,1960,1333042,34.254
Cote d'Ivoire,CIV,1960,3474724,17.679
Croatia,HRV,1960,4140000,30.154
Cuba,CUB,1960,7141129,58.401
Curacao,CUW,1960,124826,74.71
Cyprus,CYP,1960,572929,35.628
Czech Republic,CZE,1960,9602006,59.548
Denmark,DNK,1960,4579603,73.687
Djibouti,DJI,1960,83636,50.325
Dominica,DMA,1960,60016,37.846
Dominican Republic,DOM,1960,3294039,30.229
Ecuador,ECU,1960,4545548,33.878
Egypt Arab Rep.,EGY,1960,27072397,37.864
El Salvador,SLV,1960,2762897,38.345
Equatorial Guinea,GNQ,1960,252115,25.537
Eritrea,ERI,1960,1407631,9.751
Estonia,EST,1960,1211537,57.533
Ethiopia,ETH,1960,22151218,6.433
Faeroe Islands,FRO,1960,34266,21.383
Fiji,FJI,1960,393383,29.681
Finland,FIN,1960,4429634,55.29
France,FRA,1960,46814237,61.88
French Polynesia,PYF,1960,78083,42.281
Gabon,GAB,1960,499189,17.398
Gambia The,GMB,1960,367929,12.129
Georgia,GEO,1960,3645600,43.069
Germany,DEU,1960,72814900,71.384
Ghana,GHA,1960,6652285,23.252
Greece,GRC,1960,8331725,55.936
Greenland,GRL,1960,32500,58.534
Grenada,GRD,1960,89861,30.332
Guam,GUM,1960,66741,50.147
Guatemala,GTM,1960,4127555,31.121
Guinea,GIN,1960,3577413,10.472
Guinea-Bissau,GNB,1960,616407,13.6
Guyana,GUY,1960,564222,29.009
Haiti,HTI,1960,3866160,15.593
Honduras,HND,1960,2002333,22.747
Hong Kong SAR China,HKG,1960,3075605,85.2
Hungary,HUN,1960,9983967,55.911
Iceland,ISL,1960,175574,80.3
India,IND,1960,449661874,17.924
Indonesia,IDN,1960,87792512,14.586
Iran  Islamic Rep.,IRN,1960,21906905,33.735
Korea  Dem. Rep.,1960,7289759,42.899,
Korea  Rep.,1960,2828600,45.822,
Macao SAR  China,1960,48441,55.123,
Macedonia  FYR,1960,2114020,76.848,
Micronesia  Fed. Sts.,1960,50199700,59.361,
Venezuela  RB,1960,1629003,33.769,
Yemen  Rep.,1960,92500572,63.272,
Congo  Dem. Rep.,1960,844000,50.879,
Congo  Rep.,1960,9714260,44.198,
Egypt  Arab Rep.,1960,8105440,7.362,
Hong Kong SAR  China,1960,41234,16.29,
Iran  Islamic Rep.,PRK,1960,11424179,40.195
Korea  Dem. Rep.,KOR,1960,25012374,27.71
Korea  Rep.,1960,261962,74.893,
Macao SAR  China,1960,2172300,34.181,
Macedonia  FYR,1960,2119944,7.946,
Micronesia  Fed. Sts.,1960,2120979,52.867,
Venezuela  RB,1960,1804927,42.343,
Yemen  Rep.,1960,851412,3.512,
Congo  Dem. Rep.,1960,1120314,18.632,
Congo  Rep.,1960,1434576,27.323,
Egypt  Arab Rep.,1960,16504,20.437,
Hong Kong SAR  China,1960,2778550,39.46,
Iran  Islamic Rep.,1960,313970,69.556,
Korea  Dem. Rep.,MAC,1960,171456,95.289
Korea  Rep.,MKD,1960,1488664,34.02
Macao SAR  China,1960,5099371,10.642,
Macedonia  FYR,1960,3618604,4.39,
Micronesia  Fed. Sts.,1960,8160975,26.598,
Venezuela  RB,1960,89875,11.173,
Yemen  Rep.,1960,5263730,11.066,
Congo  Dem. Rep.,1960,326550,90.129,
Congo  Rep.,1960,14665,35.584,
Egypt  Arab Rep.,1960,858170,6.88,
Hong Kong SAR  China,1960,659351,33.177,
Iran  Islamic Rep.,1960,38174114,50.753,
Korea  Dem. Rep.,FSM,1960,44539,22.312
Korea  Rep.,1960,2544000,23.424,
Macao SAR  China,1960,22454,100,
Macedonia  FYR,1960,955514,35.679,
Micronesia  Fed. Sts.,1960,474203,18.788,
Venezuela  RB,1960,12328534,29.357,
Yemen  Rep.,1960,7493278,4.769,
Congo  Dem. Rep.,1960,21486424,19.226,
Congo  Rep.,1960,602545,17.909,
Egypt  Arab Rep.,1960,10056945,3.48,
Hong Kong SAR  China,1960,11486631,59.752,
Iran  Islamic Rep.,1960,79000,37.36,
Korea  Dem. Rep.,1960,2371800,75.998,
Korea  Rep.,1960,1774696,39.581,
Macao SAR  China,1960,3395212,5.793,
Macedonia  FYR,1960,45211614,15.41,
Micronesia  Fed. Sts.,1960,10070,51.219,
Venezuela  RB,1960,3581239,49.92,
Yemen  Rep.,1960,551737,16.4,
Congo  Dem. Rep.,1960,44911810,22.104,
Congo  Rep.,1960,9638,56.823,
Egypt  Arab Rep.,1960,1132924,41.249,
Hong Kong SAR  China,1960,1966957,3.725,
Iran  Islamic Rep.,1960,1902871,35.569,
Korea  Dem. Rep.,1960,10061519,46.811,
Korea  Rep.,1960,26273023,30.297,
Macao SAR  China,1960,29637450,47.892,
Macedonia  FYR,1960,8857716,34.955,
Micronesia  Fed. Sts.,1960,2358000,44.547,
Venezuela  RB,1960,47309,85.275,
Yemen  Rep.,1960,18406905,34.209,
Congo  Dem. Rep.,1960,119897000,53.731,
Congo  Rep.,1960,2933424,2.6,
Egypt  Arab Rep.,1960,108645,18.926,
Hong Kong SAR  China,1960,15393,48.9,
Iran  Islamic Rep.,1960,64255,16.073,
Korea  Dem. Rep.,1960,4086539,31.25,
Korea  Rep.,1960,3177560,23,
Macao SAR  China,1960,41700,27.673,
Macedonia  FYR,1960,2181701,17.352,
Micronesia  Fed. Sts.,1960,1646400,100,
Venezuela  RB,1960,4068095,33.464,
Yemen  Rep.,1960,1584720,28.204,
Congo  Dem. Rep.,1960,117869,5.768,
Congo  Rep.,1960,2756380,17.312,
Egypt  Arab Rep.,1960,17396000,46.619,
Hong Kong SAR  China,1960,2955044,8.748,
Iran  Islamic Rep.,1960,30455000,56.567,
Korea  Dem. Rep.,1960,9896000,16.431,
Korea  Rep.,1960,51197,27.644,
Macao SAR  China,1960,89901,21.46,
Macedonia  FYR,1960,80948,25.943,
Micronesia  Fed. Sts.,1960,7527450,10.746,
Venezuela  RB,1960,289972,47.26,
Yemen  Rep.,1960,349233,3.913,
Congo  Dem. Rep.,1960,7484656,72.49,
Congo  Rep.,1960,5327827,51.019,
Egypt  Arab Rep.,1960,4592777,36.807,
Hong Kong SAR  China,1960,2064035,33.168,
Iran  Islamic Rep.,1960,10074490,5.246,
Korea  Dem. Rep.,1960,27397178,19.672,
Korea  Rep.,1960,499525,10.091,
Macao SAR  China,1960,1580513,10.098,
Macedonia  FYR,1960,61600,17.552,
Micronesia  Fed. Sts.,1960,848481,17.349,
Venezuela  RB,1960,4220701,37.511,
Yemen  Rep.,1960,27553280,31.515,
Congo  Dem. Rep.,1960,1593501,46.412,
Congo  Rep.,1960,5724,47.679,
Egypt  Arab Rep.,1960,6104,15.895,
Hong Kong SAR  China,1960,6788211,4.417,
Iran  Islamic Rep.,1960,42662150,46.792,
Korea  Dem. Rep.,1960,92612,73.5,
Korea  Rep.,1960,52400000,78.444,
Macao SAR  China,1960,180671000,69.996,
Macedonia  FYR,1960,2538651,80.241,
Micronesia  Fed. Sts.,1960,8789492,33.978,
Venezuela  RB,1960,63701,10.404,
Yemen  Rep.,VEN,1960,8146845,61.613
Congo  Dem. Rep.,1960,34743000,14.7,
Congo  Rep.,1960,32000,56.477,
Egypt  Arab Rep.,YEM,1960,5166311,9.1
Hong Kong SAR  China,1960,3049586,18.145,
Iran  Islamic Rep.,1960,3752390,12.608,
Korea  Dem. Rep.,1961,95041593,32.02907571,
Korea  Rep.,1961,4270928,31.81902661,
Macao SAR  China,1961,92237118,45.20666532,
Macedonia  FYR,1961,1045789318,23.1221808,
Micronesia  Fed. Sts.,1961,895784704,17.39094091,
Venezuela  RB,1961,267825309,62.57528534,
Yemen  Rep.,1961,675181708,55.91503921,
Congo  Dem. Rep.,1961,158242146,38.75979753,
Congo  Rep.,1961,413007006,61.67360739,
Egypt  Arab Rep.,1961,123125186,18.38991595,
Hong Kong SAR  China,1961,166337526,12.58314258,
Iran  Islamic Rep.,1961,920970907,63.24701294,
Korea  Dem. Rep.,1961,189656817,56.97676948,
Korea  Rep.,1961,731314090,64.77858247,
Macao SAR  China,1961,226764342,50.0734541,
Macedonia  FYR,1961,182952027,45.6999419,
Micronesia  Fed. Sts.,1961,246733124,9.862259113,
Venezuela  RB,1961,2155067832,21.74952408,
Yemen  Rep.,1961,160642778,11.7795235,
Congo  Dem. Rep.,1961,964242763,20.04260976,
Congo  Rep.,1961,108392645,35.70806725,
Egypt  Arab Rep.,1961,100483718,34.5954743,
Hong Kong SAR  China,1961,1994425054,22.55295598,
Iran  Islamic Rep.,1961,202007500,70.31954524,
Korea  Dem. Rep.,1961,798937506,62.97235592,
Korea  Rep.,1961,6721830,14.78552722,
Macao SAR  China,1961,889536,22.47388508,
Macedonia  FYR,1961,11882294,21.48355376,
Micronesia  Fed. Sts.,1961,584143236,16.86698109,
Venezuela  RB,1961,233759990,14.94758964,
Yemen  Rep.,1961,233462001,14.93282596,
Congo  Dem. Rep.,1961,1030182291,24.90026693,
Congo  Rep.,1961,3076038739,34.07323527,
Egypt  Arab Rep.,1961,9164945,8.508,
Hong Kong SAR  China,1961,1659800,30.943,
Iran  Islamic Rep.,1961,11404859,31.797,
Korea  Dem. Rep.,1961,20478,66.641,
Korea  Rep.,1961,14376,60.983,
Macao SAR  China,1961,5367287,10.798,
Macedonia  FYR,1961,55403,39.04,
Micronesia  Fed. Sts.,1961,20953079,74.217,
Venezuela  RB,1961,1934239,52.147,
Yemen  Rep.,1961,55435,50.761,
Congo  Dem. Rep.,1961,10483000,81.941,
Congo  Rep.,1961,7086299,64.814,
Egypt  Arab Rep.,1961,4030130,52.364,
Hong Kong SAR  China,1961,115108,60.454,
Iran  Islamic Rep.,1961,167924,82.337,
Korea  Dem. Rep.,1961,49593610,5.278,
Korea  Rep.,1961,231674,36.849,
Macao SAR  China,1961,8271216,33.522,
Macedonia  FYR,1961,9183948,92.554,
Micronesia  Fed. Sts.,1961,94701,53.72,
Venezuela  RB,1961,2466002,9.856,
Yemen  Rep.,1961,45500,100,
Congo  Dem. Rep.,1961,229297,3.792,
Congo  Rep.,1961,3764815,37.059,
Egypt  Arab Rep.,1961,3277096,19.686,
Hong Kong SAR  China,1961,536576,3.097,
Iran  Islamic Rep.,1961,74706888,47.122,
Korea  Dem. Rep.,1961,85687,45.228,
Korea  Rep.,1961,7943118,38.782,
Macao SAR  China,1961,4894578,4.796,
Macedonia  FYR,1961,2840375,2.115,
Micronesia  Fed. Sts.,1961,205958,16.948,
Venezuela  RB,1961,5872247,10.293,
Yemen  Rep.,1961,5474509,14.488,
Congo  Dem. Rep.,1961,18271000,69.668,
Congo  Rep.,1961,8026,100,
Egypt  Arab Rep.,1961,1529229,20.751,
Hong Kong SAR  China,1961,3061423,6.962,
Iran  Islamic Rep.,1961,110399,38.436,
Korea  Dem. Rep.,1961,7873504,68.66,
Korea  Rep.,1961,660330000,16.708,
Macao SAR  China,1961,16982313,46.327,
Macedonia  FYR,1961,191828,13.348,
Micronesia  Fed. Sts.,ZAR,1961,15637715,22.523
Venezuela  RB,COG,1961,1039966,32.318
Yemen  Rep.,1961,1381920,34.329,
Congo  Dem. Rep.,1961,3602075,18.911,
Congo  Rep.,1961,4171672,31.04,
Egypt  Arab Rep.,1961,7289828,58.588,
Hong Kong SAR  China,1961,126125,75.102,
Iran  Islamic Rep.,1961,576395,36.175,
Korea  Dem. Rep.,1961,9586651,60.063,
Korea  Rep.,1961,4611687,74.417,
Macao SAR  China,1961,88499,51.448,
Macedonia  FYR,1961,61035,37.912,
Micronesia  Fed. Sts.,1961,3406299,31.141,
Venezuela  RB,1961,4676858,34.466,
Yemen  Rep.,EGY,1961,27810001,38.272
Congo  Dem. Rep.,1961,2843246,38.516,
Congo  Rep.,1961,255100,26.144,
Egypt  Arab Rep.,1961,1441297,10.059,
Hong Kong SAR  China,1961,1225077,58.304,
Iran  Islamic Rep.,1961,22671131,6.65,
Korea  Dem. Rep.,1961,34730,22.141,
Korea  Rep.,1961,407152,30.248,
Macao SAR  China,1961,4461005,56.321,
Macedonia  FYR,1961,47444751,62.607,
Micronesia  Fed. Sts.,1961,80706,43.217,
Venezuela  RB,1961,504174,18.33,
Yemen  Rep.,1961,376736,12.331,
Congo  Dem. Rep.,1961,3703600,43.559,
Congo  Rep.,1961,73377632,71.697,
Egypt  Arab Rep.,1961,6866545,23.797,
Hong Kong SAR  China,1961,8398050,56.453,
Iran  Islamic Rep.,1961,33700,59.806,
Korea  Dem. Rep.,1961,91260,30.519,
Korea  Rep.,1961,68073,51.23,
Macao SAR  China,1961,4240084,31.768,
Macedonia  FYR,1961,3633778,10.936,
Micronesia  Fed. Sts.,1961,623413,13.747,
Venezuela  RB,1961,582034,29.049,
Yemen  Rep.,1961,3943363,15.975,
Congo  Dem. Rep.,1961,2069085,23.318,
Congo  Rep.,HKG,1961,3168100,85.293
Egypt  Arab Rep.,1961,10029321,56.335,
Hong Kong SAR  China,1961,179029,80.803,
Iran  Islamic Rep.,1961,458691457,18.032,
Korea  Dem. Rep.,1961,90138235,14.821,
Korea  Rep.,IRN,1961,22480420,34.389
Macao SAR  China,1961,7475354,44.432,
Macedonia  FYR,1961,2824400,46.24,
Micronesia  Fed. Sts.,1961,48353,55.345,
Venezuela  RB,1961,2185000,77.985,
Yemen  Rep.,1961,50536350,59.856,
Congo  Dem. Rep.,1961,1651915,34.5,
