divorce_date,dob_man,education_man,income_man,dob_woman,education_woman,income_woman,marriage_date,marriage_duration,num_kids,marriage_year,man_age_marriage,woman_age_marriage
2008-01-02 00:00:00,1976-11-17 00:00:00,Professional,6000.0,1977-03-13 00:00:00,Professional,6000.0,2001-09-02 00:00:00,7.0,nan,2001,25,24
2011-01-02 00:00:00,1969-04-06 00:00:00,Preparatory,5000.0,1970-02-16 00:00:00,Professional,5000.0,2000-02-02 00:00:00,2.0,2.0,2000,31,30
2011-01-02 00:00:00,1979-11-13 00:00:00,Secondary,12000.0,1981-05-13 00:00:00,Secondary,12000.0,2006-05-13 00:00:00,2.0,nan,2006,27,25
2011-01-02 00:00:00,1982-09-20 00:00:00,Professional,6000.0,1988-01-30 00:00:00,Professional,10000.0,2007-08-06 00:00:00,3.0,nan,2007,25,19
2012-01-02 00:00:00,1973-09-07 00:00:00,Professional,20000.0,1974-05-20 00:00:00,Professional,15.0,2000-03-08 00:00:00,11.0,nan,2000,27,26
2005-01-03 00:00:00,1970-09-07 00:00:00,Secondary,5600.0,1969-05-25 00:00:00,Secondary,4500.0,1991-10-09 00:00:00,10.0,2.0,1991,21,22
2005-01-03 00:00:00,1974-07-02 00:00:00,Preparatory,3500.0,1967-03-19 00:00:00,Preparatory,4000.0,1993-01-02 00:00:00,10.0,2.0,1993,19,26
2006-01-03 00:00:00,1964-03-04 00:00:00,Professional,12000.0,1976-08-20 00:00:00,Professional,7000.0,1998-12-11 00:00:00,7.0,1.0,1998,34,22
2007-01-03 00:00:00,1969-03-03 00:00:00,Professional,12000.0,1966-07-06 00:00:00,Preparatory,2500.0,1996-04-30 00:00:00,11.0,1.0,1996,27,30
2007-01-03 00:00:00,1961-09-26 00:00:00,Professional,6000.0,1962-05-17 00:00:00,Professional,4000.0,1987-03-19 00:00:00,19.0,3.0,1987,26,25
2010-01-03 00:00:00,1987-05-04 00:00:00,Preparatory,2000.0,1986-09-21 00:00:00,Preparatory,2000.0,2005-07-12 00:00:00,4.0,nan,2005,18,19
2010-01-03 00:00:00,1968-05-31 00:00:00,Professional,5000.0,1976-08-16 00:00:00,Professional,3800.0,2002-03-22 00:00:00,3.0,1.0,2002,34,26
2013-01-03 00:00:00,1981-09-25 00:00:00,Preparatory,1700.0,1979-06-06 00:00:00,Preparatory,5000.0,2008-08-02 00:00:00,3.0,nan,2008,27,29
2002-01-04 00:00:00,1968-09-05 00:00:00,Primary,2000.0,1967-07-06 00:00:00,Preparatory,3400.0,1989-05-26 00:00:00,12.0,2.0,1989,21,22
2003-01-04 00:00:00,1977-12-17 00:00:00,Primary,2000.0,1975-07-08 00:00:00,Secondary,1600.0,1996-04-15 00:00:00,6.0,nan,1996,19,21
2008-01-04 00:00:00,1964-11-04 00:00:00,Professional,14000.0,1970-11-17 00:00:00,Professional,4200.0,2001-05-30 00:00:00,5.0,1.0,2001,37,31
2009-01-04 00:00:00,1966-02-25 00:00:00,Secondary,5000.0,1965-01-14 00:00:00,Professional,6500.0,1985-12-04 00:00:00,23.0,1.0,1985,19,20
2009-01-04 00:00:00,1955-10-15 00:00:00,Professional,10000.0,1963-11-26 00:00:00,Professional,7000.0,1986-01-27 00:00:00,22.0,2.0,1986,31,23
2009-01-04 00:00:00,1955-04-19 00:00:00,Professional,15000.0,1964-06-26 00:00:00,Professional,5000.0,2001-04-21 00:00:00,7.0,nan,2001,46,37
2001-01-06 00:00:00,1966-09-16 00:00:00,Professional,12000.0,1966-09-16 00:00:00,Professional,8000.0,1996-01-27 00:00:00,5.0,nan,1996,30,30
2004-01-06 00:00:00,1966-03-21 00:00:00,Professional,1500.0,1976-10-06 00:00:00,Professional,3000.0,2000-10-14 00:00:00,3.0,nan,2000,34,24
2004-01-06 00:00:00,1970-03-04 00:00:00,Preparatory,2000.0,1977-11-20 00:00:00,Professional,3000.0,1998-11-28 00:00:00,5.0,1.0,1998,28,21
2010-01-06 00:00:00,1989-10-19 00:00:00,Professional,4000.0,1986-05-25 00:00:00,Professional,4000.0,2009-02-16 00:00:00,1.0,nan,2009,20,23
2011-01-06 00:00:00,1978-10-04 00:00:00,Professional,6000.0,1977-07-01 00:00:00,Professional,6000.0,2009-08-15 00:00:00,1.0,nan,2009,31,32
2012-01-06 00:00:00,1971-02-23 00:00:00,Preparatory,5000.0,1973-01-09 00:00:00,Preparatory,6000.0,1995-10-13 00:00:00,13.0,2.0,1995,24,22
2012-01-06 00:00:00,1971-07-26 00:00:00,Professional,6000.0,1970-04-20 00:00:00,Professional,7000.0,1997-12-23 00:00:00,10.0,2.0,1997,26,27
2002-01-07 00:00:00,1956-03-10 00:00:00,Professional,8000.0,1951-06-06 00:00:00,Professional,14000.0,1985-02-22 00:00:00,17.0,1.0,1985,29,34
2003-01-07 00:00:00,1970-06-24 00:00:00,Preparatory,5000.0,1971-12-07 00:00:00,Preparatory,2000.0,1991-12-04 00:00:00,12.0,2.0,1991,21,20
2009-01-07 00:00:00,1977-02-10 00:00:00,Professional,11000.0,1982-03-06 00:00:00,Professional,4000.0,2008-04-25 00:00:00,1.0,nan,2008,31,26
2013-01-07 00:00:00,1981-06-07 00:00:00,Professional,12000.0,1982-05-01 00:00:00,Professional,7000.0,2007-01-30 00:00:00,4.0,1.0,2007,26,25
2014-01-07 00:00:00,1982-01-27 00:00:00,Preparatory,4000.0,1977-12-25 00:00:00,Secondary,4000.0,2002-02-26 00:00:00,7.0,nan,2002,20,25
2000-01-08 00:00:00,1965-05-01 00:00:00,Secondary,2200.0,1962-09-30 00:00:00,Professional,2800.0,1992-04-09 00:00:00,7.0,2.0,1992,27,30
2000-01-08 00:00:00,1963-08-04 00:00:00,Professional,3000.0,1972-08-25 00:00:00,Preparatory,1700.0,1995-05-27 00:00:00,5.0,1.0,1995,32,23
2001-01-08 00:00:00,1966-02-04 00:00:00,Other,5000.0,1965-08-19 00:00:00,Secondary,3000.0,1988-07-23 00:00:00,13.0,nan,1988,22,23
2003-01-08 00:00:00,1971-03-13 00:00:00,Preparatory,3900.0,1970-07-06 00:00:00,Preparatory,2500.0,1992-05-14 00:00:00,11.0,2.0,1992,21,22
2003-01-08 00:00:00,1966-01-09 00:00:00,Professional,12000.0,1971-06-14 00:00:00,Preparatory,1500.0,1992-10-24 00:00:00,11.0,3.0,1992,26,21
2006-01-08 00:00:00,1963-01-03 00:00:00,Preparatory,2000.0,1963-03-06 00:00:00,Preparatory,3000.0,1992-01-22 00:00:00,2.0,nan,1992,29,29
2008-01-08 00:00:00,1965-12-17 00:00:00,Professional,4000.0,1964-07-05 00:00:00,Professional,3500.0,1997-08-03 00:00:00,11.0,nan,1997,32,33
2011-01-08 00:00:00,1980-04-14 00:00:00,Professional,12000.0,1978-12-12 00:00:00,Professional,6000.0,2002-10-06 00:00:00,9.0,1.0,2002,22,24
2011-01-08 00:00:00,1980-12-15 00:00:00,Professional,5000.0,1982-11-24 00:00:00,Professional,6000.0,2002-05-29 00:00:00,9.0,2.0,2002,22,20
2000-01-09 00:00:00,1972-11-17 00:00:00,Professional,25000.0,1976-10-29 00:00:00,Professional,3400.0,1994-12-19 00:00:00,3.0,1.0,1994,22,18
2004-01-09 00:00:00,1972-12-17 00:00:00,Professional,10000.0,1978-06-29 00:00:00,Professional,8300.0,1999-05-28 00:00:00,5.0,1.0,1999,27,21
2008-01-09 00:00:00,1970-01-22 00:00:00,Professional,6500.0,1971-08-31 00:00:00,Professional,10000.0,1993-10-08 00:00:00,15.0,2.0,1993,23,22
2008-01-09 00:00:00,1963-09-02 00:00:00,Professional,10000.0,1963-07-04 00:00:00,Professional,10000.0,1994-12-24 00:00:00,13.0,2.0,1994,31,31
2008-01-09 00:00:00,1975-12-01 00:00:00,Professional,5000.0,1977-05-30 00:00:00,Professional,6000.0,2003-12-13 00:00:00,15.0,2.0,2003,28,26
2008-01-10 00:00:00,1962-10-15 00:00:00,Preparatory,7000.0,1969-08-24 00:00:00,Professional,7000.0,1990-08-01 00:00:00,17.0,nan,1990,28,21
2009-01-10 00:00:00,1966-06-21 00:00:00,Primary,2200.0,1975-06-23 00:00:00,Preparatory,2200.0,1996-11-06 00:00:00,13.0,nan,1996,30,21
2010-01-10 00:00:00,1982-08-03 00:00:00,Professional,10000.0,1982-11-10 00:00:00,Professional,10000.0,2008-02-16 00:00:00,2.0,nan,2008,26,26
2000-01-11 00:00:00,1960-03-29 00:00:00,Professional,3000.0,1962-06-18 00:00:00,Preparatory,4000.0,1980-12-27 00:00:00,19.0,3.0,1980,20,18
2012-01-11 00:00:00,1957-12-12 00:00:00,Professional,10000.0,1972-12-16 00:00:00,Professional,12000.0,1997-04-10 00:00:00,14.0,nan,1997,40,25
2012-01-11 00:00:00,1952-12-15 00:00:00,Professional,8400.0,1961-03-18 00:00:00,Professional,3500.0,1988-08-10 00:00:00,24.0,1.0,1988,36,27
2004-01-12 00:00:00,1967-03-01 00:00:00,Professional,9000.0,1967-10-03 00:00:00,Professional,4800.0,1991-12-20 00:00:00,12.0,2.0,1991,24,24
2009-01-12 00:00:00,1967-03-23 00:00:00,Professional,6000.0,1970-03-17 00:00:00,Professional,5000.0,1992-07-18 00:00:00,13.0,2.0,1992,25,22
2009-01-12 00:00:00,1962-05-23 00:00:00,Professional,1000.0,1963-02-09 00:00:00,Professional,6890.0,1989-12-20 00:00:00,16.0,1.0,1989,27,26
2009-01-12 00:00:00,1976-06-18 00:00:00,Professional,8000.0,1976-01-28 00:00:00,Professional,6000.0,2004-06-02 00:00:00,4.0,1.0,2004,28,28
