Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,1 stop,No info,6218.0,5.416666666666667h
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,1 stop,No info,13302.0,4.75h
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,non-stop,No info,3873.0,2.4166666666666665h
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,1 stop,In-flight meal not included,11087.0,15.5h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,1 stop,No info,22270.0,21.08333333333333h
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,1 stop,In-flight meal not included,11087.0,25.5h
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,1 stop,No info,8625.0,7.833333333333333h
Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,1 stop,No info,8907.0,13.25h
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,non-stop,No info,4174.0,2.583333333333333h
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,non-stop,No info,4667.0,2.25h
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,1 stop,In-flight meal not included,9663.0,12.166666666666666h
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,non-stop,No info,4804.0,2.583333333333333h
Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,2 stops,No info,14011.0,26.58333333333333h
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,1 stop,No info,5830.0,4.5h
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,1 stop,In-flight meal not included,10262.0,22.58333333333333h
Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,2 stops,No info,13381.0,23.0h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,1 stop,In-flight meal not included,12898.0,20.58333333333333h
GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,1 stop,nan,19495.0,5.166666666666667h
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,1 stop,No info,6955.0,15.333333333333334h
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,non-stop,No info,3943.0,2.833333333333333h
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,non-stop,No info,4823.0,2.9166666666666665h
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,1 stop,In-flight meal not included,7757.0,13.333333333333334h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,2 stops,No info,13292.0,15.166666666666666h
IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,1 stop,No info,8238.0,5.75h
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,1 stop,No info,7682.0,5.916666666666667h
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,non-stop,No info,4668.0,2.833333333333333h
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,non-stop,No info,3687.0,2.25h
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,non-stop,No info,3687.0,2.25h
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,2 stops,No info,13227.0,13.416666666666666h
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,non-stop,No info,4423.0,2.833333333333333h
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,2 stops,In-flight meal not included,10919.0,22.0h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,1 stop,In-flight meal not included,12373.0,5.5h
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,1 stop,No info,5894.0,10.416666666666666h
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,1 stop,No info,4649.0,5.25h
nan,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,non-stop,No info,6245.0,2.5h
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,1 stop,No info,19225.0,6.25h
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,1 stop,No info,14924.0,11.916666666666666h
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,1 stop,nan,9646.0,11.083333333333334h
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,1 stop,No info,8714.0,8.5h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,1 stop,In-flight meal not included,12373.0,22.08333333333333h
Air Asia,nan,Banglore,Delhi,BLR → DEL,11:10,13:55,non-stop,No info,3383.0,2.75h
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,1 stop,No info,13062.0,12.0h
