engine_fuel,color,transmission,price_usd
3.0,1.0,0.0,10900.0
3.0,1.0,0.0,5000.0
3.0,1.0,0.0,2800.0
3.0,1.0,1.0,9999.0
3.0,0.0,0.0,2134.11
3.0,1.0,0.0,14700.0
3.0,0.0,0.0,3000.0
3.0,1.0,0.0,4500.0
3.0,1.0,0.0,12900.0
3.0,1.0,0.0,4200.0
3.0,1.0,1.0,6900.0
3.0,1.0,0.0,8350.0
3.0,1.0,1.0,4300.0
3.0,1.0,1.0,1666.0
3.0,1.0,0.0,8600.0
3.0,0.0,0.0,7300.0
3.0,1.0,0.0,7587.97
3.0,1.0,1.0,10950.0
3.0,1.0,0.0,12700.0
3.0,0.0,0.0,16500.0
3.0,2.0,0.0,8700.0
3.0,1.0,0.0,7500.0
3.0,0.0,0.0,8650.0
3.0,1.0,0.0,3500.0
3.0,1.0,0.0,3800.0
3.0,1.0,0.0,7200.0
3.0,1.0,0.0,1850.0
3.0,1.0,0.0,3800.0
3.0,0.0,1.0,3000.0
3.0,0.0,1.0,6200.0
3.0,1.0,1.0,3700.0
2.0,0.0,0.0,650.0
3.0,1.0,1.0,2000.0
3.0,0.0,1.0,800.0
3.0,1.0,1.0,14950.0
3.0,0.0,0.0,5350.0
3.0,1.0,0.0,17059.12
3.0,1.0,1.0,1700.0
3.0,1.0,0.0,3500.0
3.0,1.0,1.0,3000.0
3.0,0.0,0.0,8100.0
2.0,1.0,1.0,8500.0
2.0,1.0,0.0,7500.0
3.0,1.0,0.0,3300.0
3.0,2.0,0.0,14950.0
3.0,1.0,0.0,4490.0
3.0,1.0,1.0,2650.0
3.0,1.0,0.0,6950.0
3.0,1.0,1.0,8200.0
3.0,0.0,0.0,16500.0
3.0,1.0,0.0,8500.0
3.0,1.0,1.0,6450.0
3.0,2.0,1.0,3150.0
3.0,1.0,1.0,1900.0
3.0,1.0,1.0,4899.0
3.0,0.0,1.0,2500.0
3.0,1.0,1.0,1700.0
3.0,1.0,0.0,1800.0
2.0,1.0,1.0,6150.0
3.0,1.0,0.0,12900.0
3.0,1.0,0.0,7250.0
3.0,1.0,1.0,900.0
3.0,1.0,0.0,9400.0
3.0,0.0,1.0,3300.0
3.0,2.0,0.0,8200.0
2.0,0.0,0.0,4200.0
3.0,1.0,1.0,2100.0
3.0,1.0,0.0,1499.0
3.0,0.0,0.0,9800.0
3.0,1.0,0.0,2500.0
3.0,1.0,1.0,3650.0
3.0,1.0,1.0,1400.0
3.0,1.0,1.0,5400.0
3.0,1.0,0.0,12950.0
3.0,0.0,0.0,15490.0
3.0,1.0,0.0,13500.0
3.0,1.0,1.0,2000.0
3.0,1.0,1.0,7500.0
3.0,1.0,0.0,5800.0
3.0,1.0,1.0,2750.0
3.0,1.0,0.0,3299.0
3.0,1.0,1.0,1400.0
3.0,1.0,0.0,9900.0
3.0,1.0,0.0,15900.0
3.0,1.0,1.0,13500.0
3.0,1.0,0.0,3750.0
3.0,1.0,0.0,3400.0
3.0,1.0,1.0,4250.0
3.0,0.0,1.0,5500.0
3.0,1.0,1.0,4100.0
3.0,1.0,1.0,7000.0
3.0,1.0,1.0,12600.0
3.0,1.0,0.0,5400.0
3.0,1.0,0.0,14500.0
3.0,1.0,0.0,3900.0
3.0,1.0,0.0,14227.45
3.0,1.0,0.0,17000.0
3.0,0.0,1.0,3750.0
3.0,1.0,0.0,6000.0
3.0,0.0,1.0,15500.0
3.0,1.0,1.0,1900.0
3.0,0.0,0.0,6499.0
3.0,1.0,0.0,5250.0
3.0,1.0,1.0,5199.0
3.0,1.0,0.0,6000.0
3.0,0.0,0.0,6800.0
3.0,1.0,1.0,1900.0
3.0,0.0,0.0,8650.0
3.0,1.0,1.0,1565.02
3.0,1.0,0.0,16300.0
3.0,1.0,1.0,6900.0
3.0,1.0,0.0,2900.0
3.0,1.0,1.0,7000.0
3.0,1.0,0.0,4990.0
3.0,1.0,1.0,6300.0
3.0,1.0,0.0,11000.0
3.0,1.0,1.0,7000.0
3.0,1.0,1.0,3000.0
2.0,1.0,0.0,9700.0
3.0,1.0,1.0,8790.0
3.0,1.0,0.0,23400.0
3.0,0.0,0.0,6800.0
3.0,0.0,1.0,6450.0
3.0,1.0,0.0,1600.0
3.0,1.0,1.0,1500.0
3.0,1.0,1.0,2300.0
3.0,1.0,1.0,5500.0
3.0,1.0,0.0,5999.0
3.0,2.0,0.0,9000.0
3.0,2.0,0.0,24900.0
3.0,2.0,0.0,6150.0
2.0,1.0,0.0,4200.0
3.0,1.0,0.0,3700.0
3.0,1.0,0.0,1500.0
3.0,1.0,0.0,12999.0
3.0,1.0,0.0,12999.0
0.0,1.0,1.0,9481.65
3.0,0.0,1.0,6800.0
3.0,1.0,0.0,7700.0
3.0,0.0,0.0,2800.0
3.0,2.0,0.0,22850.0
3.0,2.0,0.0,4990.0
3.0,1.0,0.0,7000.0
3.0,1.0,0.0,14000.0
3.0,2.0,1.0,3599.0
3.0,1.0,0.0,4500.0
3.0,1.0,0.0,3290.0
3.0,1.0,0.0,4200.0
3.0,1.0,0.0,8200.0
3.0,1.0,1.0,1800.0
3.0,1.0,1.0,2000.0
3.0,1.0,0.0,14300.0
3.0,1.0,1.0,1400.0
3.0,1.0,0.0,18900.0
3.0,0.0,1.0,5500.0
3.0,1.0,1.0,3799.0
3.0,2.0,0.0,1600.0
3.0,1.0,0.0,13500.0
3.0,0.0,0.0,12300.0
2.0,1.0,0.0,14499.0
3.0,0.0,0.0,19500.0
0.0,1.0,1.0,14000.0
3.0,1.0,1.0,14938.82
3.0,1.0,0.0,6600.0
3.0,1.0,0.0,11550.0
3.0,0.0,1.0,9050.0
3.0,1.0,0.0,19499.0
3.0,0.0,1.0,10500.0
3.0,1.0,0.0,2800.0
3.0,1.0,0.0,11650.0
3.0,1.0,0.0,28950.0
3.0,1.0,0.0,27950.0
3.0,1.0,0.0,10750.0
3.0,1.0,0.0,1800.0
3.0,2.0,0.0,12200.0
3.0,0.0,1.0,7000.0
3.0,1.0,0.0,6650.0
3.0,1.0,1.0,7100.0
3.0,1.0,0.0,7000.0
3.0,1.0,0.0,4000.0
3.0,1.0,1.0,7100.0
3.0,1.0,1.0,1896.99
3.0,1.0,1.0,2950.0
3.0,1.0,1.0,5500.0
3.0,0.0,0.0,6800.0
3.0,1.0,1.0,7000.0
3.0,1.0,0.0,17000.0
3.0,0.0,1.0,6200.0
2.0,1.0,0.0,1950.0
3.0,0.0,0.0,10499.0
3.0,1.0,0.0,4000.0
3.0,1.0,1.0,2300.0
3.0,1.0,0.0,2500.0
2.0,1.0,1.0,6900.0
3.0,1.0,1.0,800.0
3.0,2.0,0.0,11990.0
3.0,1.0,0.0,4000.0
3.0,0.0,0.0,10150.0
3.0,0.0,0.0,6200.0
3.0,1.0,0.0,8900.0
3.0,2.0,0.0,11000.0
3.0,1.0,1.0,2134.12
3.0,1.0,0.0,11300.0
3.0,0.0,0.0,15500.0
3.0,1.0,0.0,4650.0
3.0,2.0,0.0,10700.0
3.0,1.0,0.0,10300.0
3.0,1.0,0.0,3950.0
3.0,0.0,1.0,6200.0
3.0,1.0,0.0,3000.0
3.0,2.0,1.0,14500.0
3.0,1.0,0.0,13800.0
3.0,1.0,0.0,35500.0
3.0,1.0,0.0,7300.0
2.0,1.0,0.0,14000.0
3.0,1.0,1.0,3414.59
3.0,1.0,1.0,9800.0
3.0,1.0,1.0,8200.0
3.0,1.0,1.0,10100.0
3.0,0.0,1.0,11500.0
3.0,1.0,0.0,27000.0
3.0,1.0,1.0,1500.0
3.0,0.0,0.0,8999.0
3.0,1.0,0.0,4000.0
3.0,1.0,0.0,6500.0
2.0,0.0,1.0,1000.0
3.0,1.0,1.0,2500.0
3.0,0.0,0.0,13400.0
3.0,1.0,1.0,3000.0
3.0,0.0,0.0,7000.0
3.0,1.0,0.0,2300.0
3.0,1.0,0.0,9600.0
3.0,1.0,1.0,3500.0
3.0,1.0,0.0,3400.0
2.0,1.0,1.0,6800.0
3.0,0.0,0.0,4900.0
3.0,2.0,1.0,800.0
3.0,0.0,0.0,3777.0
3.0,1.0,1.0,4700.0
3.0,1.0,0.0,3600.0
3.0,1.0,0.0,400.0
0.0,1.0,1.0,10200.0
3.0,1.0,0.0,19500.0
2.0,1.0,0.0,3000.0
3.0,0.0,0.0,7900.0
