ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
533,Frida És Ricsi,0.17, MALE,Unknown Mix,12/1/19,12/1/19,12/9/19,black and white,short,small,no,nan,yes,yes,yes,yes,yes,nan
23793,nan,4.0, MALE,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,short,medium,no,nan,nan,nan,nan,nan,nan,nan
23795,nan,1.0, MALE,Unknown Mix,12/8/19,12/23/19,12/8/19,yellow-brown,medium,medium,no,nan,nan,nan,nan,nan,nan,nan
23806,Amy,2.0, MALE,French Bulldog Mix,12/10/19,12/11/19,12/11/19,black,short,small,no,nan,nan,nan,nan,nan,nan,nan
23801,Alex,4.25, MALE,Unknown Mix,12/9/19,12/24/19,12/9/19,yellow-brown,short,small,yes,nan,nan,nan,nan,nan,nan,nan
534,Ricsi És Frida,0.17, MALE,Unknown Mix,12/1/19,12/1/19,12/9/19,brown,short,small,no,nan,yes,yes,yes,yes,yes,nan
23805,nan,0.17, MALE,Unknown Mix,12/10/19,12/25/19,12/11/19,gray and white,short,medium,no,nan,nan,nan,nan,nan,nan,nan
23809,nan,0.17, MALE,Unknown Mix,12/11/19,12/26/19,12/12/19,black,medium,medium,no,nan,nan,nan,nan,nan,nan,nan
1801,Újhartyáni Mazsi,0.17, MALE,Unknown Mix,12/10/19,12/10/19,12/11/19,brown and white,short,small,no,nan,yes,yes,yes,yes,yes,flat
1222,Vasi,3.67, FEMALE,Vizsla Mix,10/25/19,10/25/19,12/12/19,red,short,medium,yes,nan,nan,nan,nan,nan,nan,nan
23792,nan,1.0, FEMALE,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,medium,medium,no,nan,nan,nan,nan,nan,nan,nan
23797,nan,5.0, FEMALE,Unknown Mix,12/8/19,12/23/19,12/8/19,brown,long,small,no,nan,nan,nan,nan,nan,nan,nan
1800,Újhartyáni Frenki,0.17, FEMALE,Unknown Mix,12/10/19,12/10/19,12/11/19,tricolor,short,small,no,nan,yes,yes,yes,yes,yes,flat
532,Fickó,1.5, FEMALE,Bull Terrier, Dachshund Mix,12/1/19,12/1/19,12/9/19,brown and white,short,medium,yes,nan,yes,yes,no,no,no,nan
23796,nan,8.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,black,medium,medium,no,nan,nan,nan,nan,nan,nan,nan
1802,Újhartyáni Bori,0.17,female,Unknown Mix,12/10/19,12/10/19,12/11/19,tricolor,short,small,no,nan,yes,yes,yes,yes,yes,flat
1799,Dabasi Ixorn,0.83,male,Unknown Mix,12/5/19,12/5/19,12/9/19,black,wirehaired,small,yes,nan,yes,yes,yes,yes,nan,both flat and garden
