acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.972,['David Bauer'],0.5670000000000001,313293.0,5.22155,0.227,0.0,0w0D8H1ubRerCXHWYJkinO,0.601,10.0,0.11,-13.441,1.0,Shout to the Lord,47.0,2000,0.029,136.123,0.0396,2000.0
0.988,['The Cathedral Singers' 'Lorelei McDermott' 'Stephen Hartman'],0.233,248600.0,4.1433333333333335,0.122,0.0,4IyK8htJJzbRjPihpMouWu,0.00354,10.0,0.0916,-19.528,1.0,Ave Maria Op. 52 No. 6 D. 839 (Arr. for Soprano Harp & Chorus),52.0,2000-01-01,0.0333,90.593,0.0991,2000.0
0.958,['Cliff Edwards' 'Disney Studio Chorus'],0.181,195120.0,3.2520000000000002,0.27,0.0,0JIPxQiFYgnPfQDuAZTnHk,0.0203,9.0,0.35200000000000004,-13.616,1.0,When You Wish Upon a Star - From "Pinocchio"/Soundtrack Version,44.0,2001-01-01,0.0353,92.843,0.114,2001.0
0.971,['John Williams'],0.153,226333.0,3.7722166666666666,0.00905,0.0,0pyKuk3bYFSzPIysym8ioN,0.607,0.0,0.107,-30.099,1.0,Hogwarts Forever! and the Moving Stairs,48.0,2001-10-30,0.0372,164.19099999999997,0.073,2001.0
0.99,['Yiruma'],0.282,277133.0,4.618883333333333,0.152,0.0,5DLA620cB8o3YIXujemlay,0.905,2.0,0.0676,-20.094,1.0,Passing By,49.0,2001-11-27,0.0349,84.109,0.051,2001.0
0.964,['John Williams'],0.106,225667.0,3.7611166666666667,0.181,0.0,1m4ZjbibTvvmYIJyXAIuxv,0.853,2.0,0.407,-17.969,1.0,Fawkes the Phoenix,48.0,2002-11-11,0.0342,61.02,0.0593,2002.0
0.988,['Valentin Silvestrov' 'Anja Lechner' 'Silke Avenhaus'],0.116,255960.0,4.266,0.0011,0.0,2ZrF3UfwS50CKE8jQQVjWj,0.227,2.0,0.0991,-39.982,1.0,Three Postludes (1981/82): Postlude No. 3,47.0,2002-02-19,0.0544,70.332,0.0387,2002.0
0.963,['Fernando Ortega'],0.438,305107.0,5.085116666666667,0.0356,0.0,2G2b5w0IiHWmvS68wlJHuZ,2.45e-06,1.0,0.115,-21.149,1.0,Jesus Paid It All,44.0,2002-02-05,0.0335,70.994,0.392,2002.0
0.982,['Stan Whitmire'],0.435,218107.0,3.6351166666666668,0.29100000000000004,0.0,03o0bsrdp7yimIo8I2tzAZ,0.858,3.0,0.133,-18.262,1.0,When You Say Nothing At All,49.0,2003-01-01,0.0427,159.705,0.285,2003.0
0.995,['Aaron Zigman'],0.445,169467.0,2.82445,0.0123,0.0,06xNkl12TrxwGYrwTGlUUd,0.925,0.0,0.16899999999999998,-25.606,1.0,Main Title,48.0,2004-06-08,0.0454,58.875,0.232,2004.0
0.975,['John Williams'],0.225,98373.0,1.63955,0.0417,0.0,2G5hAbyjLoY1wSQFbOy5PN,0.396,4.0,0.0718,-30.105,0.0,Lumos! (Hedwig's Theme),50.0,2004-05-25,0.0435,133.89,0.0889,2004.0
0.984,['Sufjan Stevens'],0.632,254053.0,4.234216666666667,0.225,0.0,5OojmQ36TXkfL2JfoFJcaq,0.74,4.0,0.112,-13.423,1.0,All the Trees of the Field Will Clap Their Hands,46.0,2004-03-16,0.0296,144.641,0.6829999999999999,2004.0
0.981,['Jason Hayes'],0.229,184787.0,3.0797833333333333,0.138,0.0,1YYTAOi1YMxmGclyO1HH6O,0.919,3.0,0.119,-18.358,0.0,Elwynn Forest,48.0,2004-11-23,0.0364,66.618,0.0662,2004.0
0.967,['Ilene Woods' "Cinderella's Mice Chorus"],0.279,198960.0,3.3160000000000003,0.145,0.0,33e8JtboPPzbzCsCqfPnr9,3.2500000000000004e-05,3.0,0.13,-16.984,1.0,A Dream Is a Wish Your Heart Makes - From "Cinderella"/Soundtrack Version,43.0,2004-01-01,0.0638,181.296,0.302,2004.0
0.979,['Nine Inch Nails'],0.458,304853.0,5.080883333333333,0.362,0.0,586rOcAzOHkpJTA4POqO2c,0.494,5.0,0.119,-10.043,1.0,Right Where It Belongs,44.0,2005-01-01,0.0305,139.879,0.223,2005.0
0.992,['Frédéric Chopin' 'Maurizio Pollini'],0.261,286987.0,4.783116666666667,0.0149,0.0,2d6ml9Qkx8r4EjuUyrdpRV,0.897,1.0,0.102,-27.528,1.0,Nocturne No.1 In B Flat Minor Op.9 No.1,53.0,2005-01-01,0.0419,75.296,0.0382,2005.0
0.979,['Jim Brickman'],0.487,149773.0,2.4962166666666668,0.113,0.0,2Mqrf0BFCP1M6xav09L86c,0.892,0.0,0.0778,-18.967,1.0,When You Wish Upon a Star,47.0,2005-01-01,0.0564,66.475,0.233,2005.0
0.989,['Frédéric Chopin' 'Gabriela Montero'],0.359,338253.0,5.63755,0.0323,0.0,4hbvrHgfZ8lqFrPx1Ztd6j,0.91,1.0,0.0938,-24.408,1.0,Chopin: Nocturne No. 8 in D-Flat Major Op. 27 No. 2,53.0,2005-09-05,0.0377,107.169,0.0728,2005.0
0.994,['Franz Schubert' 'Renée Fleming' 'Royal Philharmonic Orchestra' 'Andreas Delfs'],0.12,256573.0,4.2762166666666666,0.138,0.0,4JsMpgsep6XpuHSzKCTxCz,0.6859999999999999,10.0,0.11,-15.538,1.0,Ave Maria D. 839,44.0,2005-01-01,0.048,67.891,0.043,2005.0
