acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.000402,['Lil Wayne' 'Drake'],0.364,305840.0,5.097333333333333,0.841,1.0,5eEj1vkMIqtmvaTk7cS4UC,0.0,8.0,0.242,-4.831,1.0,She Will,51.0,2011-01-01,0.119,100.14,0.0837,2011.0
0.31,['blackbear'],0.758,180000.0,3.0,0.4270000000000001,1.0,0Cyui3k9S61bue3uMkBD9S,0.0,10.0,0.115,-9.835,0.0,Girls Like U,56.0,2016-06-17,0.113,139.911,0.489,2016.0
0.000984,['Lacuna Coil'],0.503,245573.0,4.092883333333334,0.667,0.0,71KtwiEpzcn9WxwlaS7ZJY,0.027000000000000003,11.0,0.229,-6.831,0.0,Enjoy the Silence - cover version,55.0,2006,0.0285,113.018,0.101,2006.0
0.334,['The Beach Boys'],0.414,215827.0,3.5971166666666665,0.424,0.0,7tf64lNC31lWlTsih0nfZf,4.95e-06,10.0,0.131,-9.497,1.0,Good Vibrations,46.0,2012-01-01,0.0399,132.43,0.325,2012.0
0.0017,['In This Moment'],0.426,197627.0,3.2937833333333333,0.975,0.0,4Mpm64J9yqluKaOssgVQ9P,0.0,0.0,0.0891,-1.892,1.0,Call Me,50.0,2009-04-10,0.095,142.998,0.273,2009.0
0.866,['Anna Kendrick'],0.397,48480.0,0.8079999999999999,0.218,0.0,75e1EYhLzB3mQZQBcRmklN,2.55e-05,9.0,0.0819,-10.47,1.0,The Sound Of Silence,57.0,2016-09-23,0.0403,209.793,0.5670000000000001,2016.0
0.00689,['Boosie Badazz' 'Webbie' 'Bun B'],0.675,267520.0,4.458666666666667,0.7809999999999999,1.0,2s9NvnrAU9WahyWRa0Ou9m,0.0,8.0,0.319,-6.035,1.0,Give Me That,44.0,2005-05-17,0.28,78.009,0.536,2005.0
0.0956,['Jake Owen'],0.672,172507.0,2.8751166666666665,0.934,0.0,32C5of1pAeU7IeEbGiLWAo,0.0,7.0,0.109,-3.322,1.0,Yee Haw,49.0,2006-07-01,0.0333,129.123,0.948,2006.0
0.65,['Peter Paul and Mary'],0.581,208560.0,3.476,0.14300000000000002,0.0,7raciFPVU5VuHmqVbw2c1h,0.0,9.0,0.104,-16.273,1.0,Puff the Magic Dragon - 2004 Remaster,52.0,2005-08-23,0.0401,144.605,0.469,2005.0
0.0174,['Jinjer'],0.6,305571.0,5.09285,0.8490000000000001,0.0,1XT5VDdxwI2Bx01MxURMcz,0.00205,9.0,0.0745,-5.7879999999999985,0.0,Pisces,50.0,2016-07-29,0.0376,140.002,0.257,2016.0
