index,acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
27829,0.614,['Keith Urban'],0.687,236000.0,3.933333333333333,0.454,0.0,0Sg5kWoILCs2zBoIHIsDAa,0.000107,4.0,0.107,-9.379,1.0,Making Memories Of Us,54.0,2007-01-01,0.0255,103.93,0.331,2007.0
18748,0.45,['Charli XCX'],0.648,219427.0,3.6571166666666666,0.74,0.0,1M6VHCglQ2PLWeAsyhgEUH,0.000145,5.0,0.104,-6.188,1.0,detonate,63.0,2020-05-15,0.0364,140.026,0.68,2020.0
7969,0.0506,['My Chemical Romance'],0.463,161920.0,2.6986666666666665,0.857,0.0,78OBZL4Z6QHdwwloWIh0Lt,0.0,4.0,0.184,-3.063,1.0,Teenagers,59.0,2016-09-23,0.0632,111.647,0.856,2016.0
27985,0.00156,['Asking Alexandria'],0.213,242080.0,4.034666666666667,0.957,1.0,0CqCpm4LLQbHUX5ysizWJS,0.0,3.0,0.394,-2.967,1.0,The Final Episode (Let's Change Channel),59.0,2009-09-15,0.235,196.118,0.157,2009.0
30511,0.317,['Chance the Rapper' 'Nosaj Thing'],0.472,275281.0,4.588016666666666,0.282,1.0,6Oe5tmI1bfguCp6dKHbSj6,0.00015800000000000002,1.0,0.107,-12.309,1.0,Paranoia,57.0,2013-04-30,0.306,69.985,0.123,2013.0
13765,0.916,['Joey + Rory'],0.426,234280.0,3.9046666666666665,0.0985,0.0,54SEsuLm43yxTeFTkSAnk5,0.0,4.0,0.17,-10.76,1.0,When I'm Gone,47.0,2012-01-01,0.0386,131.44899999999998,0.156,2012.0
12315,0.133,['Ben Rector'],0.445,226827.0,3.78045,0.7709999999999999,0.0,4m1lB7qJ78VPYsQy7RoBcU,0.0,0.0,0.273,-4.607,1.0,I Will Always Be Yours,61.0,2018-06-22,0.0501,147.91299999999995,0.448,2018.0
36994,0.0356,['LOCASH'],0.505,197830.0,3.297166666666667,0.903,0.0,6pyshZbArprWRBXLbYVPO9,0.0,1.0,0.127,-3.699,1.0,I Know Somebody,58.0,2016-06-17,0.037000000000000005,88.986,0.491,2016.0
24340,0.536,['Josh Gad'],0.5,110987.0,1.8497833333333333,0.342,0.0,7bG6SQBGZthPDG5QJL5Gf7,0.0,7.0,0.59,-9.536,1.0,In Summer - From "Frozen"/Soundtrack Version,64.0,2013-01-01,0.175,77.124,0.684,2013.0
15811,0.7909999999999999,['Redbird'],0.557,213733.0,3.5622166666666666,0.374,0.0,5iZjpA78JDqtUW2mebflMs,2.57e-06,0.0,0.758,-11.568,1.0,Ooh La La,43.0,2011,0.0469,71.598,0.544,2011.0
