Chick,Diet,weight
1,1,42
1,1,51
1,1,59
1,1,64
1,1,76
1,1,93
1,1,106
1,1,125
1,1,149
1,1,171
1,1,199
1,1,205
2,1,40
2,1,49
2,1,58
2,1,72
2,1,84
2,1,103
2,1,122
2,1,138
2,1,162
2,1,187
2,1,209
2,1,215
3,1,43
3,1,39
3,1,55
3,1,67
3,1,84
3,1,99
3,1,115
3,1,138
3,1,163
3,1,187
3,1,198
3,1,202
4,1,42
4,1,49
4,1,56
4,1,67
4,1,74
4,1,87
4,1,102
4,1,108
4,1,136
4,1,154
4,1,160
4,1,157
5,1,41
5,1,42
5,1,48
5,1,60
5,1,79
5,1,106
5,1,141
5,1,164
5,1,197
5,1,199
5,1,220
5,1,223
6,1,41
6,1,49
6,1,59
6,1,74
6,1,97
6,1,124
6,1,141
6,1,148
6,1,155
6,1,160
6,1,160
6,1,157
7,1,41
7,1,49
7,1,57
7,1,71
7,1,89
7,1,112
7,1,146
7,1,174
7,1,218
7,1,250
7,1,288
7,1,305
8,1,42
8,1,50
8,1,61
8,1,71
8,1,84
8,1,93
8,1,110
8,1,116
8,1,126
8,1,134
8,1,125
9,1,42
9,1,51
9,1,59
9,1,68
9,1,85
9,1,96
9,1,90
9,1,92
9,1,93
9,1,100
9,1,100
9,1,98
10,1,41
10,1,44
10,1,52
10,1,63
10,1,74
10,1,81
10,1,89
10,1,96
10,1,101
10,1,112
10,1,120
10,1,124
11,1,43
11,1,51
11,1,63
11,1,84
11,1,112
11,1,139
11,1,168
11,1,177
11,1,182
11,1,184
11,1,181
11,1,175
12,1,41
12,1,49
12,1,56
12,1,62
12,1,72
12,1,88
12,1,119
12,1,135
12,1,162
12,1,185
12,1,195
12,1,205
13,1,41
13,1,48
13,1,53
13,1,60
13,1,65
13,1,67
13,1,71
13,1,70
13,1,71
13,1,81
13,1,91
13,1,96
14,1,41
14,1,49
14,1,62
14,1,79
14,1,101
14,1,128
14,1,164
14,1,192
14,1,227
14,1,248
14,1,259
14,1,266
15,1,41
15,1,49
15,1,56
15,1,64
15,1,68
15,1,68
15,1,67
15,1,68
16,1,41
16,1,45
16,1,49
16,1,51
16,1,57
16,1,51
16,1,54
17,1,42
17,1,51
17,1,61
17,1,72
17,1,83
17,1,89
17,1,98
17,1,103
17,1,113
17,1,123
17,1,133
17,1,142
18,1,39
18,1,35
19,1,43
19,1,48
19,1,55
19,1,62
19,1,65
19,1,71
19,1,82
19,1,88
19,1,106
19,1,120
19,1,144
19,1,157
20,1,41
20,1,47
20,1,54
20,1,58
20,1,65
20,1,73
20,1,77
20,1,89
20,1,98
20,1,107
20,1,115
20,1,117
21,2,40
21,2,50
21,2,62
21,2,86
21,2,125
21,2,163
21,2,217
21,2,240
21,2,275
21,2,307
21,2,318
21,2,331
22,2,41
22,2,55
22,2,64
22,2,77
22,2,90
22,2,95
22,2,108
22,2,111
22,2,131
22,2,148
22,2,164
22,2,167
23,2,43
23,2,52
23,2,61
23,2,73
23,2,90
23,2,103
23,2,127
23,2,135
23,2,145
23,2,163
23,2,170
23,2,175
24,2,42
24,2,52
24,2,58
24,2,74
24,2,66
24,2,68
24,2,70
24,2,71
24,2,72
24,2,72
24,2,76
24,2,74
25,2,40
25,2,49
25,2,62
25,2,78
25,2,102
25,2,124
25,2,146
25,2,164
25,2,197
25,2,231
25,2,259
25,2,265
26,2,42
26,2,48
26,2,57
26,2,74
26,2,93
26,2,114
26,2,136
26,2,147
26,2,169
26,2,205
26,2,236
26,2,251
27,2,39
27,2,46
27,2,58
27,2,73
27,2,87
27,2,100
27,2,115
27,2,123
27,2,144
27,2,163
27,2,185
27,2,192
28,2,39
28,2,46
28,2,58
28,2,73
28,2,92
28,2,114
28,2,145
28,2,156
28,2,184
28,2,207
28,2,212
28,2,233
29,2,39
29,2,48
29,2,59
29,2,74
29,2,87
29,2,106
29,2,134
29,2,150
29,2,187
29,2,230
29,2,279
29,2,309
30,2,42
30,2,48
30,2,59
30,2,72
30,2,85
30,2,98
30,2,115
30,2,122
30,2,143
30,2,151
30,2,157
30,2,150
31,3,42
31,3,53
31,3,62
31,3,73
31,3,85
31,3,102
31,3,123
31,3,138
31,3,170
31,3,204
31,3,235
31,3,256
32,3,41
32,3,49
32,3,65
32,3,82
32,3,107
32,3,129
32,3,159
32,3,179
32,3,221
32,3,263
32,3,291
32,3,305
33,3,39
33,3,50
33,3,63
33,3,77
33,3,96
33,3,111
33,3,137
33,3,144
33,3,151
33,3,146
33,3,156
33,3,147
34,3,41
34,3,49
34,3,63
34,3,85
34,3,107
34,3,134
34,3,164
34,3,186
34,3,235
34,3,294
34,3,327
34,3,341
35,3,41
35,3,53
35,3,64
35,3,87
35,3,123
35,3,158
35,3,201
35,3,238
35,3,287
35,3,332
35,3,361
35,3,373
36,3,39
36,3,48
36,3,61
36,3,76
36,3,98
36,3,116
36,3,145
36,3,166
36,3,198
36,3,227
36,3,225
36,3,220
37,3,41
37,3,48
37,3,56
37,3,68
37,3,80
37,3,83
37,3,103
37,3,112
37,3,135
37,3,157
37,3,169
37,3,178
38,3,41
38,3,49
38,3,61
38,3,74
38,3,98
38,3,109
38,3,128
38,3,154
38,3,192
38,3,232
38,3,280
38,3,290
39,3,42
39,3,50
39,3,61
39,3,78
39,3,89
39,3,109
39,3,130
39,3,146
39,3,170
39,3,214
39,3,250
39,3,272
40,3,41
40,3,55
40,3,66
40,3,79
40,3,101
40,3,120
40,3,154
40,3,182
40,3,215
40,3,262
40,3,295
40,3,321
41,4,42
41,4,51
41,4,66
41,4,85
41,4,103
41,4,124
41,4,155
41,4,153
41,4,175
41,4,184
41,4,199
41,4,204
42,4,42
42,4,49
42,4,63
42,4,84
42,4,103
42,4,126
42,4,160
42,4,174
42,4,204
42,4,234
42,4,269
42,4,281
43,4,42
43,4,55
43,4,69
43,4,96
43,4,131
43,4,157
43,4,184
43,4,188
43,4,197
43,4,198
43,4,199
43,4,200
44,4,42
44,4,51
44,4,65
44,4,86
44,4,103
44,4,118
44,4,127
44,4,138
44,4,145
44,4,146
45,4,41
45,4,50
45,4,61
45,4,78
45,4,98
45,4,117
45,4,135
45,4,141
45,4,147
45,4,174
45,4,197
45,4,196
46,4,40
46,4,52
46,4,62
46,4,82
46,4,101
46,4,120
46,4,144
46,4,156
46,4,173
46,4,210
46,4,231
46,4,238
47,4,41
47,4,53
47,4,66
47,4,79
47,4,100
47,4,123
47,4,148
47,4,157
47,4,168
47,4,185
47,4,210
47,4,205
48,4,39
48,4,50
48,4,62
48,4,80
48,4,104
48,4,125
48,4,154
48,4,170
48,4,222
48,4,261
48,4,303
48,4,322
49,4,40
49,4,53
49,4,64
49,4,85
49,4,108
49,4,128
49,4,152
49,4,166
49,4,184
49,4,203
49,4,233
49,4,237
50,4,41
50,4,54
50,4,67
50,4,84
50,4,105
50,4,122
50,4,155
50,4,175
50,4,205
50,4,234
50,4,264
50,4,264
