ProductID,PreservationMethod,FoodType,NutrientRetention,ShelfLife
1,Drying,Fruit,59.17,184.04
2,Freezing,Meat,72.29,104.46
3,Drying,Fruit,80.06,75.03
4,Canning,Fruit,98.5,103.34
5,Canning,Vegetable,59.09,97.46
6,Canning,Vegetable,50.35,63.27
7,Drying,Meat,69.99,91.99
8,Drying,Vegetable,54.53,148.05
9,Drying,Fruit,52.32,140.67
10,Freezing,Fruit,53.25,187.7
11,Canning,Vegetable,69.27,85.83
12,Canning,Meat,84.16,71.45
13,Drying,Meat,95.47,50.87
14,Canning,Vegetable,76.0,60.2
15,Canning,Fruit,98.48,98.24
16,Canning,Vegetable,94.74,79.4
17,Drying,Vegetable,59.8,78.39
18,Freezing,Fruit,63.57,205.35
19,Canning,Fruit,64.05,162.01
20,Freezing,Fruit,90.11,33.08
21,Drying,Fruit,88.61,42.43
22,Drying,Meat,59.94,176.4
23,Drying,Fruit,80.3,91.03
24,Canning,Fruit,95.75,101.97
25,Canning,Fruit,53.18,104.33
26,Freezing,Meat,79.56,43.54
27,Drying,Fruit,69.15,247.59
28,Drying,Fruit,86.09,44.11
29,Canning,Meat,52.02,153.0
30,Canning,Vegetable,71.97,121.93
31,Drying,Fruit,65.72,160.75
32,Canning,Fruit,62.46,137.76
33,Drying,Fruit,61.44,85.32
34,Drying,Meat,58.06,201.92
35,Freezing,Vegetable,81.67,88.56
36,Canning,Vegetable,76.97,79.02
37,Freezing,Meat,95.34,51.95
38,Drying,Vegetable,50.03,103.24
39,Drying,Meat,58.23,146.08
40,Canning,Fruit,84.62,45.9
41,Drying,Meat,66.16,163.48
42,Freezing,Fruit,53.24,97.02
43,Canning,Meat,74.86,145.02
44,Freezing,Fruit,63.34,227.56
45,Canning,Meat,63.93,218.98
46,Drying,Vegetable,57.24,137.34
47,Canning,Meat,83.61,82.39
48,Drying,Fruit,86.41,54.53
49,Canning,Vegetable,69.94,223.83
50,Freezing,Fruit,66.04,109.42
51,Freezing,Meat,79.54,72.37
52,Drying,Vegetable,75.6,38.09
53,Drying,Fruit,84.55,54.79
54,Canning,Fruit,83.78,80.58
55,Canning,Meat,77.07,71.38
56,Drying,Vegetable,99.11,75.82
57,Freezing,Vegetable,99.81,116.67
58,Freezing,Fruit,94.13,44.23
59,Freezing,Meat,85.02,90.29
60,Canning,Fruit,82.1,30.85
61,Canning,Vegetable,50.46,73.1
62,Drying,Fruit,50.25,80.1
63,Canning,Vegetable,84.59,75.02
64,Freezing,Fruit,50.9,122.68
65,Drying,Meat,82.88,67.26
66,Drying,Meat,81.82,42.99
67,Canning,Vegetable,98.94,73.03
68,Drying,Meat,89.74,67.52
69,Drying,Fruit,59.76,177.49
70,Drying,Meat,88.43,30.0
71,Canning,Fruit,63.98,215.26
72,Freezing,Fruit,96.42,66.08
73,Freezing,Meat,98.18,104.83
74,Drying,Fruit,69.25,227.52
75,Drying,Vegetable,77.84,88.94
76,Canning,Meat,78.5,30.42
77,Drying,Vegetable,67.93,123.82
78,Canning,Vegetable,66.13,216.85
79,Freezing,Meat,85.45,68.15
80,Canning,Meat,70.99,129.75
81,Freezing,Vegetable,50.26,137.63
82,Freezing,Vegetable,89.79,98.86
83,Drying,Meat,68.78,98.37
84,Drying,Meat,51.8,121.24
85,Drying,Vegetable,64.33,170.31
86,Canning,Fruit,51.87,166.77
87,Canning,Meat,56.35,139.73
88,Freezing,Fruit,72.86,237.75
89,Canning,Meat,84.98,36.07
90,Freezing,Vegetable,75.82,44.78
91,Freezing,Meat,71.68,216.67
92,Canning,Fruit,59.22,82.79
93,Drying,Fruit,84.42,29.75
94,Canning,Fruit,72.12,128.91
95,Canning,Fruit,83.01,45.82
96,Freezing,Meat,82.86,57.34
97,Freezing,Meat,52.39,135.51
98,Drying,Fruit,56.01,114.12
99,Freezing,Meat,52.04,171.51
100,Freezing,Vegetable,88.17,90.48
101,Freezing,Vegetable,71.69,156.03
102,Canning,Vegetable,81.75,27.86
103,Drying,Vegetable,81.29,61.2
104,Freezing,Fruit,84.2,71.93
105,Drying,Vegetable,51.33,135.25
106,Drying,Vegetable,78.67,32.7
107,Freezing,Meat,91.03,78.59
108,Freezing,Fruit,82.57,40.13
109,Freezing,Fruit,60.73,129.01
110,Freezing,Meat,80.91,48.78
111,Canning,Fruit,92.24,29.61
112,Canning,Meat,64.09,95.47
113,Freezing,Vegetable,81.45,88.75
114,Freezing,Fruit,98.38,78.03
115,Freezing,Fruit,78.43,64.18
116,Drying,Vegetable,62.5,163.9
117,Drying,Vegetable,78.09,40.2
118,Drying,Fruit,87.0,44.75
119,Canning,Fruit,76.72,57.3
120,Freezing,Vegetable,64.88,93.75
121,Freezing,Fruit,92.36,57.21
122,Canning,Meat,97.53,79.59
123,Drying,Fruit,54.59,146.07
