Toy_Type,Durability_Score
Recreational,67.2
Recreational,80.9
Recreational,69.7
Recreational,82.7
Educational,79.6
Educational,78.1
Educational,79.6
Educational,77.7
Recreational,72.5
Recreational,80.9
Recreational,87.7
Recreational,72.0
Recreational,79.5
Educational,75.9
Recreational,93.0
Recreational,81.3
Recreational,89.1
Educational,86.8
Educational,85.9
Recreational,65.8
Educational,75.8
Recreational,71.6
Recreational,76.0
Educational,82.5
Educational,77.2
Recreational,67.8
Recreational,66.4
Educational,85.6
Educational,79.8
Educational,83.4
Recreational,78.6
Recreational,91.4
Recreational,77.5
Educational,82.9
Educational,87.9
Educational,77.7
Recreational,81.5
Recreational,76.9
Educational,80.5
Recreational,69.4
Educational,72.8
Educational,89.2
Educational,72.4
Recreational,73.2
Recreational,85.1
Recreational,72.7
Recreational,81.8
Recreational,74.9
Recreational,74.7
Recreational,78.0
Recreational,81.3
Recreational,88.2
Educational,77.6
Recreational,81.3
Recreational,88.9
Recreational,67.9
Recreational,82.0
Recreational,86.6
Recreational,87.7
Recreational,73.4
Educational,79.1
Recreational,77.3
Educational,76.5
Educational,86.8
Recreational,82.6
Recreational,89.9
Recreational,80.6
Educational,68.5
Educational,73.2
Educational,69.8
Recreational,70.2
Recreational,80.4
Educational,80.4
Educational,83.0
Educational,84.1
Recreational,87.2
Educational,79.8
Educational,71.5
Recreational,86.0
Recreational,88.1
Educational,84.6
Recreational,79.6
Recreational,78.6
Recreational,74.3
Educational,76.0
Educational,84.9
Recreational,76.0
Educational,72.9
Educational,79.6
Educational,74.7
Recreational,82.1
Recreational,61.5
Educational,79.8
Educational,84.3
Educational,88.3
Recreational,94.2
Recreational,91.4
Educational,77.4
Educational,80.4
Recreational,76.7
Recreational,72.3
Educational,70.1
Educational,83.9
Educational,76.2
Educational,72.4
Recreational,62.5
Educational,72.6
Recreational,76.6
Educational,79.0
Educational,88.8
Educational,74.6
Educational,88.3
Educational,74.4
Educational,77.9
Recreational,70.3
Recreational,82.2
Recreational,83.0
Educational,75.8
Educational,85.1
Educational,84.3
Educational,78.7
Recreational,82.0
Recreational,82.4
Recreational,73.9
Educational,75.9
Educational,72.9
Recreational,84.9
Educational,80.8
Educational,80.1
Recreational,84.0
Educational,77.2
Recreational,78.0
Educational,82.6
Educational,81.0
Recreational,77.8
Educational,80.1
Educational,83.3
Educational,78.5
Educational,76.1
Educational,89.5
Recreational,81.8
Educational,85.0
Educational,81.1
Recreational,79.8
Educational,77.5
Recreational,87.4
Recreational,74.3
Educational,87.9
Educational,76.4
Educational,77.9
Educational,89.4
Educational,82.4
Recreational,81.3
Recreational,81.4
Educational,76.0
Recreational,85.4
Educational,78.9
Recreational,73.1
Educational,80.9
Educational,85.7
Educational,80.9
Educational,89.4
Recreational,67.7
Recreational,84.3
Educational,84.9
Recreational,80.7
Educational,71.7
Recreational,80.4
Recreational,83.7
Educational,82.2
Educational,77.7
Recreational,72.6
Educational,78.8
Educational,82.3
Recreational,77.1
Recreational,71.2
Recreational,82.2
Recreational,79.9
Recreational,85.7
Recreational,81.9
Educational,82.4
Educational,83.6
Recreational,75.8
Recreational,84.9
Educational,80.9
Educational,93.6
Recreational,72.5
Educational,83.6
Educational,89.5
Educational,70.2
Educational,74.5
Recreational,83.1
Educational,78.1
Recreational,83.7
Educational,79.5
Recreational,86.0
Recreational,82.8
Recreational,70.9
Recreational,80.3
Recreational,79.0
Recreational,85.9
Educational,78.5
Recreational,85.4
Educational,79.3
Educational,79.5
Educational,77.2
Recreational,73.9
Educational,75.3
Recreational,66.7
Educational,75.0
Recreational,80.3
Recreational,86.8
Educational,85.3
Educational,80.6
Recreational,75.1
Educational,81.7
Recreational,78.9
Educational,77.8
Educational,63.8
Recreational,73.9
Educational,81.7
Educational,83.7
Educational,75.2
Educational,74.0
Recreational,87.7
Recreational,69.9
Recreational,83.5
Educational,77.3
Educational,78.9
Educational,75.1
Educational,73.1
Recreational,67.1
Educational,83.2
Recreational,88.3
Educational,84.3
Educational,87.4
Recreational,77.7
Educational,80.6
Educational,82.9
Recreational,82.8
Educational,73.2
Recreational,78.2
Educational,85.2
Educational,83.4
Educational,78.8
Educational,75.3
Recreational,85.6
Educational,76.2
Educational,84.0
Educational,74.4
Educational,82.4
Educational,75.5
Educational,84.9
Recreational,65.9
Recreational,84.0
Recreational,80.9
Recreational,79.1
Recreational,72.2
Recreational,73.7
Educational,78.8
Educational,87.2
Educational,78.3
Recreational,81.0
Recreational,81.4
Educational,74.3
Recreational,76.4
Educational,84.5
Educational,80.1
Educational,79.6
Recreational,81.7
Educational,77.8
Educational,81.9
Recreational,80.3
Recreational,71.4
Recreational,80.3
Educational,69.0
Educational,76.8
Recreational,75.3
Recreational,85.5
Educational,81.2
Recreational,72.8
Recreational,79.7
Educational,80.7
Educational,85.5
Recreational,80.5
Educational,76.4
Educational,71.9
Recreational,79.2
Educational,79.8
Educational,77.0
Educational,78.8
Recreational,84.4
Educational,88.8
Educational,89.0
Educational,87.1
Educational,81.4
Recreational,81.6
Recreational,74.8
Recreational,88.7
