net_wealth,service_involvement,high_wealth
112820.45148971595,19.0,0.0
106850.67473331108,19.0,0.0
118590.3312227228,19.0,0.0
184323.7729765661,12.0,0.0
166439.5159705303,10.0,0.0
200749.45570851603,15.0,0.0
186158.30444837912,10.0,0.0
185118.4166210777,13.0,0.0
102997.58526437762,19.0,0.0
198130.25314623828,9.0,0.0
141997.2723804822,14.0,0.0
128524.2667797907,8.0,0.0
139255.80683279192,8.0,0.0
149705.7181053048,15.0,0.0
138855.7022371708,18.0,0.0
114170.09571456075,8.0,0.0
152579.99809960322,7.0,0.0
70526.6630775236,16.0,0.0
148186.65588061436,10.0,0.0
141884.3948241579,17.0,0.0
160669.5842247893,9.0,0.0
71670.99808713583,12.0,0.0
190516.2919717218,9.0,0.0
174276.81638824422,17.0,0.0
144553.68583370725,19.0,0.0
169421.61321624194,16.0,0.0
203334.30868297676,5.0,0.0
129501.38643659384,6.0,0.0
142048.40046154882,13.0,0.0
115233.62733647732,9.0,0.0
77004.84456742801,17.0,0.0
102757.10004777912,15.0,0.0
177092.08739399587,18.0,0.0
186231.82455336576,10.0,0.0
213950.5215006357,16.0,0.0
133305.1170540615,18.0,0.0
91850.08516591784,5.0,0.0
105909.8320576519,14.0,0.0
164441.58025653556,18.0,0.0
128019.39272830008,13.0,0.0
137885.2096433639,15.0,0.0
111324.14238887589,12.0,0.0
99448.3637245093,17.0,0.0
157802.68782257524,13.0,0.0
137381.7283367776,10.0,0.0
99926.50259589512,12.0,0.0
188020.3189093619,17.0,0.0
111797.7430196276,9.0,0.0
168837.76554588217,9.0,0.0
54352.15926481395,7.0,0.0
133535.67756330516,12.0,0.0
118099.79278526886,9.0,0.0
102398.4715413971,5.0,0.0
142198.3555042902,17.0,0.0
119589.6650880037,16.0,0.0
163516.40785020386,18.0,0.0
85957.17045130525,10.0,0.0
181128.0018836049,9.0,0.0
151249.37697358965,9.0,0.0
114467.59943330148,15.0,0.0
191725.92686088436,13.0,0.0
201635.5450871032,14.0,0.0
152015.3651124955,7.0,0.0
53950.84168378952,18.0,0.0
156076.66856941287,11.0,0.0
122962.88116979648,5.0,0.0
127949.96493261424,13.0,0.0
163282.26593531875,12.0,0.0
150039.6687635839,11.0,0.0
90039.52304214114,17.0,0.0
182546.2022719339,19.0,0.0
210995.52961575496,10.0,0.0
164024.52617758984,18.0,0.0
199830.65024967396,15.0,0.0
81298.15118446981,16.0,0.0
145522.64898987702,7.0,0.0
121536.55229340728,14.0,0.0
157029.5915400095,5.0,0.0
100009.4343479338,12.0,0.0
262347.35182738863,13.0,0.0
203805.44929985653,14.0,0.0
109656.6875385038,9.0,0.0
194713.21430500885,11.0,0.0
232339.9101201109,16.0,0.0
114627.68375564137,6.0,0.0
125994.68702884136,9.0,0.0
90835.79440169311,8.0,0.0
183646.69402563255,5.0,0.0
201062.96065971648,8.0,0.0
195870.61555178952,19.0,0.0
69859.9260430426,9.0,0.0
161332.61533708693,13.0,0.0
207163.4395277818,6.0,0.0
181055.73317330325,16.0,0.0
209798.6568770368,16.0,0.0
164561.03350315522,15.0,0.0
150895.7231164022,8.0,0.0
131294.9385486837,10.0,0.0
185060.31324151147,8.0,0.0
175758.78839242604,6.0,0.0
186077.97034627263,6.0,0.0
162241.71200042588,17.0,0.0
100798.80269964048,8.0,0.0
167970.5306433625,19.0,0.0
133446.50514933773,7.0,0.0
177405.1700234907,7.0,0.0
144177.7012254383,18.0,0.0
197492.6494328613,17.0,0.0
176124.74962779897,8.0,0.0
124950.2501833078,17.0,0.0
223124.8916934188,15.0,0.0
140807.78969358347,16.0,0.0
26014.89014848092,18.0,0.0
159136.92169676546,17.0,0.0
99556.40184438502,16.0,0.0
134404.3816478475,19.0,0.0
190573.21562258367,5.0,0.0
157595.8382288819,15.0,0.0
148598.52411008684,12.0,0.0
129961.67586645554,9.0,0.0
180464.20093548024,11.0,0.0
76169.61957361246,17.0,0.0
153450.22835215493,13.0,0.0
148054.51582439776,14.0,0.0
226265.20755232917,19.0,0.0
153941.36047169776,13.0,0.0
130421.41658778588,14.0,0.0
126008.0337048258,8.0,0.0
188333.7917676688,14.0,0.0
163041.8157258924,8.0,0.0
124527.53141721546,10.0,0.0
132405.57654620963,9.0,0.0
141765.26685201758,19.0,0.0
138555.05493033247,18.0,0.0
186532.01258099216,9.0,0.0
178677.7241246358,17.0,0.0
186314.14403517247,5.0,0.0
126687.80005219716,6.0,0.0
81442.36151529104,17.0,0.0
139106.68139171548,11.0,0.0
164750.02813889214,7.0,0.0
133906.11449322783,12.0,0.0
128506.9315189828,14.0,0.0
231840.85447142395,5.0,0.0
77161.7667236049,15.0,0.0
134112.40160935337,15.0,0.0
88653.37190203107,14.0,0.0
124852.08635801508,17.0,0.0
213184.5394955425,9.0,0.0
200586.5912618864,10.0,0.0
104175.7989381388,11.0,0.0
143844.7630960596,15.0,0.0
209692.74352529703,6.0,0.0
205943.7483897512,14.0,0.0
100305.5713873166,15.0,0.0
144235.0429915816,8.0,0.0
102701.45589515928,12.0,0.0
142349.69820957485,12.0,0.0
120785.099441576,15.0,0.0
119673.5804393236,16.0,0.0
165846.44256598048,6.0,0.0
150950.5769946499,5.0,0.0
208614.7457169564,13.0,0.0
132383.20877600828,5.0,0.0
142148.61592159537,7.0,0.0
120307.14369589563,5.0,0.0
178209.07703940067,8.0,0.0
105943.60721076664,8.0,0.0
152534.45744476785,9.0,0.0
165748.8626826198,18.0,0.0
145609.7048435646,18.0,0.0
217496.89583568007,19.0,0.0
127026.91074566156,6.0,0.0
171449.95910106986,18.0,0.0
182034.74237431737,19.0,0.0
141074.3314987401,13.0,0.0
150031.78814712353,9.0,0.0
230234.03123182975,7.0,0.0
174947.53118273054,5.0,0.0
129379.25499268074,6.0,0.0
214159.860585504,19.0,0.0
178981.63562849388,5.0,0.0
174048.1762537068,8.0,0.0
162486.4479508678,8.0,0.0
184432.39986594464,17.0,0.0
122084.2030621596,9.0,0.0
220139.06389613345,13.0,0.0
204351.21413946457,16.0,0.0
157038.37493292143,16.0,0.0
178592.46022663428,12.0,0.0
163843.62134392973,18.0,0.0
109351.76237757244,5.0,0.0
92483.09226182169,15.0,0.0
194419.46449922124,18.0,0.0
156584.49158975302,12.0,0.0
186716.3437444045,18.0,0.0
64630.81111181804,7.0,0.0
115769.66229120264,12.0,0.0
169527.36087095205,17.0,0.0
177949.6762152806,7.0,0.0
79571.50125168629,9.0,0.0
85632.00370981287,15.0,0.0
171343.9475264965,6.0,0.0
156978.65286244953,16.0,0.0
104831.20610744468,14.0,0.0
185335.2329591906,8.0,0.0
177915.27134436287,18.0,0.0
214989.1743375452,11.0,0.0
116040.63282622508,15.0,0.0
115190.33612369576,14.0,0.0
160301.03430825798,14.0,0.0
127013.07809163089,16.0,0.0
120927.52133930755,17.0,0.0
190944.7532058068,12.0,0.0
177457.26665699325,16.0,0.0
182803.56684149223,11.0,0.0
155048.20457018045,15.0,0.0
131566.98537887557,5.0,0.0
129180.59736457188,18.0,0.0
66102.49396255193,12.0,0.0
190004.49937842548,8.0,0.0
167432.5502627021,18.0,0.0
148700.57670814847,16.0,0.0
145904.45052323886,5.0,0.0
