id,weight
262.0,39.07
74.0,44.04
471.0,46.58
382.0,48.01
442.0,48.46
431.0,48.69
236.0,48.8
79.0,49.1
37.0,49.32
285.0,49.38
110.0,49.65
13.0,49.69
221.0,50.06
49.0,50.9
429.0,50.93
14.0,51.2
396.0,51.29
438.0,51.37
223.0,52.1
142.0,52.14
482.0,52.15
400.0,52.24
130.0,52.59
412.0,52.73
254.0,52.85
189.0,52.88
472.0,52.88
44.0,53.17
95.0,53.29
346.0,53.42
271.0,53.51
267.0,53.56
23.0,53.6
485.0,53.62
100.0,53.68
19.0,53.7
347.0,53.74
123.0,53.79
499.0,53.94
437.0,53.96
204.0,53.98
38.0,54.37
147.0,54.44
392.0,54.44
444.0,54.56
250.0,54.91
265.0,55.02
193.0,55.03
146.0,55.1
283.0,55.1
139.0,55.15
35.0,55.23
325.0,55.29
244.0,55.4
459.0,55.42
63.0,55.43
158.0,55.47
430.0,55.53
117.0,55.65
26.0,55.79
199.0,55.86
411.0,56.0
62.0,56.15
487.0,56.35
227.0,56.38
182.0,56.43
406.0,56.46
132.0,56.5
449.0,56.53
33.0,56.54
496.0,56.7
457.0,56.72
263.0,56.8
16.0,56.9
324.0,56.95
355.0,56.98
126.0,57.08
452.0,57.11
274.0,57.15
160.0,57.2
426.0,57.28
481.0,57.36
447.0,57.48
205.0,57.5
260.0,57.58
134.0,57.64
121.0,57.72
18.0,57.74
390.0,57.81
331.0,57.82
170.0,57.88
196.0,57.93
498.0,58.0
493.0,58.11
181.0,58.14
188.0,58.23
380.0,58.28
56.0,58.29
300.0,58.37
359.0,58.38
336.0,58.4
340.0,58.42
163.0,58.43
322.0,58.45
171.0,58.47
379.0,58.53
84.0,58.53
103.0,58.58
240.0,58.66
455.0,58.66
136.0,58.73
369.0,58.82
216.0,58.82
375.0,58.86
384.0,58.93
484.0,58.95
169.0,58.97
415.0,59.01
230.0,59.16
45.0,59.24
348.0,59.25
228.0,59.28
155.0,59.29
257.0,59.34
92.0,59.38
462.0,59.4
295.0,59.46
152.0,59.56
52.0,59.58
333.0,59.58
238.0,59.71
247.0,59.77
233.0,59.79
486.0,59.83
69.0,59.84
289.0,60.02
30.0,60.19
28.0,60.19
277.0,60.2
401.0,60.2
381.0,60.2
307.0,60.27
292.0,60.29
389.0,60.38
469.0,60.39
127.0,60.47
339.0,60.49
15.0,60.5
301.0,60.52
458.0,60.57
24.0,60.64
468.0,60.76
454.0,60.76
88.0,60.76
383.0,60.79
83.0,60.85
448.0,60.89
343.0,60.94
129.0,60.97
85.0,60.99
291.0,61.06
218.0,61.12
255.0,61.13
60.0,61.17
246.0,61.2
224.0,61.22
344.0,61.23
8.0,61.24
395.0,61.25
11.0,61.27
10.0,61.29
46.0,61.31
404.0,61.4
190.0,61.43
268.0,61.48
101.0,61.63
365.0,61.79
94.0,61.86
51.0,61.92
279.0,61.92
102.0,62.26
245.0,62.32
93.0,62.38
137.0,62.42
337.0,62.43
214.0,62.48
317.0,62.52
57.0,62.53
43.0,62.59
77.0,62.61
29.0,62.67
357.0,62.69
470.0,62.8
432.0,62.84
178.0,62.88
264.0,62.98
475.0,63.01
422.0,63.01
168.0,63.04
217.0,63.11
99.0,63.12
4.0,63.13
5.0,63.13
21.0,63.19
184.0,63.21
465.0,63.23
80.0,63.24
310.0,63.26
349.0,63.29
290.0,63.34
309.0,63.38
114.0,63.46
497.0,63.48
61.0,63.51
104.0,63.71
353.0,63.72
286.0,63.79
335.0,63.82
407.0,63.86
1.0,63.89
319.0,63.96
480.0,63.98
42.0,64.07
398.0,64.08
241.0,64.08
464.0,64.1
362.0,64.13
456.0,64.14
443.0,64.29
172.0,64.38
109.0,64.4
66.0,64.42
187.0,64.42
450.0,64.5
261.0,64.52
439.0,64.56
72.0,64.71
116.0,64.72
441.0,64.74
111.0,64.79
304.0,64.83
354.0,64.85
356.0,64.85
32.0,64.89
330.0,64.9
490.0,64.94
402.0,65.04
98.0,65.04
273.0,65.08
176.0,65.1
367.0,65.1
315.0,65.17
370.0,65.2
461.0,65.28
232.0,65.36
403.0,65.38
198.0,65.47
112.0,65.48
226.0,65.51
22.0,65.54
419.0,65.54
131.0,65.55
278.0,65.56
435.0,65.59
332.0,65.61
492.0,65.62
219.0,65.65
76.0,65.7
78.0,65.73
90.0,65.78
320.0,65.78
368.0,65.78
128.0,65.8
25.0,65.89
280.0,65.91
417.0,65.93
305.0,65.94
408.0,65.96
269.0,66.05
385.0,66.2
197.0,66.23
41.0,66.37
194.0,66.39
107.0,66.4
377.0,66.47
143.0,66.48
237.0,66.49
39.0,66.57
276.0,66.59
483.0,66.63
36.0,66.67
192.0,66.71
463.0,66.71
231.0,66.73
366.0,66.79
140.0,66.82
153.0,66.86
345.0,66.86
12.0,66.94
341.0,66.95
342.0,66.96
150.0,67.0
108.0,67.06
144.0,67.08
97.0,67.09
174.0,67.21
288.0,67.25
154.0,67.34
96.0,67.37
149.0,67.38
115.0,67.41
297.0,67.46
350.0,67.49
477.0,67.49
17.0,67.51
358.0,67.58
50.0,67.59
318.0,67.59
87.0,67.63
58.0,67.65
414.0,67.66
173.0,67.73
386.0,67.73
48.0,67.75
151.0,67.77
200.0,67.86
294.0,67.86
81.0,67.86
70.0,67.89
68.0,67.89
446.0,67.93
27.0,68.01
440.0,68.07
195.0,68.08
363.0,68.21
105.0,68.23
249.0,68.24
165.0,68.3
338.0,68.3
258.0,68.55
275.0,68.7
186.0,68.79
157.0,68.79
133.0,68.79
183.0,68.86
391.0,68.94
0.0,68.97
371.0,68.98
453.0,69.03
242.0,69.04
207.0,69.11
89.0,69.11
208.0,69.12
409.0,69.12
206.0,69.12
360.0,69.15
148.0,69.18
495.0,69.31
9.0,69.34
308.0,69.38
201.0,69.49
210.0,69.57
476.0,69.61
124.0,69.69
287.0,69.71
321.0,69.76
303.0,69.88
53.0,69.89
466.0,69.91
405.0,69.98
328.0,69.99
180.0,70.01
329.0,70.03
299.0,70.04
235.0,70.07
424.0,70.16
2.0,70.18
213.0,70.21
159.0,70.25
281.0,70.3
445.0,70.36
229.0,70.44
316.0,70.46
222.0,70.49
427.0,70.49
364.0,70.52
410.0,70.69
185.0,70.71
433.0,70.74
40.0,70.91
302.0,70.98
119.0,71.02
467.0,71.06
215.0,71.07
7.0,71.14
259.0,71.2
145.0,71.25
161.0,71.3
