popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
64.0,0.6940000000000001,0.61,217400.0,0.59,2.32e-06,0.15,-7.325,0.0362,137.838,0.352,0.0
31.0,0.7390000000000001,0.565,260467.0,0.3929999999999999,0.0008449999999999,0.143,-9.309,0.0244,75.53699999999999,0.2289999999999999,0.0
57.0,0.00879,0.433,262867.0,0.815,0.0,0.138,-3.658,0.0786420828905419,125.358,0.461,1.0
63.0,0.0105,0.359,563893.0,0.762,0.281,0.368,-8.323,0.032,89.259,0.1669999999999999,1.0
51.6687306501548,0.301,0.511,217649.25412541252,0.6990000000000001,0.1372929254675467,0.0884,-8.284353556485357,0.037,120.40649672489091,0.496,0.0
65.0,0.2627541067,0.491,-1.0,0.6365506375,2.78e-06,0.626,-6.564,0.0281,112.704,0.407,1.0
44.0,0.71,0.627,217649.25412541252,0.496,0.1372929254675467,0.3429999999999999,-11.866,0.0396,95.0,0.0801,0.0
48.0,0.2627541067,0.54,349980.0,0.6365506375,0.0468,0.599,-8.284353556485357,0.0355,86.054,0.243,0.0
67.0,0.000531,0.502,217649.25412541252,0.685,0.1372929254675467,0.0923,-5.847,0.0283,81.978,0.574,1.0
52.0,0.2627541067,0.835,170658.0,0.6365506375,0.0,0.304,-4.052,0.247,122.019,0.833,0.0
58.0,0.0844,0.593,-1.0,0.8370000000000001,0.0,0.148,-4.834,0.0302,99.947,0.569,1.0
38.0,0.11,0.418,318178.0,0.652,0.535,0.354,-11.112,0.0748,80.45100000000001,0.607,0.0
57.0,0.7859999999999999,0.127,288733.0,0.335,0.427,0.111,-8.298,0.0329,77.078,0.0686,0.0
53.0,0.0157,0.6629999999999999,212613.0,0.777,0.00829,0.0755,-5.496,0.0375,143.003,0.94,1.0
28.0,0.0819999999999999,0.5463947491248541,210707.0,0.948,0.0117,0.968,-4.517,0.1009999999999999,161.47299999999998,0.4759757292882147,0.0
50.0,0.0506,0.6629999999999999,125747.0,0.738,0.0,0.0894,-6.957999999999999,0.4,184.078,0.544,0.0
56.0,0.2627541067,0.705,273810.0,0.6365506375,0.0,0.176,-6.397,0.396,71.666,0.35,0.0
74.0,0.311,0.644,217649.25412541252,0.501,0.1372929254675467,0.2010285115303983,-8.959,0.492,120.70183201047304,0.173,0.0
54.0,0.00535,0.413,231368.0,0.885,1.97e-06,0.166,-7.695,0.0777,113.807,0.211,0.0
