x_coordinate,y_coordinate,x_scaled,y_scaled
17.0,4.0,0.5093490504878759,0.0900098453652847
20.0,6.0,0.59923417704456,0.13501476804792703
35.0,0.0,1.04865980982798,0.0
14.0,0.0,0.419463923931192,0.0
37.0,4.0,1.1085832275324359,0.0900098453652847
33.0,3.0,0.9887363921235239,0.06750738402396352
14.0,1.0,0.419463923931192,0.022502461341321174
30.0,6.0,0.8988512655668399,0.13501476804792703
35.0,5.0,1.04865980982798,0.11251230670660586
17.0,4.0,0.5093490504878759,0.0900098453652847
11.0,6.0,0.32957879737450796,0.13501476804792703
21.0,10.0,0.629195885896788,0.22502461341321173
13.0,8.0,0.389502215078964,0.1800196907305694
10.0,10.0,0.29961708852228,0.22502461341321173
81.0,97.0,2.426898417030468,2.182738750108154
84.0,94.0,2.516783543587152,2.11523136608419
87.0,99.0,2.606668670143836,2.227743672790796
83.0,95.0,2.486821834734924,2.1377338274255115
90.0,95.0,2.69655379670052,2.1377338274255115
97.0,97.0,2.9062857586661157,2.182738750108154
94.0,99.0,2.8164006321094317,2.227743672790796
88.0,99.0,2.6366303789960637,2.227743672790796
89.0,94.0,2.666592087848292,2.11523136608419
93.0,99.0,2.786438923257204,2.227743672790796
92.0,90.0,2.756477214404976,2.0252215207189055
82.0,98.0,2.4568601258826956,2.205241211449475
81.0,100.0,2.426898417030468,2.250246134132117
92.0,93.0,2.756477214404976,2.092728904742869
91.0,98.0,2.7265155055527477,2.205241211449475
22.0,15.0,0.6591575947490159,0.3375369201198176
23.0,10.0,0.689119303601244,0.22502461341321173
25.0,0.0,0.7490427213056999,0.0
25.0,10.0,0.7490427213056999,0.22502461341321173
27.0,7.0,0.8089661390101559,0.15751722938924823
17.0,17.0,0.5093490504878759,0.38254184280245995
17.0,15.0,0.5093490504878759,0.3375369201198176
