Elbow rest height,Wrist circumference,Ankle circumference,Buttock height,Crotch height
247,175,222,882,877
232,167,220,870,851
237,180,230,901,854
272,176,230,821,769
188,188,247,1080,1014
243,171,216,871,828
284,195,257,919,874
254,185,254,950,934
262,191,230,926,875
215,179,233,944,909
300,174,218,879,839
212,171,205,937,872
200,183,244,989,923
262,184,241,976,913
240,183,243,856,804
238,187,237,946,885
246,176,231,852,810
264,180,233,910,860
259,170,205,904,876
279,175,238,898,861
254,187,228,895,863
282,172,222,820,785
247,174,227,877,807
225,185,250,1057,1019
258,186,251,893,819
248,157,220,825,788
259,184,235,951,866
273,180,219,896,857
203,183,229,900,857
283,176,224,901,864
268,179,223,944,924
253,186,238,903,854
222,158,210,850,822
222,183,225,989,920
221,171,223,898,865
253,168,220,920,867
218,155,193,862,815
275,197,255,963,892
230,172,218,897,857
284,180,230,860,818
236,161,193,900,836
228,174,227,874,823
296,182,246,912,870
254,177,231,893,829
271,177,240,899,841
257,164,227,805,765
244,178,215,844,838
260,170,213,908,815
281,191,245,970,904
252,170,233,831,789
261,190,262,911,829
261,182,213,939,894
249,160,206,847,801
271,181,251,907,833
293,182,242,842,796
255,197,260,971,897
230,177,208,973,911
273,171,232,882,813
260,179,215,898,839
271,175,242,936,890
210,161,203,841,789
200,167,190,909,852
233,176,234,950,900
231,177,223,883,824
243,179,222,912,821
269,169,206,885,825
226,173,230,840,792
264,189,250,969,926
223,171,222,884,862
225,171,223,842,786
242,170,231,917,860
156,162,201,922,874
226,164,215,815,775
261,175,213,870,809
274,175,240,963,905
237,184,240,894,825
247,175,233,845,765
237,190,243,938,872
225,178,237,935,876
210,185,263,957,915
231,166,218,932,873
230,178,226,914,875
259,175,237,948,888
289,174,214,888,851
247,165,210,879,816
258,157,202,746,724
230,175,245,882,842
273,186,245,898,844
192,165,211,939,881
273,167,212,870,804
249,180,235,898,841
285,175,231,874,830
287,180,224,901,864
198,180,210,960,909
241,181,221,955,896
236,178,233,950,891
229,155,223,845,802
248,174,231,895,822
246,170,220,880,853
250,185,228,894,821
225,185,225,920,892
228,167,228,890,846
212,178,233,914,871
307,175,237,896,823
266,175,236,950,901
271,174,227,977,952
254,181,243,897,818
215,181,247,886,799
202,168,213,998,934
263,170,252,884,805
260,178,234,953,891
285,179,224,906,837
265,167,207,845,792
285,201,253,931,860
277,185,232,959,875
291,185,252,960,861
303,174,214,836,776
258,183,236,918,847
289,200,274,1011,920
260,183,228,836,781
231,161,227,841,777
242,181,229,895,850
257,164,200,889,826
283,190,254,962,880
269,191,237,959,901
175,171,219,987,907
185,172,213,988,905
291,183,243,930,889
256,179,223,945,883
265,184,248,891,835
225,161,223,872,839
215,184,245,926,882
183,172,221,962,901
238,176,214,933,848
261,186,267,923,893
293,164,215,853,798
254,177,233,971,931
282,173,241,929,874
237,179,244,956,891
270,172,224,898,822
257,182,234,919,872
220,173,234,927,886
239,191,243,972,910
237,165,235,869,821
246,178,228,908,849
285,186,255,989,916
277,182,237,850,803
231,182,255,918,868
174,175,233,1014,965
222,177,223,1015,982
235,188,248,944,860
284,181,227,953,883
238,177,218,919,866
279,179,238,880,802
270,183,245,1004,966
263,181,225,945,875
232,178,236,950,876
242,173,250,931,895
260,164,205,830,768
243,187,215,950,880
220,186,243,1008,935
274,172,224,899,839
252,183,232,978,924
303,183,260,939,887
285,178,238,870,816
247,177,224,888,829
288,179,231,945,860
219,161,243,869,803
265,189,250,933,861
220,175,223,887,812
258,187,240,1021,971
228,176,227,875,837
268,187,245,927,867
253,169,235,912,841
271,176,222,888,828
252,175,225,950,913
272,171,242,892,801
246,177,225,960,911
249,178,243,933,849
246,175,223,886,840
223,170,216,898,860
278,180,246,832,762
202,162,226,885,864
253,179,221,954,942
253,178,223,875,825
271,179,240,919,859
282,185,245,979,937
200,174,227,992,959
236,186,243,990,932
233,166,214,880,832
251,177,235,806,757
258,184,234,945,911
290,200,281,939,855
255,177,233,892,867
241,163,224,877,804
260,170,205,933,875
215,167,208,918,854
274,172,213,944,880
254,185,241,880,804
242,180,225,951,872
269,183,245,1015,923
255,180,216,909,842
211,181,230,926,887
219,187,247,917,861
267,168,221,831,795
316,188,233,883,795
287,180,230,947,893
297,197,253,981,934
274,183,246,919,833
221,182,224,881,824
189,177,220,908,869
264,179,223,871,800
275,160,222,879,831
207,168,223,915,854
216,178,233,923,867
178,152,197,861,779
313,182,256,972,878
238,172,220,927,849
247,195,245,1002,946
218,157,197,858,799
291,176,218,845,785
246,180,230,884,854
240,186,240,1024,953
213,173,224,970,902
237,194,255,980,915
318,186,260,860,795
245,167,240,866,803
245,165,225,913,836
240,179,219,942,875
256,176,216,961,883
238,172,237,861,780
276,188,244,888,809
245,173,219,857,803
230,190,267,945,903
222,177,223,932,871
218,171,223,843,787
232,183,247,976,906
239,178,222,967,920
228,165,207,886,839
251,177,230,964,925
185,176,213,965,901
230,184,251,926,871
247,178,227,891,826
268,180,226,906,852
269,185,226,963,873
251,190,253,981,899
255,165,233,849,771
224,176,219,835,772
264,171,238,850,815
220,164,212,821,764
325,186,255,878,844
200,176,224,923,868
262,179,227,953,895
238,167,217,898,837
238,169,206,846,803
236,163,207,881,811
292,172,217,840,785
266,180,213,929,841
270,192,248,923,836
252,162,215,863,824
251,165,212,901,838
259,186,248,943,894
240,179,229,945,877
195,166,224,890,839
269,182,250,940,877
280,168,230,976,882
190,168,210,856,792
274,186,253,937,875
254,183,242,987,899
264,177,233,933,857
269,200,252,1005,911
289,170,235,887,840
284,171,216,874,826
230,169,198,849,780
231,181,227,920,862
212,175,227,888,833
247,188,249,939,851
252,178,228,863,842
248,161,218,880,826
282,190,233,1013,956
254,177,234,927,859
290,182,245,946,880
281,180,240,941,859
217,164,210,843,783
255,174,241,873,818
197,172,195,970,891
226,167,212,834,779
228,189,245,868,804
272,171,222,816,768
254,184,251,970,937
227,177,235,855,793
283,173,211,917,863
261,178,234,883,821
263,185,246,940,875
244,190,240,874,855
256,184,223,896,844
267,184,250,859,796
249,165,213,863,808
225,175,210,891,867
253,179,235,907,861
199,150,193,848,780
258,173,216,819,786
262,189,250,943,886
318,183,257,921,858
279,176,234,899,868
230,188,260,954,878
251,182,246,1071,1007
226,181,234,952,902
265,168,224,921,859
278,171,218,881,848
277,184,240,954,891
271,183,260,864,836
237,158,214,844,781
238,180,237,892,812
263,172,223,862,768
207,179,234,943,908
202,184,220,946,891
231,171,218,957,906
218,176,222,931,880
225,174,220,888,834
238,165,219,936,862
179,174,201,930,899
225,170,233,889,818
239,174,233,994,924
160,171,210,995,955
260,176,227,853,816
235,161,241,892,830
194,177,222,900,851
268,183,246,960,913
269,173,237,988,977
263,180,230,894,844
291,202,257,993,929
274,179,225,844,786
220,174,240,919,868
283,172,245,966,912
234,177,218,910,867
235,160,223,866,789
243,171,217,822,770
253,175,236,943,912
275,169,231,958,917
216,177,233,955,914
195,168,232,908,858
206,175,213,934,887
281,170,233,883,844
234,171,220,928,862
201,177,213,863,810
266,183,241,901,845
274,183,234,1017,934
225,183,231,921,874
212,175,225,818,776
274,183,235,945,893
217,180,217,953,899
243,198,261,942,860
239,180,247,949,883
288,185,244,840,782
200,181,245,909,845
249,178,228,887,823
233,173,213,862,845
241,170,215,873,831
199,171,212,878,821
280,175,232,895,846
182,185,240,900,844
214,164,198,813,773
302,158,207,833,801
274,181,236,926,883
263,178,240,819,767
298,185,236,862,824
274,180,258,874,824
261,168,223,822,766
269,186,256,987,928
251,181,246,1006,938
273,191,253,845,802
289,168,225,926,868
310,200,267,964,906
221,178,235,912,864
173,173,223,999,956
252,172,234,864,842
253,180,238,860,811
225,166,212,913,831
218,183,232,943,917
260,182,233,826,824
249,183,228,946,905
286,166,221,840,782
262,164,226,809,795
233,179,231,870,847
273,184,245,896,815
277,185,236,941,831
205,163,212,808,788
239,172,256,841,802
307,179,230,843,770
205,175,218,827,801
239,173,233,822,791
234,170,244,828,813
278,185,257,853,808
290,188,243,877,823
190,178,236,987,920
211,174,236,895,848
283,172,215,810,780
231,178,225,891,887
213,177,226,899,865
257,176,222,877,847
273,164,205,875,849
223,175,222,866,812
220,176,220,871,837
283,162,203,806,740
236,165,220,789,762
202,167,235,823,776
242,192,249,916,875
208,167,227,845,824
265,185,242,929,909
255,182,230,867,837
222,173,216,969,916
256,190,253,878,826
256,181,235,910,880
258,185,254,870,845
200,156,213,809,755
216,175,240,888,856
233,183,243,970,951
274,179,242,835,796
233,170,230,842,805
254,168,213,847,786
212,179,228,849,805
283,186,250,856,815
276,167,211,817,776
242,176,241,954,909
268,174,226,873,820
