stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
1.776,882.0,240.0,1782.0,933.0,1151.0,273.0,193.0,1136.0,1292.0,1074.0,1535.0,928.0
1.702,870.0,225.0,1745.0,870.0,1119.0,263.0,195.0,1096.0,1244.0,1021.0,1471.0,884.0
1.735,901.0,255.0,1867.0,964.0,1276.0,270.0,203.0,1115.0,1288.0,1120.0,1501.0,917.0
1.655,821.0,205.0,1708.0,857.0,1155.0,267.0,194.0,1034.0,1205.0,1114.0,1423.0,903.0
1.914,1080.0,214.0,2035.0,868.0,1231.0,305.0,218.0,1279.0,1452.0,1048.0,1684.0,919.0
1.72,871.0,244.0,1817.0,950.0,1172.0,254.0,190.0,1126.0,1253.0,1066.0,1489.0,898.0
1.81,919.0,274.0,1965.0,1073.0,1331.0,285.0,220.0,1202.0,1372.0,1208.0,1571.0,957.0
1.85,950.0,267.0,1939.0,1010.0,1188.0,281.0,198.0,1169.0,1359.0,1087.0,1612.0,952.0
1.777,926.0,300.0,1812.0,1065.0,1212.0,266.0,197.0,1154.0,1312.0,1181.0,1536.0,922.0
1.811,944.0,212.0,1918.0,824.0,1094.0,278.0,200.0,1143.0,1340.0,964.0,1564.0,932.0
1.78,879.0,254.0,1840.0,994.0,1203.0,265.0,200.0,1093.0,1311.0,1117.0,1527.0,969.0
1.733,937.0,212.0,1823.0,866.0,1126.0,256.0,194.0,1136.0,1272.0,961.0,1509.0,871.0
1.814,989.0,260.0,1995.0,986.0,1275.0,291.0,210.0,1217.0,1367.0,1151.0,1597.0,906.0
1.861,976.0,267.0,1956.0,1045.0,1354.0,274.0,194.0,1219.0,1374.0,1231.0,1623.0,966.0
1.709,856.0,243.0,1726.0,1007.0,1149.0,266.0,184.0,1144.0,1254.0,1060.0,1476.0,918.0
1.74,946.0,297.0,1883.0,1033.0,1224.0,278.0,203.0,1183.0,1306.0,1092.0,1511.0,864.0
1.694,852.0,231.0,1739.0,908.0,1145.0,270.0,188.0,1128.0,1265.0,1085.0,1461.0,899.0
1.766,910.0,268.0,1828.0,1028.0,1152.0,270.0,203.0,1140.0,1331.0,1118.0,1522.0,929.0
1.7480000000000002,904.0,208.0,1749.0,874.0,1140.0,266.0,179.0,1132.0,1293.0,999.0,1518.0,915.0
1.794,898.0,259.0,1850.0,999.0,1146.0,277.0,198.0,1143.0,1322.0,1127.0,1533.0,969.0
1.78,895.0,199.0,1846.0,837.0,1125.0,275.0,195.0,1146.0,1276.0,1000.0,1520.0,949.0
1.68,820.0,216.0,1695.0,880.0,1121.0,254.0,185.0,1063.0,1262.0,977.0,1443.0,914.0
1.653,877.0,241.0,1706.0,978.0,1170.0,267.0,180.0,1089.0,1216.0,1079.0,1423.0,867.0
1.959,1057.0,208.0,2072.0,827.0,1203.0,301.0,227.0,1286.0,1506.0,1011.0,1707.0,959.0
1.755,893.0,273.0,1809.0,1030.0,1160.0,277.0,194.0,1133.0,1291.0,1098.0,1509.0,945.0
1.63,825.0,228.0,1655.0,885.0,1031.0,263.0,181.0,1042.0,1174.0,957.0,1410.0,874.0
1.825,951.0,300.0,1876.0,1130.0,1238.0,266.0,199.0,1145.0,1343.0,1158.0,1564.0,961.0
1.795,896.0,229.0,1828.0,912.0,1095.0,275.0,192.0,1132.0,1316.0,964.0,1550.0,958.0
1.745,900.0,219.0,1803.0,864.0,1084.0,278.0,193.0,1140.0,1290.0,971.0,1500.0,906.0
1.818,901.0,242.0,1807.0,965.0,1135.0,271.0,196.0,1130.0,1325.0,1057.0,1568.0,980.0
1.881,944.0,186.0,1898.0,777.0,1141.0,262.0,192.0,1198.0,1376.0,957.0,1620.0,983.0
1.76,903.0,275.0,1863.0,1063.0,1141.0,273.0,201.0,1127.0,1292.0,1108.0,1521.0,933.0
1.675,850.0,226.0,1749.0,870.0,1040.0,269.0,187.0,1075.0,1239.0,947.0,1447.0,880.0
1.852,989.0,240.0,1941.0,966.0,1182.0,280.0,195.0,1189.0,1350.0,1043.0,1615.0,933.0
1.785,898.0,213.0,1803.0,806.0,1123.0,265.0,193.0,1107.0,1307.0,965.0,1525.0,932.0
1.791,920.0,282.0,1894.0,1096.0,1154.0,284.0,194.0,1207.0,1314.0,1174.0,1542.0,927.0
1.685,862.0,225.0,1757.0,895.0,1013.0,236.0,183.0,1124.0,1227.0,951.0,1452.0,882.0
