headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
150.0,583.0,206.0,140.0,100016.24345363663,0.1
146.0,568.0,201.0,120.0,99993.8824358635,0.1
148.0,573.0,202.0,125.0,99994.71828247736,0.1
158.0,576.0,199.0,127.0,99989.27031377844,0.1
153.0,566.0,197.0,122.0,100008.65407629324,0.1
155.0,576.0,198.0,132.0,99976.9846130312,0.1
158.0,612.0,211.0,139.0,100017.44811764215,0.1
156.0,551.0,185.0,131.0,99992.38793099106,0.1
160.0,578.0,198.0,128.0,100003.19039096058,0.1
146.0,549.0,190.0,116.0,99997.50629624522,0.1
155.0,578.0,200.0,142.0,100014.62107937044,0.1
148.0,548.0,189.0,126.0,99979.39859290502,0.1
154.0,580.0,199.0,118.0,99996.77582795986,0.1
165.0,606.0,208.0,134.0,99996.15945645332,0.1
160.0,565.0,186.0,128.0,100011.33769442336,0.1
152.0,567.0,199.0,133.0,99989.00108732686,0.1
160.0,575.0,195.0,133.0,99998.2757179245,0.1
153.0,554.0,188.0,130.0,99991.2214158208,0.1
150.0,567.0,196.0,126.0,100000.42213746716,0.1
150.0,582.0,204.0,135.0,100005.82815213715,0.1
150.0,588.0,202.0,132.0,99988.99380822788,0.1
149.0,568.0,197.0,132.0,100011.4472370984,0.1
150.0,573.0,203.0,140.0,100009.01590720592,0.1
153.0,575.0,201.0,135.0,100005.024943389,0.1
159.0,600.0,211.0,132.0,100009.00855949263,0.1
155.0,552.0,187.0,137.0,99993.16272140824,0.1
154.0,590.0,206.0,130.0,99998.77109774482,0.1
155.0,575.0,196.0,115.0,99990.6423056574,0.1
150.0,571.0,203.0,130.0,99997.32111920374,0.1
148.0,568.0,200.0,128.0,100005.30355466738,0.1
149.0,583.0,206.0,132.0,99993.08339248276,0.1
153.0,595.0,213.0,134.0,99996.03246473144,0.1
153.0,554.0,188.0,128.0,99993.1282729988,0.1
152.0,570.0,202.0,126.0,99991.547943585,0.1
149.0,560.0,197.0,136.0,99993.28753869164,0.1
149.0,578.0,205.0,135.0,99999.8733540108,0.1
150.0,562.0,193.0,138.0,99988.82689651364,0.1
144.0,577.0,204.0,127.0,100002.34415697816,0.1
145.0,583.0,205.0,123.0,100016.5980217711,0.1
160.0,605.0,204.0,135.0,100007.42044160578,0.1
155.0,577.0,202.0,139.0,99998.08164447638,0.1
152.0,563.0,197.0,133.0,99991.12371035916,0.1
156.0,594.0,207.0,124.0,99992.5284170625,0.1
160.0,590.0,200.0,138.0,100016.92454601028,0.1
146.0,568.0,206.0,131.0,100000.50807754775,0.1
162.0,573.0,190.0,145.0,99993.6300435343,0.1
144.0,550.0,193.0,124.0,100001.90915484668,0.1
153.0,583.0,203.0,136.0,100021.0025513648,0.1
155.0,590.0,201.0,128.0,100001.20158952482,0.1
149.0,558.0,193.0,125.0,100006.17203109708,0.1
150.0,563.0,197.0,135.0,100003.00170319957,0.1
152.0,582.0,208.0,128.0,99996.47750153506,0.1
144.0,530.0,183.0,111.0,99988.57481801978,0.1
152.0,574.0,197.0,133.0,99996.50657277588,0.1
157.0,578.0,201.0,126.0,99997.91105766624,0.1
160.0,595.0,200.0,135.0,100005.86623191182,0.1
151.0,568.0,193.0,126.0,100008.38983413874,0.1
152.0,582.0,204.0,123.0,100009.31102081304,0.1
168.0,574.0,192.0,120.0,100002.85587325254,0.1
158.0,580.0,200.0,130.0,100008.85141164272,0.1
155.0,557.0,193.0,131.0,99992.45602059003,0.1
154.0,564.0,193.0,131.0,100012.52868155231,0.1
148.0,566.0,200.0,132.0,100005.12929820418,0.1
154.0,547.0,190.0,124.0,99997.01907164896,0.1
155.0,566.0,192.0,137.0,100004.88518146538,0.1
157.0,567.0,193.0,135.0,99999.24428286978,0.1
158.0,569.0,190.0,140.0,100011.31629387452,0.1
161.0,600.0,212.0,130.0,100015.19816816422,0.1
