index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
116.0,6.5,3.0,5.5,1.8,2.0
142.0,5.8,2.7,5.1,1.9,2.0
148.0,6.2,3.4,5.4,2.3,2.0
67.0,5.8,2.7,4.1,1.0,1.0
133.0,6.3,2.8,5.1,1.5,2.0
107.0,7.3,2.9,6.3,1.8,2.0
136.0,6.3,3.4,5.6,2.4,2.0
147.0,6.5,3.0,5.2,2.0,2.0
146.0,6.3,2.5,5.0,1.9,2.0
97.0,6.2,2.9,4.3,1.3,1.0
123.0,6.3,2.7,4.9,1.8,2.0
82.0,5.8,2.7,3.9,1.2,1.0
96.0,5.7,2.9,4.2,1.3,1.0
146.0,6.3,2.5,5.0,1.9,2.0
75.0,6.6,3.0,4.4,1.4,1.0
133.0,6.3,2.8,5.1,1.5,2.0
128.0,6.4,2.8,5.6,2.1,2.0
86.0,6.7,3.1,4.7,1.5,1.0
146.0,6.3,2.5,5.0,1.9,2.0
130.0,7.4,2.8,6.1,1.9,2.0
