index,max_depth,min_samples_leaf,learn_rate,accuracy
0.0,4.0,16.0,0.624362416,95.0
1.0,10.0,14.0,0.477449664,97.0
2.0,7.0,14.0,0.050067114,96.0
3.0,5.0,12.0,0.023355705,96.0
4.0,6.0,12.0,0.771275168,97.0
5.0,13.0,11.0,0.290469799,96.0
6.0,6.0,10.0,0.317181208,96.0
7.0,19.0,10.0,0.757919463,96.0
8.0,2.0,16.0,0.931543624,96.0
9.0,16.0,13.0,0.904832215,96.0
10.0,12.0,13.0,0.89147651,96.0
11.0,4.0,16.0,0.504161074,96.0
12.0,2.0,13.0,0.223691275,95.0
13.0,3.0,11.0,0.01,95.0
14.0,14.0,15.0,0.517516779,95.0
15.0,10.0,16.0,0.223691275,95.0
16.0,20.0,12.0,0.878120805,95.0
17.0,10.0,14.0,0.851409396,95.0
18.0,2.0,15.0,0.063422819,94.0
19.0,9.0,16.0,0.651073826,94.0
20.0,16.0,15.0,0.771275168,94.0
21.0,12.0,14.0,0.357248322,94.0
22.0,10.0,14.0,0.637718121,94.0
23.0,4.0,8.0,0.744563758,93.0
24.0,7.0,12.0,0.757919463,93.0
25.0,5.0,16.0,0.89147651,93.0
26.0,12.0,10.0,0.383959732,92.0
27.0,19.0,8.0,0.46409396,91.0
28.0,17.0,12.0,0.397315436,91.0
29.0,9.0,14.0,0.46409396,87.0
30.0,11.0,5.0,0.21033557,87.0
31.0,18.0,5.0,0.931543624,84.0
32.0,2.0,12.0,0.46409396,83.0
33.0,2.0,5.0,0.036711409,83.0
34.0,6.0,6.0,0.130201342,83.0
35.0,12.0,6.0,0.944899329,82.0
36.0,5.0,11.0,0.504161074,82.0
37.0,2.0,7.0,0.477449664,82.0
38.0,10.0,11.0,0.504161074,82.0
39.0,19.0,8.0,0.89147651,82.0
40.0,10.0,12.0,0.66442953,81.0
41.0,7.0,16.0,0.651073826,81.0
42.0,20.0,3.0,0.838053691,80.0
43.0,17.0,7.0,0.784630872,79.0
44.0,7.0,6.0,0.811342282,78.0
45.0,17.0,16.0,0.89147651,78.0
46.0,13.0,6.0,0.517516779,78.0
47.0,25.0,10.0,0.317181208,78.0
48.0,4.0,3.0,0.757919463,78.0
49.0,53.0,13.0,0.637718121,78.0
50.0,47.0,13.0,0.797986577,77.0
51.0,17.0,5.0,0.69114094,76.0
52.0,11.0,16.0,1.719530201,76.0
53.0,20.0,6.0,0.263758389,76.0
54.0,5.0,4.0,0.530872483,76.0
55.0,17.0,9.0,0.944899329,76.0
56.0,9.0,16.0,1.198657718,74.0
57.0,9.0,4.0,0.717852349,74.0
58.0,24.0,14.0,0.21033557,74.0
59.0,61.0,11.0,0.597651007,73.0
60.0,13.0,7.0,0.263758389,73.0
61.0,5.0,10.0,1.038389262,73.0
62.0,1.0,11.0,0.277114094,73.0
63.0,22.0,14.0,0.090134228,72.0
64.0,6.0,11.0,1.078456376,72.0
65.0,17.0,10.0,1.385637584,72.0
66.0,4.0,8.0,0.944899329,71.0
67.0,10.0,10.0,1.839731544,71.0
68.0,20.0,15.0,1.786308725,71.0
69.0,13.0,9.0,0.050067114,71.0
70.0,19.0,13.0,1.585973154,71.0
71.0,57.0,15.0,0.170268456,70.0
72.0,37.0,14.0,0.66442953,70.0
73.0,35.0,13.0,0.584295302,70.0
74.0,41.0,16.0,0.370604027,69.0
75.0,47.0,10.0,0.317181208,69.0
76.0,17.0,7.0,0.063422819,69.0
77.0,10.0,9.0,0.544228188,69.0
78.0,54.0,10.0,0.397315436,69.0
79.0,55.0,10.0,0.597651007,69.0
80.0,15.0,6.0,0.998322148,68.0
81.0,61.0,12.0,0.971610738,68.0
82.0,27.0,14.0,0.958255034,68.0
83.0,16.0,12.0,1.879798658,67.0
84.0,5.0,11.0,1.479127517,67.0
85.0,5.0,9.0,0.878120805,67.0
86.0,27.0,14.0,0.530872483,67.0
87.0,5.0,6.0,0.944899329,66.0
88.0,48.0,13.0,0.023355705,66.0
89.0,46.0,12.0,0.410671141,66.0
90.0,27.0,15.0,0.637718121,66.0
91.0,58.0,13.0,0.744563758,66.0
92.0,18.0,11.0,1.011677852,66.0
93.0,43.0,14.0,0.864765101,65.0
94.0,42.0,10.0,0.584295302,65.0
95.0,15.0,4.0,0.677785235,65.0
96.0,51.0,13.0,0.958255034,65.0
97.0,27.0,15.0,0.811342282,65.0
98.0,3.0,12.0,1.198657718,65.0
99.0,11.0,14.0,1.065100671,65.0
100.0,7.0,5.0,0.904832215,65.0
101.0,37.0,15.0,0.330536913,64.0
102.0,22.0,10.0,0.424026846,64.0
103.0,39.0,15.0,0.130201342,64.0
104.0,59.0,10.0,0.998322148,64.0
105.0,39.0,12.0,0.504161074,64.0
106.0,10.0,6.0,0.944899329,64.0
107.0,17.0,15.0,1.011677852,64.0
108.0,34.0,16.0,0.036711409,63.0
109.0,12.0,8.0,0.744563758,63.0
110.0,8.0,15.0,1.412348993,63.0
111.0,50.0,12.0,0.904832215,63.0
112.0,64.0,16.0,0.517516779,62.0
113.0,53.0,12.0,0.450738255,62.0
114.0,33.0,10.0,0.303825503,62.0
115.0,39.0,11.0,0.183624161,61.0
116.0,64.0,14.0,0.370604027,60.0
117.0,55.0,10.0,0.624362416,60.0
118.0,39.0,16.0,0.223691275,60.0
119.0,25.0,13.0,0.771275168,60.0
120.0,6.0,16.0,1.212013423,59.0
121.0,20.0,8.0,0.46409396,59.0
122.0,33.0,13.0,0.290469799,59.0
123.0,56.0,12.0,0.21033557,58.0
124.0,20.0,10.0,1.57261745,58.0
125.0,39.0,12.0,0.624362416,58.0
126.0,57.0,14.0,0.904832215,58.0
127.0,26.0,9.0,0.771275168,57.0
128.0,13.0,10.0,1.946577181,57.0
129.0,61.0,8.0,0.21033557,57.0
130.0,55.0,16.0,0.170268456,56.0
131.0,11.0,12.0,1.77295302,56.0
132.0,31.0,4.0,0.864765101,56.0
133.0,30.0,12.0,0.46409396,55.0
134.0,52.0,9.0,0.050067114,55.0
135.0,14.0,6.0,1.038389262,55.0
136.0,53.0,8.0,0.651073826,55.0
137.0,15.0,11.0,1.77295302,54.0
138.0,5.0,6.0,1.959932886,54.0
139.0,3.0,14.0,1.198657718,54.0
140.0,40.0,7.0,0.811342282,54.0
141.0,38.0,13.0,0.357248322,53.0
142.0,60.0,11.0,0.450738255,53.0
143.0,32.0,8.0,0.383959732,53.0
144.0,57.0,4.0,0.517516779,53.0
145.0,41.0,5.0,0.878120805,53.0
146.0,14.0,10.0,1.652751678,53.0
147.0,5.0,6.0,1.038389262,53.0
148.0,51.0,5.0,0.651073826,53.0
149.0,13.0,16.0,1.532550336,52.0
150.0,4.0,11.0,1.666107383,52.0
151.0,43.0,7.0,0.130201342,52.0
152.0,14.0,5.0,1.105167785,52.0
153.0,34.0,3.0,0.838053691,52.0
154.0,44.0,3.0,0.090134228,52.0
155.0,37.0,12.0,0.864765101,51.0
156.0,14.0,4.0,2.0,51.0
157.0,3.0,9.0,1.492483221,51.0
158.0,17.0,11.0,1.11852349,51.0
159.0,17.0,4.0,1.505838926,51.0
160.0,45.0,11.0,0.504161074,51.0
161.0,15.0,5.0,2.0,51.0
162.0,21.0,16.0,0.677785235,51.0
163.0,19.0,5.0,1.131879195,50.0
164.0,45.0,6.0,0.46409396,50.0
165.0,34.0,13.0,0.918187919,50.0
166.0,32.0,13.0,0.584295302,50.0
167.0,15.0,6.0,1.305503356,50.0
168.0,64.0,8.0,0.958255034,50.0
169.0,7.0,3.0,1.786308725,50.0
170.0,10.0,7.0,1.986644295,50.0
171.0,49.0,16.0,0.477449664,50.0
172.0,8.0,5.0,1.185302013,50.0
173.0,14.0,9.0,1.559261745,50.0
174.0,7.0,9.0,1.77295302,49.0
175.0,16.0,6.0,1.425704698,49.0
176.0,1.0,12.0,1.732885906,49.0
177.0,4.0,9.0,1.238724832,49.0
178.0,59.0,9.0,0.397315436,49.0
179.0,9.0,3.0,1.212013423,49.0
180.0,46.0,16.0,0.370604027,49.0
181.0,55.0,8.0,0.744563758,49.0
182.0,17.0,7.0,1.425704698,49.0
183.0,51.0,4.0,0.584295302,49.0
184.0,17.0,14.0,1.158590604,49.0
185.0,11.0,9.0,1.813020134,49.0
186.0,40.0,3.0,0.397315436,49.0
187.0,6.0,7.0,1.158590604,49.0
188.0,16.0,3.0,1.185302013,49.0
189.0,25.0,16.0,0.89147651,49.0
190.0,60.0,4.0,0.624362416,49.0
191.0,61.0,14.0,0.383959732,49.0
192.0,36.0,4.0,0.290469799,49.0
193.0,21.0,6.0,0.931543624,49.0
194.0,31.0,9.0,0.717852349,49.0
195.0,62.0,11.0,0.263758389,48.0
196.0,18.0,5.0,1.986644295,48.0
197.0,20.0,15.0,1.479127517,48.0
198.0,3.0,4.0,1.599328859,48.0
199.0,29.0,7.0,0.757919463,48.0
200.0,1.0,5.0,1.839731544,48.0
201.0,63.0,4.0,0.063422819,48.0
