index,max_depth,learn_rate,accuracy
0,1,0.001,89
1,1,0.021387755,78
2,1,0.04177551,59
3,1,0.062163265,69
4,1,0.08255102,68
5,1,0.102938776,62
6,1,0.123326531,85
7,1,0.143714286,73
8,1,0.164102041,52
9,1,0.184489796,82
10,1,0.204877551,37
11,1,0.225265306,56
12,1,0.245653061,68
13,1,0.266040816,47
14,1,0.286428571,57
15,1,0.306816327,60
16,1,0.327204082,62
17,1,0.347591837,77
18,1,0.367979592,63
19,1,0.388367347,51
20,1,0.408755102,50
21,1,0.429142857,38
22,1,0.449530612,72
23,1,0.469918367,42
24,1,0.490306122,56
25,1,0.510693878,44
26,1,0.531081633,74
27,1,0.551469388,53
28,1,0.571857143,39
29,1,0.592244898,60
30,1,0.612632653,49
31,1,0.633020408,44
32,1,0.653408163,61
33,1,0.673795918,37
34,1,0.694183673,55
35,1,0.714571429,63
36,1,0.734959184,42
37,1,0.755346939,43
38,1,0.775734694,70
39,1,0.796122449,49
40,1,0.816510204,52
41,1,0.836897959,71
42,1,0.857285714,75
43,1,0.877673469,39
44,1,0.898061224,37
45,1,0.91844898,41
46,1,0.938836735,77
47,1,0.95922449,39
48,1,0.979612245,64
49,1,1,53
50,2,0.001,76
51,2,0.021387755,82
52,2,0.04177551,88
53,2,0.062163265,83
54,2,0.08255102,73
55,2,0.102938776,91
56,2,0.123326531,67
57,2,0.143714286,69
58,2,0.164102041,72
59,2,0.184489796,75
60,2,0.204877551,76
61,2,0.225265306,64
62,2,0.245653061,50
63,2,0.266040816,36
64,2,0.286428571,60
65,2,0.306816327,42
66,2,0.327204082,44
67,2,0.347591837,59
68,2,0.367979592,36
69,2,0.388367347,43
70,2,0.408755102,59
71,2,0.429142857,46
72,2,0.449530612,52
73,2,0.469918367,43
74,2,0.490306122,70
75,2,0.510693878,70
76,2,0.531081633,68
77,2,0.551469388,40
78,2,0.571857143,77
79,2,0.592244898,74
80,2,0.612632653,76
81,2,0.633020408,63
82,2,0.653408163,42
83,2,0.673795918,44
84,2,0.694183673,43
85,2,0.714571429,47
86,2,0.734959184,69
87,2,0.755346939,68
88,2,0.775734694,58
89,2,0.796122449,59
90,2,0.816510204,72
91,2,0.836897959,70
92,2,0.857285714,75
93,2,0.877673469,57
94,2,0.898061224,62
95,2,0.91844898,70
96,2,0.938836735,36
97,2,0.95922449,70
98,2,0.979612245,72
99,2,1,49
100,3,0.001,50
101,3,0.021387755,53
102,3,0.04177551,63
103,3,0.062163265,57
104,3,0.08255102,92
105,3,0.102938776,62
106,3,0.123326531,79
107,3,0.143714286,82
108,3,0.164102041,81
109,3,0.184489796,74
110,3,0.204877551,50
111,3,0.225265306,64
112,3,0.245653061,71
113,3,0.266040816,48
114,3,0.286428571,67
115,3,0.306816327,42
116,3,0.327204082,57
117,3,0.347591837,63
118,3,0.367979592,37
119,3,0.388367347,77
120,3,0.408755102,41
121,3,0.429142857,63
122,3,0.449530612,63
123,3,0.469918367,55
124,3,0.490306122,65
125,3,0.510693878,46
126,3,0.531081633,63
127,3,0.551469388,60
128,3,0.571857143,74
129,3,0.592244898,68
130,3,0.612632653,36
131,3,0.633020408,62
132,3,0.653408163,48
133,3,0.673795918,76
134,3,0.694183673,38
135,3,0.714571429,74
136,3,0.734959184,41
137,3,0.755346939,43
138,3,0.775734694,62
139,3,0.796122449,44
140,3,0.816510204,72
141,3,0.836897959,68
142,3,0.857285714,77
143,3,0.877673469,59
144,3,0.898061224,50
145,3,0.91844898,67
146,3,0.938836735,67
147,3,0.95922449,59
148,3,0.979612245,76
149,3,1,47
150,4,0.001,87
151,4,0.021387755,50
152,4,0.04177551,84
153,4,0.062163265,66
154,4,0.08255102,50
155,4,0.102938776,80
156,4,0.123326531,74
157,4,0.143714286,79
158,4,0.164102041,50
159,4,0.184489796,53
160,4,0.204877551,61
161,4,0.225265306,67
162,4,0.245653061,41
163,4,0.266040816,67
164,4,0.286428571,39
165,4,0.306816327,46
166,4,0.327204082,52
167,4,0.347591837,73
168,4,0.367979592,59
169,4,0.388367347,40
170,4,0.408755102,69
171,4,0.429142857,41
172,4,0.449530612,57
173,4,0.469918367,46
174,4,0.490306122,51
175,4,0.510693878,68
176,4,0.531081633,44
177,4,0.551469388,41
178,4,0.571857143,51
179,4,0.592244898,64
180,4,0.612632653,38
181,4,0.633020408,55
182,4,0.653408163,71
183,4,0.673795918,54
184,4,0.694183673,61
185,4,0.714571429,38
186,4,0.734959184,54
187,4,0.755346939,55
188,4,0.775734694,67
189,4,0.796122449,42
190,4,0.816510204,76
191,4,0.836897959,68
192,4,0.857285714,75
193,4,0.877673469,74
194,4,0.898061224,53
195,4,0.91844898,75
196,4,0.938836735,36
197,4,0.95922449,46
198,4,0.979612245,63
199,4,1,60
200,5,0.001,89
201,5,0.021387755,97
202,5,0.04177551,88
203,5,0.062163265,66
204,5,0.08255102,75
205,5,0.102938776,93
206,5,0.123326531,97
207,5,0.143714286,80
208,5,0.164102041,84
209,5,0.184489796,85
210,5,0.204877551,56
211,5,0.225265306,88
212,5,0.245653061,83
213,5,0.266040816,74
214,5,0.286428571,72
215,5,0.306816327,66
216,5,0.327204082,66
217,5,0.347591837,82
218,5,0.367979592,88
219,5,0.388367347,51
220,5,0.408755102,61
221,5,0.429142857,69
222,5,0.449530612,50
223,5,0.469918367,82
224,5,0.490306122,71
225,5,0.510693878,70
226,5,0.531081633,78
227,5,0.551469388,85
228,5,0.571857143,57
229,5,0.592244898,75
230,5,0.612632653,69
231,5,0.633020408,82
232,5,0.653408163,80
233,5,0.673795918,68
234,5,0.694183673,65
235,5,0.714571429,77
236,5,0.734959184,55
237,5,0.755346939,88
238,5,0.775734694,71
239,5,0.796122449,80
240,5,0.816510204,82
241,5,0.836897959,70
242,5,0.857285714,82
243,5,0.877673469,65
244,5,0.898061224,91
245,5,0.91844898,51
246,5,0.938836735,72
247,5,0.95922449,81
248,5,0.979612245,71
249,5,1,51
250,6,0.001,88
251,6,0.021387755,85
252,6,0.04177551,75
253,6,0.062163265,96
254,6,0.08255102,88
255,6,0.102938776,87
256,6,0.123326531,69
257,6,0.143714286,84
258,6,0.164102041,79
259,6,0.184489796,87
260,6,0.204877551,82
261,6,0.225265306,81
262,6,0.245653061,71
263,6,0.266040816,73
264,6,0.286428571,70
265,6,0.306816327,69
266,6,0.327204082,90
267,6,0.347591837,63
268,6,0.367979592,84
269,6,0.388367347,55
270,6,0.408755102,54
271,6,0.429142857,52
272,6,0.449530612,80
273,6,0.469918367,84
274,6,0.490306122,87
275,6,0.510693878,90
276,6,0.531081633,66
277,6,0.551469388,67
278,6,0.571857143,73
279,6,0.592244898,73
280,6,0.612632653,72
281,6,0.633020408,56
282,6,0.653408163,49
283,6,0.673795918,50
284,6,0.694183673,82
285,6,0.714571429,72
286,6,0.734959184,48
287,6,0.755346939,88
288,6,0.775734694,53
289,6,0.796122449,78
290,6,0.816510204,51
291,6,0.836897959,65
292,6,0.857285714,85
293,6,0.877673469,77
294,6,0.898061224,75
295,6,0.91844898,78
296,6,0.938836735,53
297,6,0.95922449,73
298,6,0.979612245,86
299,6,1,77
300,7,0.001,84
301,7,0.021387755,68
302,7,0.04177551,92
303,7,0.062163265,79
304,7,0.08255102,67
305,7,0.102938776,78
306,7,0.123326531,92
307,7,0.143714286,86
308,7,0.164102041,96
309,7,0.184489796,98
310,7,0.204877551,81
311,7,0.225265306,76
312,7,0.245653061,61
313,7,0.266040816,49
314,7,0.286428571,84
315,7,0.306816327,65
316,7,0.327204082,55
317,7,0.347591837,74
318,7,0.367979592,74
319,7,0.388367347,83
320,7,0.408755102,90
321,7,0.429142857,52
322,7,0.449530612,58
323,7,0.469918367,83
324,7,0.490306122,68
325,7,0.510693878,84
326,7,0.531081633,84
327,7,0.551469388,73
328,7,0.571857143,83
329,7,0.592244898,88
330,7,0.612632653,79
331,7,0.633020408,59
332,7,0.653408163,62
333,7,0.673795918,74
334,7,0.694183673,89
335,7,0.714571429,64
336,7,0.734959184,67
337,7,0.755346939,69
338,7,0.775734694,66
339,7,0.796122449,83
340,7,0.816510204,90
341,7,0.836897959,59
342,7,0.857285714,55
343,7,0.877673469,80
344,7,0.898061224,63
345,7,0.91844898,54
346,7,0.938836735,59
347,7,0.95922449,68
348,7,0.979612245,70
349,7,1,86
350,8,0.001,96
351,8,0.021387755,70
352,8,0.04177551,74
353,8,0.062163265,70
354,8,0.08255102,81
355,8,0.102938776,71
356,8,0.123326531,97
357,8,0.143714286,88
358,8,0.164102041,68
359,8,0.184489796,96
360,8,0.204877551,69
361,8,0.225265306,54
362,8,0.245653061,52
363,8,0.266040816,80
364,8,0.286428571,88
365,8,0.306816327,58
366,8,0.327204082,68
367,8,0.347591837,50
368,8,0.367979592,61
369,8,0.388367347,76
370,8,0.408755102,67
371,8,0.429142857,90
372,8,0.449530612,50
373,8,0.469918367,61
374,8,0.490306122,72
375,8,0.510693878,85
376,8,0.531081633,54
377,8,0.551469388,79
378,8,0.571857143,69
379,8,0.592244898,70
380,8,0.612632653,86
381,8,0.633020408,66
382,8,0.653408163,67
383,8,0.673795918,88
384,8,0.694183673,63
385,8,0.714571429,78
386,8,0.734959184,52
387,8,0.755346939,59
388,8,0.775734694,80
389,8,0.796122449,59
390,8,0.816510204,56
391,8,0.836897959,76
392,8,0.857285714,56
393,8,0.877673469,75
394,8,0.898061224,90
395,8,0.91844898,64
396,8,0.938836735,80
397,8,0.95922449,67
398,8,0.979612245,75
399,8,1,61
400,9,0.001,97
401,9,0.021387755,66
402,9,0.04177551,67
403,9,0.062163265,66
404,9,0.08255102,61
405,9,0.102938776,71
406,9,0.123326531,87
407,9,0.143714286,90
408,9,0.164102041,93
409,9,0.184489796,96
410,9,0.204877551,70
411,9,0.225265306,53
412,9,0.245653061,54
413,9,0.266040816,53
414,9,0.286428571,50
415,9,0.306816327,70
416,9,0.327204082,85
417,9,0.347591837,59
418,9,0.367979592,64
419,9,0.388367347,61
420,9,0.408755102,50
421,9,0.429142857,61
422,9,0.449530612,48
423,9,0.469918367,88
424,9,0.490306122,77
425,9,0.510693878,57
426,9,0.531081633,74
427,9,0.551469388,82
428,9,0.571857143,52
429,9,0.592244898,59
430,9,0.612632653,53
431,9,0.633020408,79
432,9,0.653408163,66
433,9,0.673795918,72
434,9,0.694183673,84
435,9,0.714571429,62
436,9,0.734959184,60
437,9,0.755346939,87
438,9,0.775734694,82
439,9,0.796122449,82
440,9,0.816510204,79
441,9,0.836897959,76
442,9,0.857285714,81
443,9,0.877673469,85
444,9,0.898061224,73
445,9,0.91844898,79
446,9,0.938836735,91
447,9,0.95922449,64
448,9,0.979612245,77
449,9,1,65
450,10,0.001,77
451,10,0.021387755,66
452,10,0.04177551,75
453,10,0.062163265,72
454,10,0.08255102,86
455,10,0.102938776,77
456,10,0.123326531,95
457,10,0.143714286,93
458,10,0.164102041,82
459,10,0.184489796,82
460,10,0.204877551,69
461,10,0.225265306,53
462,10,0.245653061,52
463,10,0.266040816,60
464,10,0.286428571,81
465,10,0.306816327,62
466,10,0.327204082,74
467,10,0.347591837,73
468,10,0.367979592,71
469,10,0.388367347,79
470,10,0.408755102,65
471,10,0.429142857,83
472,10,0.449530612,55
473,10,0.469918367,82
474,10,0.490306122,64
475,10,0.510693878,70
476,10,0.531081633,75
477,10,0.551469388,62
478,10,0.571857143,74
479,10,0.592244898,56
480,10,0.612632653,71
481,10,0.633020408,66
482,10,0.653408163,87
483,10,0.673795918,62
484,10,0.694183673,85
485,10,0.714571429,86
486,10,0.734959184,66
487,10,0.755346939,70
488,10,0.775734694,72
489,10,0.796122449,60
490,10,0.816510204,52
491,10,0.836897959,50
492,10,0.857285714,67
493,10,0.877673469,85
494,10,0.898061224,70
495,10,0.91844898,55
496,10,0.938836735,67
497,10,0.95922449,88
498,10,0.979612245,54
499,10,1,83
500,11,0.001,57
501,11,0.021387755,84
502,11,0.04177551,73
503,11,0.062163265,58
504,11,0.08255102,56
505,11,0.102938776,63
506,11,0.123326531,77
507,11,0.143714286,52
508,11,0.164102041,82
509,11,0.184489796,88
510,11,0.204877551,37
511,11,0.225265306,55
512,11,0.245653061,63
513,11,0.266040816,46
514,11,0.286428571,39
515,11,0.306816327,50
516,11,0.327204082,41
517,11,0.347591837,65
518,11,0.367979592,73
519,11,0.388367347,37
520,11,0.408755102,50
521,11,0.429142857,46
522,11,0.449530612,43
523,11,0.469918367,61
524,11,0.490306122,40
525,11,0.510693878,41
526,11,0.531081633,61
527,11,0.551469388,39
528,11,0.571857143,54
529,11,0.592244898,55
530,11,0.612632653,68
531,11,0.633020408,55
532,11,0.653408163,47
