The Dark Knight Rises,0,49026
Batman Forever,1,414
Batman,2,268
Batman Returns,3,364
Batman & Robin,4,415
Batman: Mask of the Phantasm,5,14919
Batman,6,268
Batman Begins,7,272
Batman: Under the Red Hood,8,40662
Batman: Year One,9,69735
"Batman: The Dark Knight Returns, Part 1",10,123025
"Batman: The Dark Knight Returns, Part 2",11,142061
Batman v Superman: Dawn of Justice,12,209112
Toy Story,13,862
Jumanji,14,8844
Grumpier Old Men,15,15602
Waiting to Exhale,16,31357
Father of the Bride Part II,17,11862
Heat,18,949
Sabrina,19,11860
Tom and Huck,20,45325
Sudden Death,21,9091
GoldenEye,22,710
The American President,23,9087
Dracula: Dead and Loving It,24,12110
Balto,25,21032
Nixon,26,10858
Cutthroat Island,27,1408
Casino,28,524
Sense and Sensibility,29,4584
Four Rooms,30,5
Ace Ventura: When Nature Calls,31,9273
Money Train,32,11517
Get Shorty,33,8012
Copycat,34,1710
Assassins,35,9691
Powder,36,12665
Leaving Las Vegas,37,451
Othello,38,16420
Now and Then,39,9263
Persuasion,40,17015
The City of Lost Children,41,902
Shanghai Triad,42,37557
Dangerous Minds,43,9909
Twelve Monkeys,44,63
Babe,45,9598
Carrington,46,47018
Dead Man Walking,47,687
Across the Sea of Time,48,139405
It Takes Two,49,33689
Clueless,50,9603
"Cry, the Beloved Country",51,34615
Richard III,52,31174
Dead Presidents,53,11443
Restoration,54,35196
Mortal Kombat,55,9312
To Die For,56,577
How To Make An American Quilt,57,11861
Se7en,58,807
Pocahontas,59,10530
When Night Is Falling,60,8391
The Usual Suspects,61,629
Mighty Aphrodite,62,11448
Lamerica,63,49133
The Big Green,64,26441
Georgia,65,97406
Home for the Holidays,66,9089
The Postman,67,11010
The Confessional,68,99040
The Indian in the Cupboard,69,11359
Eye for an Eye,70,17182
Mr. Holland's Opus,71,2054
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,72,10607
Two If by Sea,73,19760
Bio-Dome,74,9536
Lawnmower Man 2: Beyond Cyberspace,75,11525
French Twist,76,4482
Friday,77,10634
From Dusk Till Dawn,78,755
Fair Game,79,11859
Kicking and Screaming,80,28387
Les Miserables,81,48750
Bed of Roses,82,20927
Screamers,83,9102
Nico Icon,84,124626
The Crossing Guard,85,27526
The Juror,86,9623
The White Balloon,87,46785
Things to Do in Denver When You're Dead,88,400
Antonia's Line,89,880
Once Upon a Time... When We Were Colored,90,146599
Last Summer in the Hamptons,91,188588
Angels and Insects,92,8447
White Squall,93,10534
Dunston Checks In,94,17414
Black Sheep,95,13997
Nick of Time,96,2086
Mary Reilly,97,9095
Vampire in Brooklyn,98,12158
Beautiful Girls,99,9283
Broken Arrow,100,9208
A Midwinter's Tale,101,40154
La Haine,102,406
Shopping,103,45549
Heidi Fleiss: Hollywood Madam,104,63076
City Hall,105,11062
Bottle Rocket,106,13685
Mr. Wrong,107,47475
Unforgettable,108,2045
Happy Gilmore,109,9614
The Bridges of Madison County,110,688
Muppet Treasure Island,111,10874
Catwalk,112,89333
Braveheart,113,197
Taxi Driver,114,103
Rumble in the Bronx,115,33542
Before and After,116,43566
Margaret's Museum,117,71754
Anne Frank Remembered,118,51352
The Young Poisoner's Handbook,119,16934
If Lucy Fell,120,10324
Steal Big Steal Little,121,78406
The Boys of St. Vincent,122,32119
Boomerang,123,11066
Chungking Express,124,11104
The Star Maker,125,37975
Flirting with Disaster,126,2074
The Neverending Story III: Escape from Fantasia,127,27793
Pie in the Sky,128,110972
Angela,129,32622
Frankie Starlight,130,73067
Jade,131,11863
Down Periscope,132,9101
Man of the Year,133,5757
Up Close & Personal,134,9302
The Birdcage,135,11000
The Brothers McMullen,136,16388
Bad Boys,137,9737
The Amazing Panda Adventure,138,30765
The Basketball Diaries,139,10474
An Awfully Big Adventure,140,22279
Amateur,141,30157
Apollo 13,142,568
Rob Roy,143,11780
The Addiction,144,34996
Belle de Jour,145,649
Beyond Rangoon,146,1873
Blue in the Face,147,5894
Canadian Bacon,148,1775
Casper,149,8839
Clockers,150,20649
Congo,151,10329
Crimson Tide,152,8963
Crumb,153,26564
Desperado,154,8068
Devil in a Blue Dress,155,8512
Die Hard: With a Vengeance,156,1572
The Doom Generation,157,13552
Feast of July,158,259209
First Knight,159,6520
Free Willy 2 - The Adventure Home,160,9073
Hackers,161,10428
Jeffrey,162,17447
Johnny Mnemonic,163,9886
Judge Dredd,164,9482
Jury Duty,165,19326
Kids,166,9344
Living in Oblivion,167,9071
Lord of Illusions,168,8973
Love & Human Remains,169,15730
Mad Love,170,47608
Mallrats,171,2293
Mighty Morphin Power Rangers: The Movie,172,9070
Mute Witness,173,48787
Nadja,174,34574
The Net,175,1642
Nine Months,176,11472
Party Girl,177,36196
The Prophecy,178,11980
Reckless,179,58372
Safe,180,32646
The Scarlet Letter,181,10533
Showgirls,182,10802
Smoke,183,10149
Something to Talk About,184,18402
Species,185,9348
Strange Days,186,281
The Umbrellas of Cherbourg,187,5967
The Tie That Binds,188,79593
Three Wishes,189,47939
Total Eclipse,190,36834
"To Wong Foo, Thanks for Everything! Julie Newmar",191,9090
Under Siege 2: Dark Territory,192,3512
Unstrung Heroes,193,52856
Unzipped,194,77350
A Walk in the Clouds,195,9560
Waterworld,196,9804
White Man's Burden,197,31611
The Browning Version,198,49805
Burnt by the Sun,199,50797
Before the Rain,200,19155
Before Sunrise,201,76
Billy Madison,202,11017
The Babysitter,203,37141
Boys on the Side,204,9382
The Cure,205,6715
Castle Freak,206,18256
Circle of Friends,207,22625
Clerks,208,2292
Don Juan DeMarco,209,1909
Disclosure,210,8984
Drop Zone,211,4954
Destiny Turns on the Radio,212,62488
Death and the Maiden,213,10531
Dolores Claiborne,214,11929
