Row 0: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.13305500149726868
Row 1: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.4333333373069763
Row 2: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.18170666694641113
Row 3: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.03333333507180214
Row 4: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.25
Row 5: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.11999999731779099
Row 6: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.3166666626930237
Row 7: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.059558331966400146
Row 8: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.22499999403953552
Row 9: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.2083333283662796
Row 10: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.08553499728441238
Row 11: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.06746833026409149
Row 12: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.06652666628360748
Row 13: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.14499999582767487
Row 14: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.14166666567325592
Row 15: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.013333333656191826
Row 16: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.06948166340589523
Row 17: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.19007833302021027
Row 18: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.009511666372418404
Row 19: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.09333333373069763
Row 20: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.07221833616495132
Row 21: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.010119999758899212
Row 22: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.07983166724443436
Row 23: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.16333332657814026
Row 24: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.19166666269302368
Row 25: Col 0: 3.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.5416666865348816
Row 26: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.07000000029802322
Row 27: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.05585166811943054
Row 28: Col 0: 0.0, Col 1: 1.0, Col 2: 1.0, Col 3: 2.0, Target: 0.1666666716337204
Row 29: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.19517333805561066
Row 30: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.09883833676576614
Row 31: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.11666666716337204
Row 32: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.11404666304588318
Row 33: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.75
Row 34: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.07793166488409042
Row 35: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.12354999780654907
Row 36: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.17166666686534882
Row 37: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.4166666567325592
Row 38: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.01666666753590107
Row 39: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.23000000417232513
Row 40: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.07626666873693466
Row 41: Col 0: 3.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.13305500149726868
Row 42: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.08363333344459534
Row 43: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.17666666209697723
Row 44: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.18811999261379242
Row 45: Col 0: 0.0, Col 1: 2.0, Col 2: 1.0, Col 3: 0.0, Target: 0.0266100000590086
Row 46: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.12826333940029144
Row 47: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.31333333253860474
Row 48: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.17499999701976776
Row 49: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.11689833551645279
Row 50: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.010119999758899212
Row 51: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.15166667103767395
Row 52: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.07649333029985428
Row 53: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.0912366658449173
Row 54: Col 0: 2.0, Col 1: 3.0, Col 2: 1.0, Col 3: 0.0, Target: 0.10000000149011612
Row 55: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.24710166454315186
Row 56: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.06462666392326355
Row 57: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.1966666728258133
Row 58: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.20000000298023224
Row 59: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.2305833399295807
Row 60: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.18333333730697632
Row 61: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.21799999475479126
Row 62: Col 0: 0.0, Col 1: 2.0, Col 2: 0.5, Col 3: 0.0, Target: 0.036114998161792755
Row 63: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.6866666674613953
Row 64: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.07603000104427338
Row 65: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.10454333573579788
Row 66: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.08211333304643631
