mon,dom,dow,carrier,flight,org,depart,duration,delay,km
1,16,6,UA,1477,ORD,8,232,-7,2317
1,22,5,UA,620,SJC,7.98,250,-13,2943
4,25,0,AA,321,ORD,13.75,160,31,1574
3,16,3,UA,107,ORD,9,264,3,2808
0,3,4,AA,1559,LGA,17.08,190,32,1765
11,15,1,AA,2303,ORD,6.75,160,23,1291
3,21,1,WN,342,SJC,15.25,60,-8,476
9,26,0,B6,1087,JFK,21.67,132,-31,871
0,7,1,OO,5494,SFO,21,64,5,320
2,21,5,AA,496,ORD,6.58,105,18,985
7,4,1,AA,1058,ORD,19.5,155,266,1617
0,22,2,AA,678,SFO,16.25,80,62,542
3,14,1,OO,5912,ORD,11.02,70,-1,509
11,25,4,OO,6063,ORD,13.23,55,27,288
4,6,2,UA,1293,SFO,13.17,94,-17,726
4,16,5,B6,383,LGA,21.75,162,166,1732
1,28,4,AA,789,ORD,15.83,160,-9,1429
9,19,0,AA,437,ORD,13,90,-8,538
11,1,1,AA,1571,ORD,12.17,85,115,538
0,1,2,B6,145,JFK,20.58,204,79,1728
2,21,5,AA,1087,ORD,20.17,140,72,1347
11,5,5,OO,5954,ORD,8.02,77,0,520
4,16,5,AA,1720,SJC,9.33,205,16,2314
1,5,2,AA,761,ORD,10.75,65,114,415
0,7,1,WN,3155,SMF,18.92,90,5,771
6,25,5,AA,775,LGA,8.5,185,9,1765
0,12,6,WN,943,SJC,20.08,75,None,671
9,12,0,UA,519,ORD,19,77,1,481
3,15,2,OO,5992,ORD,6.27,78,34,460
10,12,3,AA,177,JFK,18.08,405,-23,4162
8,16,2,AA,272,SFO,23.33,315,8,4160
8,17,3,OO,6585,ORD,14.93,61,-6,343
9,1,3,AA,1269,JFK,17.33,170,39,1191
2,12,3,OO,5655,SMF,10.75,50,39,138
0,2,3,AA,1442,ORD,16.58,105,82,985
9,8,3,US,2187,LGA,19,77,None,344
2,15,6,WN,3115,SMF,15.33,75,6,626
3,5,6,UA,682,ORD,13.08,137,-20,1180
3,16,3,WN,895,SJC,8,70,6,496
8,24,3,AA,1797,LGA,7.83,180,8,1765
2,12,3,WN,441,SFO,6.33,90,-14,666
9,17,5,AA,2093,LGA,12.17,190,21,1765
5,15,0,UA,403,LGA,8,259,-13,2606
10,21,5,B6,819,JFK,14.48,175,2,1519
3,18,5,AA,791,LGA,21.08,220,50,2235
2,7,5,AA,1869,ORD,19.75,70,25,415
6,28,1,OO,5944,ORD,15.98,116,-2,896
7,4,1,OO,5985,ORD,19.67,80,409,520
4,30,5,WN,1802,SJC,21.83,70,51,536
7,16,6,WN,233,SMF,20.33,80,34,639
0,27,0,OO,5563,SMF,8.48,50,-14,138
3,29,2,WN,2807,SMF,16.42,80,-6,600
0,11,5,B6,1008,JFK,12.83,63,95,301
10,17,1,WN,2700,SMF,16.33,70,-4,576
6,1,2,UA,8,SFO,9.3,342,63,4162
8,30,2,UA,253,ORD,18.67,152,-17,1429
9,1,3,AA,1765,ORD,19.25,65,-9,415
7,12,2,B6,470,SJC,20.92,330,4,4328
3,27,0,WN,287,SMF,7.92,75,-1,626
1,10,0,AA,1544,ORD,18,105,58,985
8,15,1,B6,67,JFK,14.98,189,-8,1720
9,12,0,B6,1107,JFK,16.58,120,5,686
7,16,6,B6,611,JFK,8.67,155,66,1334
4,28,3,WN,2730,SJC,7,75,-4,496
9,1,3,HA,175,OGG,9.42,34,None,161
4,7,3,UA,130,ORD,21.92,48,None,220
2,23,0,AA,745,LGA,13.5,240,31,2235
4,6,2,AA,1344,TUS,11,130,31,1308
11,15,1,OO,5495,SFO,22.25,60,18,254
8,14,0,AA,1005,ORD,10.42,265,38,2799
2,21,5,WN,162,SMF,16.42,75,48,626
6,10,4,WN,2352,SJC,8.58,80,-4,671
4,6,2,WN,3656,SJC,19.58,110,-12,999
9,22,3,OO,3920,SJC,6,114,-6,941
0,2,3,WN,343,SJC,21.42,105,2,916
5,19,4,AA,1540,TUS,14.17,140,47,1308
10,6,4,AA,411,ORD,13.67,85,None,538
6,6,0,UA,506,SFO,20.73,117,10,1093
11,20,6,OH,6577,JFK,9.33,166,184,1233
4,24,6,B6,112,JFK,22.92,91,-16,484
7,6,3,UA,72,SFO,17.17,93,12,599
2,1,6,OH,5033,LGA,9,161,-36,1162
11,19,5,AA,701,LGA,6,245,16,2235
7,28,4,UA,748,SFO,10.2,63,-18,309
9,4,6,AA,2056,TUS,6.83,195,20,2313
3,14,1,B6,141,JFK,16.75,200,21,1728
1,24,0,B6,648,SFO,23.08,325,-14,4162
10,2,0,US,384,SMF,10.13,81,47,639
7,29,5,WN,284,SJC,21.17,55,7,303
5,25,3,UA,766,ORD,21.75,106,27,1001
6,9,3,US,2191,LGA,21,78,66,344
1,3,0,WN,1223,SMF,12.75,235,6,2881
1,12,2,OO,5474,SFO,8.67,79,20,402
10,30,0,B6,65,JFK,11,182,84,1617
2,1,6,OO,5737,SFO,11.08,61,3,246
2,26,3,AA,2098,ORD,16,135,-26,1395
2,27,4,AA,1763,ORD,16.83,260,140,2778
9,21,2,AA,1771,ORD,15.58,125,-27,975
4,3,6,US,90,TUS,11.75,49,-14,177
0,21,1,UA,332,SMF,13.52,240,139,2866
10,19,3,B6,363,LGA,7.58,171,-25,1666
5,22,0,AA,1323,JFK,8,155,445,1191
10,23,0,UA,681,LGA,13,159,-28,1180
4,9,5,UA,194,ORD,21.33,70,19,425
9,6,1,HA,157,OGG,12.18,34,-12,161
8,16,2,B6,31,JFK,10.92,162,-5,1519
2,3,1,OH,5440,JFK,18.5,88,-35,171
3,9,3,AA,321,LGA,11.5,150,None,1180
6,2,3,AA,73,ORD,9,540,21,6828
0,30,3,UA,454,ORD,10.67,117,-2,975
9,15,3,AA,201,JFK,6.42,360,22,3983
8,22,1,UA,501,SFO,10.75,90,-4,719
10,24,1,UA,341,ORD,9.75,94,-17,669
8,10,3,UA,1453,ORD,19.92,135,-3,1347
10,24,1,OO,5608,SFO,14.62,60,6,254
3,11,5,UA,399,LGA,6,252,4,2606
7,13,3,WN,2621,SMF,21.17,75,-3,626
11,13,6,AA,451,ORD,10.58,295,108,2971
6,24,4,UA,1220,SJC,7.88,156,-5,1526
1,9,6,WN,939,SMF,17.42,80,-6,600
11,16,2,AA,1487,ORD,10,255,18,2689
3,10,4,AA,2303,ORD,6.67,140,None,1291
11,16,2,AA,1447,ORD,14.58,140,28,1347
3,25,5,WN,162,SMF,16.42,75,-2,626
5,14,6,UA,385,ORD,15.25,86,24,538
7,18,1,OO,3942,SMF,17.87,98,-19,856
6,25,5,UA,725,ORD,20.58,136,33,1291
0,22,2,OO,6123,ORD,13.17,76,None,460
11,2,2,AA,3,JFK,12.17,375,-29,3983
8,19,5,OO,5526,SFO,10.33,86,33,509
0,26,6,AA,1306,SFO,6.92,210,None,2356
1,4,1,OH,5131,LGA,8.42,124,35,769
1,28,4,AA,2378,ORD,16.08,180,0,1926
8,6,6,UA,950,ORD,13.07,113,19,948
0,15,2,AA,324,SFO,15.08,210,-16,2356
2,9,0,AA,2441,ORD,6.92,110,28,975
5,30,1,OH,5436,LGA,16.17,163,42,1342
5,30,1,B6,119,JFK,14.83,193,18,1902
0,29,2,AA,1540,TUS,15.5,130,68,1308
11,13,6,OO,5867,ORD,17.22,176,97,1675
3,17,4,OO,6352,SFO,21.92,120,-6,1209
7,12,2,UA,654,ORD,15.77,154,67,1157
1,7,4,UA,1147,ORD,14.92,153,16,1291
0,7,1,AA,1120,ORD,14.08,70,29,415
10,21,5,OO,6181,ORD,12.2,44,16,135
11,25,4,WN,3572,SJC,8.5,110,-6,916
9,7,2,OH,6627,JFK,16.67,140,-43,777
5,5,4,WN,439,SMF,14.33,85,8,771
10,19,3,AA,827,ORD,18.08,285,-19,2943
4,28,3,UA,4,SFO,6,330,-9,4162
4,18,0,B6,16,JFK,14.48,81,-16,430
7,2,6,B6,916,ORD,16.08,147,None,1191
6,27,0,UA,667,LGA,6,139,-14,1180
8,14,0,UA,266,ORD,18.87,65,116,386
2,24,1,OO,6186,ORD,8.57,125,0,1223
9,13,1,UA,776,ORD,13.27,83,30,425
7,25,1,WN,1784,SJC,16,80,50,621
5,12,4,UA,266,ORD,19.5,71,202,386
9,8,3,B6,121,JFK,7,163,-5,1519
5,28,6,AA,1,JFK,9,355,1,3983
5,30,1,WN,1468,SJC,20.17,80,-13,496
3,1,2,UA,863,ORD,18.5,282,90,2971
4,20,2,AA,2441,ORD,6.92,115,-5,975
8,9,2,B6,42,JFK,11,73,111,336
7,19,2,AA,759,LGA,16.42,225,23,2235
7,25,1,OO,6475,SMF,21.8,91,-12,600
11,24,3,WN,1852,TUS,16.83,95,150,726
5,6,5,UA,766,ORD,21.75,106,17,1001
5,23,1,B6,1315,JFK,22.5,91,None,367
9,24,5,AA,1253,ORD,21.42,65,78,415
3,27,0,UA,295,ORD,15.5,269,25,2866
9,28,2,OO,6378,SFO,14.98,152,33,1550
7,21,4,OH,5269,LGA,19.5,102,47,470
5,21,6,B6,42,JFK,11,75,-6,336
10,28,5,US,780,SFO,22.67,276,22,3695
3,17,4,AA,2337,ORD,16.08,150,73,1291
9,20,1,B6,357,JFK,16.88,375,3,3967
0,6,0,WN,1655,TUS,12,95,18,726
3,30,3,WN,643,SFO,6.17,85,-20,542
3,2,3,AA,451,ORD,10.17,285,60,2971
9,15,3,UA,269,ORD,20.67,93,14,649
2,4,2,AA,3,JFK,12,370,-27,3983
6,27,0,AA,1255,ORD,19.17,160,39,1489
9,4,6,UA,332,ORD,21.07,70,-12,378
11,1,1,WN,2556,SFO,20.92,85,41,542
5,23,1,OO,6509,TUS,7.97,90,-2,726
1,1,5,OO,6397,SFO,14.47,80,-18,584
0,5,6,UA,371,ORD,17.77,270,87,2799
9,29,3,B6,608,JFK,22.5,81,3,441
3,11,5,US,2191,LGA,21,78,47,344
2,28,5,UA,395,ORD,19.18,265,5,2773
8,2,2,UA,322,SFO,10.68,128,-13,1093
2,17,1,AA,2360,ORD,19.58,90,107,538
3,11,5,AA,1689,ORD,19.33,255,None,2799
9,2,4,UA,341,ORD,9.83,90,-13,669
11,21,0,B6,619,JFK,20.98,171,210,1334
2,22,6,OH,5279,JFK,19.33,114,36,547
11,11,4,HA,105,OGG,6.4,34,None,161
2,31,1,AA,353,LGA,19.48,160,117,1180
11,21,0,UA,470,ORD,21.4,117,108,1091
7,12,2,OH,5703,LGA,21.98,120,18,1032
6,22,2,UA,8,SFO,9.3,342,18,4162
0,29,2,AA,1544,SFO,10.92,260,109,2971
6,10,4,B6,97,JFK,20.08,272,156,2617
9,24,5,WN,581,SJC,20.83,80,6,496
3,1,2,US,2173,LGA,12,79,None,344
5,4,3,AA,1194,SJC,13.33,250,67,2943
10,10,1,UA,1633,ORD,11.93,235,-25,2317
7,11,1,WN,3253,SJC,10.83,100,22,916
9,28,2,UA,1479,ORD,17.2,232,50,2317
8,25,4,B6,8,JFK,14.67,91,21,484
7,23,6,OO,5479,SFO,12.55,85,45,383
4,15,4,B6,922,ORD,18.92,140,-8,1395
11,23,2,UA,730,ORD,19.25,112,177,1001
1,4,1,B6,908,ORD,12,130,189,1191
5,15,0,AA,1544,SFO,10.75,260,23,2971
3,15,2,AA,1559,LGA,17.42,190,-12,1765
1,23,6,AA,1797,ORD,11.75,65,None,415
3,13,0,UA,476,ORD,7.3,92,10,761
11,18,4,WN,3499,SJC,17.08,80,48,671
10,1,6,UA,506,ORD,8.07,91,-15,761
7,26,2,WN,66,SMF,14.42,85,-1,771
6,18,5,AA,337,LGA,14.98,160,20,1180
8,27,6,AA,327,LGA,11.67,155,28,1180
5,16,1,WN,613,SJC,21.08,55,19,303
10,10,1,B6,74,JFK,15.48,87,10,430
2,12,3,UA,390,SJC,17.12,150,None,1526
8,20,6,OO,3968,TUS,6,108,5,967
