mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
0,22,2,UA,1107,ORD,316,16.33,82,30
2,20,4,UA,226,SFO,337,6.17,82,-8
9,13,1,AA,419,ORD,1236,10.33,195,-5
5,2,1,UA,704,SFO,550,7.98,102,2
7,2,6,AA,380,ORD,733,10.83,135,54
1,16,6,UA,1477,ORD,1440,8,232,-7
1,22,5,UA,620,SJC,1829,7.98,250,-13
11,8,1,OO,5590,SFO,158,7.77,60,88
4,26,1,AA,1144,SFO,1464,13.25,210,-10
4,25,0,AA,321,ORD,978,13.75,160,31
8,30,2,UA,646,ORD,719,13.28,151,16
3,16,3,UA,107,ORD,1745,9,264,3
0,3,4,AA,1559,LGA,1097,17.08,190,32
5,9,1,UA,770,SFO,967,12.7,158,20
3,10,4,B6,937,ORD,1735,17.58,265,155
11,15,1,AA,2303,ORD,802,6.75,160,23
8,18,4,UA,802,SJC,948,6.33,160,17
2,14,5,B6,71,JFK,944,6.17,166,0
7,21,4,OO,5806,ORD,607,19,110,21
11,6,6,OO,5524,SFO,316,8.75,82,40
0,10,4,AA,15,JFK,2586,11,379,100
11,14,0,OO,6500,SJC,308,6.33,90,-28
3,1,2,OH,5105,ORD,264,13.83,75,-9
1,18,1,OO,6761,ORD,466,20.5,102,168
4,19,1,AA,181,JFK,2475,16.92,360,15
7,24,0,AA,1860,ORD,334,17.42,90,7
3,21,1,WN,342,SJC,296,15.25,60,-8
9,26,0,B6,1087,JFK,541,21.67,132,-31
5,30,1,US,58,SMF,397,20.67,83,-7
3,30,3,AA,755,ORD,1041,10.75,165,6
6,12,6,OH,5557,LGA,722,11.25,147,38
11,27,6,AA,2331,ORD,802,14.42,160,53
9,2,4,UA,909,ORD,888,15.42,153,-20
0,7,1,OO,5494,SFO,199,21,64,5
2,21,5,AA,496,ORD,612,6.58,105,18
4,14,3,OO,5889,ORD,925,14.83,166,119
7,4,1,AA,1058,ORD,1005,19.5,155,266
0,22,2,AA,678,SFO,337,16.25,80,62
2,6,4,AA,1438,ORD,409,18.33,85,45
9,9,4,UA,683,LGA,733,14.07,156,-5
3,11,5,UA,498,ORD,837,14.28,143,28
3,14,1,OO,5912,ORD,316,11.02,70,-1
10,3,1,B6,345,JFK,1041,8.33,192,-1
2,25,2,UA,11,JFK,2586,11.17,394,36
0,5,6,AA,1547,ORD,177,15.25,60,16
11,25,4,OO,6063,ORD,179,13.23,55,27
1,1,5,OO,6417,ORD,1013,17.55,176,92
0,8,2,OO,5449,SMF,86,17.17,45,259
8,26,5,AA,753,LGA,1389,14.75,240,125
4,6,2,UA,1293,SFO,451,13.17,94,-17
0,28,1,OO,6669,ORD,1186,10.02,194,29
0,8,2,UA,1547,ORD,1515,14.75,240,-18
6,8,2,HA,133,OGG,100,9.35,34,-2
4,16,5,B6,383,LGA,1076,21.75,162,166
