1,Karl,Aberer,ETH Lausanne,EPF,Lausanne,Chairman of L3S Advisory Board,L3S Advisory Board,Education & research
2,Karl,Aberer,ETH Lausanne,EPF,Lausanne,Member Conseil of Zeno-Karl Schindler Foundation,Zeno-Karl Schindler Foundation,Education & research
3,Karl,Aberer,ETH Lausanne,EPF,Lausanne,Member of Conseil Fondation IDIAP,Fondation IDIAP,Education & research
4,Karl,Aberer,ETH Lausanne,EPF,Lausanne,Panel Member,SNF Ambizione Program,Education & research
5,Reza Shokrollah,Abhari,ETH Zürich,ETH,Zurich,Aufsichtsratsmandat,PNE Wind AG,"Energy, environment & mobility"
6,Georges,Abou Jaoudé,ETH Lausanne,EPF,Lausanne,Professeur invité (2 interventions d'une semaine),"Kazan Federal University, Russia",Education & research
7,Hugues,Abriel,Uni Bern,UBE,Bern,NA,Cloetta Stiftung,Education & research
8,Daniel,Aebersold,Uni Bern,UBE,Bern,NA,Berner Radium-Stiftung,Pharma & health
9,Daniel,Aebersold,Uni Bern,UBE,Bern,NA,Janser Krebs-Stiftung,Pharma & health
10,Daniel,Aebersold,Uni Bern,UBE,Bern,NA,SWAN Isotopen AG,Technology
11,Christoph,Aebi,Uni Bern,UBE,Bern,NA,Bernische Stiftung für krebskranke Kinder und Jugendliche,Pharma & health
12,Christoph,Aebi,Uni Bern,UBE,Bern,NA,Ronald McDonald Stiftung,"Society, Social, Culture & Sports"
13,Marcelo,Aebi,Uni Lausanne,ULA,Lausanne,NA,Activités académiques,Education & research
14,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,Beirat,Singapore International Advisory Committee for Biomedical Sciences,Education & research
15,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,"Chairman, Beirat",Advisory Board Novartis Venture Fund,Financial industry & insurances
16,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,Founder & Chairman of the BOD,Amazentis,Technology
17,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,NA,Fondation Claude Nobs,"Society, Social, Culture & Sports"
18,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,NA,Fondation Terre des Hommes,"Politics, administration, justice system & security sector"
19,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,NA,Italian Institute of Technology,Education & research
20,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,NA,Singapore Biomedical Sciences International,Education & research
21,Patrick,Aebischer,ETH Lausanne,EPF,Lausanne,NA,World Economic Forum,"Commerce, trade & services"
