store_id,store_address,city,state,country
798,23 Jeanne Ave,Montreal,Quebec,Canada
799,56 University St,Quebec City,Quebec,Canada
800,23 Verte Ave,Montreal,Quebec,Canada
801,33 Smith St,Toronto,Ontario,Canada
802,44 Green Blvd,Toronto,Ontario,Canada
803,55 Hover Lane,Ottawa,Ontario,Canada
804,68 Washington St,Vancouver,British Columbia,Canada
805,52 Kite St,Victoria,British Columbia,Canada
806,912 Main St,Vancouver,British Columbia,Canada
807,67 First Ave,Syracuse,New York,US
808,1043 Princeton St,Montclair,New Jersey,USA
809,435 Lorem St,Hoboken,New Jersey,USA
810,345 Camp Road,Burlington,Vermont,United States of America
811,909 Fifth Ave,Burlington,Vermont,USA
812,88 Main Ave,San Francisco,California,USA
813,908 Fulton St,San Francisco,California,United States of America
814,2435 Third Ave,San Francisco,California,USA
815,354 Forest Road,Los Angeles,California,USA
816,3233 Red St,Los Angeles,California,USA
817,435 9th Ave,Seattle,Washington,USA
818,534 Main St,Portland,Washington,US
819,89 Second Ave,Rochester,New York,United States
820,435 Yellow Road,Boston,Massachusetts,USA
821,234 Fitz St,Boston,Massachusetts,USA
822,22 Circle Lane,Waltham,Massachusetts,United States of America
823,3244 Jefferson St,Detroit,Michigan,USA
824,245 8th Ave,Miami,Florida,USA
825,3492 Jay St,Fort Lauderdale,Florida,US
826,984 Walker Circle,Houston,Texas,USA
827,893 Kite St,New Orleans,Louisiana,United States
828,910 Hill St,Salt Lake City,Utah,USA
829,564 Jefferson Circle,Houston,Texas,US
830,938 Franklin Blvd ,Houston,Texas,USA
