sales_id,book_id,store_id,time_id,sales_amount,quantity
88,5582,829,3951,5405.4,2340
89,5611,804,2445,6177.6,2080
90,5622,820,2083,2059.2,780
91,5588,827,2462,2587.2,980
92,5609,821,2232,5808,2200
93,5577,805,3342,5346,1800
94,5584,812,3235,3003,1820
95,5587,816,3677,4118.4,2080
96,5562,826,2900,198,120
97,5610,827,2295,897.6,340
98,5575,829,3214,1900.8,960
99,5571,818,2300,686.4,260
100,5556,807,2844,4633.2,2340
101,5593,823,3730,3801.6,1920
102,5556,798,2775,1709.4,740
103,5618,801,3838,4158,1800
104,5567,830,3465,3372.6,1460
105,5551,819,2356,924,560
106,5595,823,2858,3036,1840
107,5573,802,2451,422.4,160
108,5580,808,3545,3603.6,1560
109,5582,811,3016,5174.4,1960
110,5606,811,3511,2112,800
111,5550,814,3647,3742.2,1260
112,5591,812,3742,3187.8,1380
113,5569,829,3914,4296.6,1860
114,5550,817,3769,2376,1200
115,5577,808,2905,5266.8,2280
116,5626,801,3838,1353,820
117,5610,828,2334,4111.8,1780
118,5622,815,3545,5280,2000
119,5602,808,3787,3445.2,1740
120,5600,816,2909,2970,1800
121,5593,816,3067,4276.8,1620
122,5612,823,2913,475.2,160
123,5568,799,3125,5913.6,2240
124,5593,810,3457,3379.2,1280
125,5555,824,2610,554.4,280
126,5629,806,3523,3729,2260
127,5595,826,3086,6237,2100
128,5576,820,2674,2910.6,980
129,5626,807,2377,2336.4,1180
130,5632,812,2494,6593.4,2220
131,5619,820,2697,1108.8,560
132,5582,822,3297,1848,700
133,5583,798,2973,2970,1500
134,5557,825,2131,4316.4,2180
135,5615,828,2575,3484.8,1320
136,5555,814,3434,3682.8,1860
137,5604,810,2337,4474.8,2260
138,5565,799,3695,3069,1860
139,5558,830,2376,4593.6,1740
140,5564,807,3243,3649.8,1580
141,5613,820,2732,5596.8,2120
142,5558,804,2041,1504.8,760
143,5605,829,2517,1386,700
144,5606,822,2774,2970,1800
145,5585,826,3164,1900.8,640
146,5572,802,2399,3894,2360
147,5559,822,3319,2125.2,920
148,5568,811,2081,5174.4,2240
149,5610,820,2627,1478.4,560
150,5591,815,3353,6712.2,2260
151,5612,821,3762,2310,1400
152,5629,829,2696,211.2,80
153,5582,820,2092,2138.4,720
154,5559,825,2663,5438.4,2060
155,5555,801,3598,1188,600
156,5610,809,2750,5346,1800
157,5619,800,2087,693,420
158,5606,806,3482,3682.8,1240
159,5583,824,3496,3537.6,1340
160,5633,820,3775,2851.2,960
161,5580,811,3897,1161.6,440
162,5613,808,3428,2098.8,1060
163,5632,829,3916,3168,1920
164,5573,800,3616,2541,1100
165,5591,811,3130,2244,1360
166,5592,813,2908,1531.2,580
167,5550,816,2353,6831,2300
168,5575,822,3372,877.8,380
169,5632,810,3568,2336.4,1180
170,5552,817,2326,1742.4,880
171,5558,806,2204,1188,600
172,5621,829,2969,3597,2180
173,5571,828,2786,1221,740
174,5623,804,3149,6712.2,2260
175,5563,806,3004,3088.8,1560
176,5575,799,3614,1353,820
177,5564,801,2319,4712.4,2380
178,5609,827,2595,158.4,80
179,5577,828,3771,1155,700
180,5585,801,3898,2706,1640
181,5550,810,3127,3649.8,1580
182,5571,812,3405,1841.4,620
183,5562,824,2992,4158,1800
184,5586,814,3816,475.2,240
185,5629,812,3090,1425.6,720
186,5632,828,3391,5128.2,2220
187,5623,801,3864,5385.6,2040
188,5619,817,3856,1940.4,980
189,5556,809,3080,858,520
190,5560,822,3815,726,440
191,5572,820,3560,686.4,260
192,5601,823,3411,2818.2,1220
193,5626,816,3794,2376,900
194,5585,820,2604,4811.4,1620
195,5563,798,3924,2442,1480
196,5607,803,2089,653.4,220
197,5577,810,3048,2937,1780
198,5572,820,3935,528,320
199,5630,798,2208,3854.4,1460
200,5606,826,3798,3801.6,1280
201,5559,824,3057,1782,900
202,5597,829,2568,3801.6,1920
203,5621,801,3445,5940,2000
204,5606,811,2319,6652.8,2240
205,5605,830,3163,3484.8,1760
206,5609,822,3239,3326.4,1680
207,5585,819,3917,3597,2180
208,5612,805,2093,772.2,260
209,5553,809,2625,1801.8,780
210,5624,825,3694,1617,700
211,5575,829,2119,4930.2,1660
212,5622,815,2686,5643,1900
213,5603,807,3378,237.6,80
214,5628,814,2026,3267,1100
215,5633,810,2605,4930.2,1660
216,5608,826,3208,3049.2,1540
217,5564,827,2636,3524.4,1780
218,5564,828,3597,2481.6,940
219,5572,821,3585,6118.2,2060
220,5598,811,2003,3220.8,1220
221,5564,827,2763,1584,600
222,5631,800,2088,2692.8,1360
223,5558,809,3265,2257.2,1140
224,5581,806,3832,6712.2,2260
225,5578,809,3577,1267.2,640
226,5601,815,2579,2864.4,1240
227,5574,809,2260,2019.6,680
228,5603,814,2184,5121.6,1940
229,5615,806,2622,1089,660
230,5574,808,3437,528,320
231,5620,800,3383,554.4,280
232,5608,807,3867,5702.4,2160
233,5554,825,2481,3999.6,2020
234,5593,816,3537,3801.6,1920
235,5601,810,3048,752.4,380
236,5608,811,2931,3801.6,1280
237,5555,807,3080,4593.6,1740
238,5620,819,2088,970.2,420
239,5617,822,2151,5128.2,2220
240,5564,809,3649,5464.8,1840
241,5628,798,2002,3504.6,1180
242,5554,800,3236,3009.6,1140
243,5619,804,2921,2138.4,1080
244,5613,822,3840,646.8,280
245,5609,823,3883,6593.4,2220
246,5624,805,2473,4435.2,1680
247,5587,810,3452,653.4,220
248,5581,802,2672,2059.2,1040
249,5630,813,3958,4758.6,2060
250,5603,802,3515,2217.6,1120
251,5621,830,2308,673.2,340
252,5571,819,3352,5385.6,2040
253,5608,804,3100,462,200
254,5591,800,3628,858,520
255,5627,828,3342,3049.2,1540
256,5603,816,3635,2818.2,1220
257,5599,823,2797,2310,1400
258,5621,826,3029,1009.8,340
259,5624,810,2493,2316.6,780
260,5556,827,2684,4336.2,1460
261,5552,810,2836,5332.8,2020
262,5584,804,2876,1663.2,560
263,5587,830,2866,2587.2,1120
264,5589,821,2545,4039.2,2040
265,5561,815,2524,330,200
266,5624,813,3213,4329.6,1640
267,5588,810,2503,1478.4,640
268,5586,810,3448,3696,2240
269,5563,811,2067,1755.6,760
270,5604,821,3209,5121.6,1940
271,5563,817,2296,2494.8,1260
272,5550,813,2777,4573.8,1980
273,5619,830,2305,2732.4,920
274,5577,802,3341,3141.6,1360
275,5587,812,3943,4857.6,1840
276,5596,803,2532,1306.8,440
277,5599,816,3778,5108.4,1720
278,5621,822,2137,712.8,240
279,5588,819,2051,2772,1400
280,5609,804,3177,891,540
281,5608,800,3532,2197.8,740
282,5595,799,3353,475.2,160
283,5625,829,2110,1603.8,540
284,5615,810,3797,1062.6,460
285,5626,823,2568,646.8,280
286,5553,811,2658,435.6,220
287,5584,826,3644,1062.6,460
288,5562,826,3235,2534.4,960
289,5602,799,3050,990,500
290,5612,813,2046,3564,1800
291,5632,809,2463,2956.8,1280
292,5621,800,2782,5108.4,1720
293,5596,802,2029,2356.2,1020
294,5554,807,3491,5227.2,1980
295,5574,826,3989,726,440
296,5555,810,3937,877.8,380
297,5560,806,2639,594,360
298,5621,829,2540,4204.2,1820
299,5618,818,2215,1155,700
300,5600,825,2029,528,320
301,5615,799,3592,2541,1100
302,5555,822,3913,4098.6,1380
303,5582,809,3338,4204.2,1820
304,5621,820,3797,4851,2100
305,5601,816,3397,3201,1940
306,5564,819,3162,2673,900
307,5590,811,2795,1603.8,540
308,5602,822,3146,3148.2,1060
309,5596,806,2635,1940.4,980
310,5591,821,3901,5821.2,1960
311,5551,825,3068,1518,920
312,5608,810,3936,3597,2180
313,5559,801,2754,3003,1300
314,5621,828,2920,3366,1700
315,5612,821,3228,2178,1320
316,5629,810,2242,4435.2,1680
317,5630,815,3187,2692.8,1360
318,5603,799,2526,3049.2,1320
319,5626,799,3222,3484.8,1760
320,5630,809,3691,6771.6,2280
321,5602,804,2722,4455,1500
322,5595,815,2914,1702.8,860
323,5623,803,3498,429,260
324,5609,826,2116,211.2,80
325,5619,810,3636,1742.4,660
326,5627,818,2237,772.2,260
327,5571,806,3170,3432,2080
328,5561,817,2568,462,200
329,5613,810,2288,4111.8,1780
330,5624,801,3059,1953.6,740
331,5628,810,3730,277.2,140
332,5566,825,2048,5128.2,2220
333,5630,816,3198,435.6,220
334,5575,817,3494,3366,2040
335,5629,800,3262,6593.4,2220
336,5568,808,3068,4224,1600
337,5616,807,2293,792,400
338,5614,820,2202,2178,1100
339,5557,827,3044,2613.6,880
340,5556,815,3551,475.2,180
341,5568,798,3660,726,440
342,5620,813,2552,3247.2,1640
343,5618,806,3023,1742.4,660
344,5557,815,2496,3960,2000
345,5575,804,2903,2508,1520
346,5553,815,2283,2435.4,820
347,5590,813,3422,3762,1900
348,5605,808,3716,231,100
349,5601,807,3324,4910.4,1860
350,5555,829,2178,231,140
351,5622,820,3985,6118.2,2060
352,5558,808,3010,3696,2240
353,5604,830,2005,5464.8,1840
354,5594,827,2648,1841.4,620
355,5581,823,2739,6058.8,2040
356,5626,805,3359,475.2,160
357,5577,826,2865,5808,2200
358,5552,813,2541,2587.2,980
359,5601,818,2018,132,80
360,5596,830,3199,1584,800
361,5620,815,2691,1108.8,420
362,5559,827,2378,1584,960
363,5629,819,2905,297,180
364,5552,813,2163,3088.8,1560
365,5615,817,2603,2640,1000
366,5612,827,3329,712.8,360
367,5627,817,3825,1056,640
368,5550,810,2107,2415.6,1220
369,5555,830,2471,1570.8,680
370,5587,806,2404,594,200
371,5563,821,3663,831.6,360
372,5570,821,3138,3557.4,1540
373,5578,816,3592,330,200
374,5565,805,3262,4395.6,1480
375,5631,806,3186,4435.2,2240
376,5606,814,3516,1069.2,540
377,5621,828,3626,1386,840
378,5594,811,2296,1755.6,760
379,5618,816,2391,4897.2,2120
380,5593,823,2996,5035.8,2180
381,5611,808,3284,5860.8,2220
