Product,Price,Currency,FirstAdded
Apple,2.00,USD,2019-05-01
Apricot,1.55,USD,2019-05-01
Avocado,3.00,USD,2019-05-01
Banana,1.80,USD,2019-05-01
Blackberry,2.00,USD,2019-05-01
Blackcurrant,2.50,USD,2019-05-01
Blueberry,2.00,USD,2019-05-01
Cherry,3.50,USD,2019-05-01
Coconut,3.00,USD,2019-05-01
Cranberry,1.10,USD,2019-05-01
Date,1.35,USD,2019-05-01
Fig,1.65,USD,2019-05-01
Goji berry,0.60,USD,2019-05-01
Grape,2.10,USD,2019-05-01
Grapefruit,1.45,USD,2019-05-01
Kiwi,1.40,USD,2019-05-01
Lemon,0.35,USD,2019-05-01
Mango,1.85,USD,2019-05-01
Watermelon,0.35,USD,2019-05-01
Nectarine,0.60,USD,2019-05-01
Orange,0.85,USD,2019-05-01
Papaya,3.35,USD,2019-05-01
Peach,2.00,USD,2019-05-01
Pear,2.35,USD,2019-05-01
Plum,1.20,USD,2019-05-01
Pineapple,4.25,USD,2019-05-01
Pomelo,1.20,USD,2019-05-01
Raspberry,2.05,USD,2019-05-01
Strawberry,3.15,USD,2019-05-01
Cloudberry,4.20,USD,2019-05-01
Guava,2.65,USD,2019-05-01
Nance,1.80,USD,2019-05-01
Yuzu,2.00,USD,2019-05-01
