CountryCode,CityName,Pop2017,Latitude,Longitude
AD,Andorra La Vella,20430,42.5,1.51667
AD,Canillo,3292,42.5667,1.6
AD,Encamp,11224,42.5333,1.58333
AD,La Massana,7211,42.55,1.51667
AD,Les Escaldes,15854,42.5,1.53333
AD,Ordino,2553,42.55,1.53333
AD,Sant Julia De Loria,8020,42.4667,1.5
AE,Abu Dhabi,603687,24.4667,54.3667
AE,Dubai,1137376,25.2582,55.3047
AE,Sharjah,543942,25.3573,55.4033
AF,Acin,15098,34.0825,70.6682
AF,Anar Darreh,10023,32.7587,61.654
AF,Andarab,27034,35.6335,69.2602
AF,Asadabad,48400,34.8731,71.147
AF,Asmar,15708,35.0333,71.3581
AF,Aybak,47877,36.2647,68.0155
AF,Azrow,12526,34.1736,69.6457
AF,Baglan,108481,36.1307,68.7083
AF,Bagrami,30256,34.4938,69.2743
AF,Baraki Barak,22305,33.9675,68.9486
AF,Cah Ab,23424,37.3977,69.8146
AF,Carikar,53693,35.0166,69.174
AF,Ciras,12778,35.4167,65.9823
AF,Dawlatabad,13603,36.4326,64.9207
AF,Deh Rawud,25683,32.6241,65.4597
AF,Eskasem,12120,36.7069,71.5707
AF,Farah,43574,32.3745,62.1164
AF,Gardan Diwal,6815,34.509,68.2607
AF,Gardez,103732,33.5974,69.2259
AF,Gazni,143049,33.5508,68.4225
AF,Geresk,43638,31.8209,64.57
AF,Herat,272880,34.3482,62.1997
AF,Jalalabad,200389,34.4265,70.4515
AF,Jurm,12121,36.8648,70.8342
AF,Kabul,3043589,34.5167,69.1833
AF,Kholm,64954,36.6974,67.6983
AF,Khowst,96246,33.3395,69.9204
AF,Kuhestan,12087,34.6539,61.1978
AF,Kusk,16952,33.2957,61.9522
AF,Lar Gerd,11635,35.4894,66.6641
AF,Mehtar Lam,17350,34.6714,70.2094
AF,Mirabad,14160,30.4362,61.8383
AF,Nahrin,22389,36.0649,69.1334
AF,Nuristan,17072,34.95,70.4
AF,Orgun,10665,32.9011,69.1528
AF,Pagman,49173,34.5875,68.9533
AF,Panjab,13471,34.3879,67.0233
AF,Qandahar,391230,31.6133,65.7101
AF,Qarchi Gak,8942,37.04,66.7889
AF,Qarqin,15023,37.4045,66.0744
AF,Qunduz,161943,36.729,68.857
AF,Rostaq,25644,37.126,69.8304
AF,Rudbar,11034,30.15,62.6
AF,Sahrak,15967,34.1074,64.3052
AF,Sangin,13579,32.0728,64.8359
AF,Sar E Pul,52138,36.2154,65.9325
AF,Sharan,7368,33.1467,68.7917
AF,Shibarghan,55658,36.6676,65.7529
AF,Sindand,29273,33.3029,62.1474
AF,Tagab,6400,34.855,69.6492
AF,Taloqan,64275,36.7341,69.5336
AF,Taywarah,14398,33.5212,64.4212
AF,Tir Pol,6979,34.5943,61.269
AF,Tokzar,12021,35.9483,66.4213
AF,Uruzgan,13400,32.9278,66.6325
AF,Zaranj,33894,30.9667,61.8833
AG,All Saints,2526,17.05,61.8
AG,Carlisle,831,17.1333,61.8
AG,Codrington,682,17.6333,61.8333
AG,Freetown,623,17.05,61.7
AG,Liberta,1668,17.0333,61.7833
AG,Old Road,623,17.0167,61.8333
AG,Parham,969,17.0833,61.7667
AG,Saint Johns,21926,17.1167,61.85
AG,Swetes,727,17.05,61.8
AI,The Valley,1379,18.2167,63.05
AL,Bajram Curri,7967,42.3572,20.0731
AL,Ballsh,10361,40.5989,19.7347
AL,Berat,47606,40.7058,19.9522
AL,Bilisht,7114,40.6275,20.99
AL,Bulqize,11212,41.4917,20.2219
AL,Burrel,15539,41.6103,20.0089
AL,Cerrik,14269,41.0317,19.9758
AL,Corovode,14046,40.5042,20.2272
AL,Delvine,3916,39.9511,20.0978
AL,Durres,122034,41.3231,19.4414
AL,Elbasan,100903,41.1125,20.0822
AL,Erseke,7890,40.3378,20.6789
AL,Fier,59719,40.7239,19.5561
AL,Fierze,742,42.2647,20.0269
AL,Fushe Arrez,2438,42.0622,20.0167
AL,Fushe Kruje,10458,41.4783,19.7178
AL,Gjirokaster,23437,40.0758,20.1389
AL,Gramsh,11556,40.8697,20.1844
AL,Himare,4596,40.1017,19.7447
AL,Kamze,11026,41.3817,19.7603
AL,Kavaje,29354,41.1856,19.5569
AL,Kelcyre,2486,40.3131,20.1894
AL,Kerrabe,1177,41.2156,19.9714
AL,Klos,683,41.4844,20.1081
AL,Konispol,1349,39.6589,20.1814
AL,Koplik,4078,42.2136,19.4364
AL,Korce,58259,40.6186,20.7808
AL,Kraste,1168,41.4225,20.205
AL,Kruje,21286,41.5092,19.7928
AL,Kucove,18166,40.8003,19.9167
AL,Kukes,17972,42.0769,20.4219
AL,Kurbnesh,1429,41.7797,20.0836
AL,Lac,24825,41.6356,19.7131
AL,Leskovik,2655,40.1514,20.5972
AL,Lezhe,18695,41.7836,19.6436
AL,Libohove,3651,40.0311,20.2631
AL,Librazhd,12691,41.1794,20.315
AL,Lushnje,41423,40.9419,19.705
AL,Maliq,3735,40.7058,20.6997
AL,Mamurras,8282,41.5775,19.6922
AL,Memaliaj,4951,40.3458,19.9792
AL,Milot,2157,41.6803,19.7244
AL,Orikum,2604,40.3253,19.4714
AL,Patos,22679,40.6833,19.6194
AL,Peqin,7513,41.0461,19.7511
AL,Permet,10686,40.2336,20.3517
AL,Perrenjas,4015,41.0731,20.5489
AL,Peshkopi,15261,41.685,20.4289
AL,Pogradec,25758,40.9025,20.6525
AL,Polican,10663,40.6122,20.0981
AL,Puke,6495,42.0444,19.8997
AL,Roskovec,6657,40.7375,19.7022
AL,Rreshen,10064,41.7675,19.8756
AL,Rrogozhine,5620,41.0764,19.6653
AL,Rubik,2332,41.7744,19.7861
AL,Sarande,15147,39.8756,20.0053
AL,Selenice,6912,40.5306,19.6358
AL,Shengjin,2698,41.8136,19.5939
AL,Shijak,14138,41.3456,19.5672
AL,Shkoder,89102,42.0675,19.5131
AL,Tepelene,11955,40.2958,20.0192
AL,Tirana,374801,41.3275,19.8189
AL,Ulze,600,41.6828,19.8933
AL,Vlore,89528,40.4667,19.4897
AL,Vore,4973,41.3908,19.655
AM,Abovyan,1379,40.0489,44.5475
AM,Agarak,1278,41.0106,44.4675
AM,Agarakadzor,1195,39.7364,45.3456
AM,Aghavnadzor,1252,40.5842,44.6914
AM,Aghavnatun,2913,40.2336,44.2514
AM,Akhuryan,7672,40.7814,43.8964
AM,Aknalich,2654,40.1431,44.1483
AM,Aknashen,1362,40.0958,44.2861
AM,Alaverdi,13186,41.1306,44.6519
AM,Amasia,1675,40.9467,43.7814
AM,Amberd,1267,40.2417,44.2728
AM,Anushavan,1532,40.6419,43.9822
AM,Apaga,1634,40.0961,44.2511
AM,Aparan,5670,40.5961,44.3536
AM,Aragats,2952,40.3331,43.6581
AM,Aragyukh,999,40.4025,44.5436
AM,Aramus,3214,40.2511,44.6631
AM,Arapi,1738,40.7797,43.8006
AM,Ararat,6554,39.8094,44.7144
AM,Arazap,1373,40.0428,44.1458
AM,Archis,1235,41.1642,44.8725
AM,Areni,1718,39.7208,45.1839
