PlayerName,Age,Height_cm,Weight_kg,Country,College,DraftYear,DraftRound,DraftNumber
Aaron Brooks,33,182.88,72.45,USA,Oregon,2007,2007,2007
Aaron Gordon,22,205.74,99,USA,Arizona,2014,2014,2014
Aaron Harrison,23,198.12,94.5,USA,Kentucky,null,null,null
Aaron Jackson,32,190.5,82.35,USA,None,null,null,null
Abdel Nader,24,198.12,103.5,Egypt,Iowa State,2016,2016,2016
Adreian Payne,27,208.28,106.65,USA,Michigan State,2014,2014,2014
Al Horford,32,208.28,110.25,Dominican Republic,Florida,2007,2007,2007
Al Jefferson,33,208.28,126,USA,None,2004,2004,2004
Alan Williams,25,203.2,119.25,USA,California-Santa Barbara,null,null,null
Alec Burks,26,198.12,96.3,USA,Colorado,2011,2011,2011
Alec Peters,23,205.74,105.75,USA,Valparaiso,2017,2017,2017
Alex Abrines,24,198.12,85.5,Spain,None,2013,2013,2013
Alex Caruso,24,195.58,83.7,USA,Texas A&M,null,null,null
Alex Len,25,215.9,112.5,Ukraine,Maryland,2013,2013,2013
Alex Poythress,24,205.74,105.75,USA,Kentucky,null,null,null
Al-Farouq Aminu,27,205.74,99,USA,Wake Forest,2010,2010,2010
Alfonzo McKinnie,25,203.2,96.75,USA,None,null,null,null
Allen Crabbe,26,198.12,96.75,USA,California,2013,2013,2013
Amir Johnson,31,205.74,108,USA,None,2005,2005,2005
Andre Drummond,24,210.82,125.55,USA,Connecticut,2012,2012,2012
Andre Iguodala,34,198.12,96.75,USA,Arizona,2004,2004,2004
Andre Ingram,32,190.5,85.5,USA,American,null,null,null
Andre Roberson,26,200.66,94.5,USA,Colorado,2013,2013,2013
Andrew Bogut,33,213.36,117,Australia,Utah,2005,2005,2005
Andrew Harrison,23,198.12,95.85,USA,Kentucky,2015,2015,2015
Andrew White,25,200.66,94.5,USA,Syracuse,null,null,null
Andrew Wiggins,23,203.2,90.9,Canada,Kansas,2014,2014,2014
Ante Zizic,21,210.82,112.5,Croatia,None,2016,2016,2016
Anthony Brown,25,200.66,100.8,USA,Stanford,2015,2015,2015
Anthony Davis,25,208.28,113.85,USA,Kentucky,2012,2012,2012
Anthony Tolliver,33,203.2,108,USA,Creighton,null,null,null
Antonio Blakeney,21,193.04,88.65,USA,Louisiana State,null,null,null
Antonius Cleveland,24,198.12,87.75,USA,Southeast Missouri State,null,null,null
Aron Baynes,31,208.28,117,Australia,Washington State,null,null,null
Arron Afflalo,32,195.58,94.5,USA,UCLA,2007,2007,2007
Austin Rivers,25,193.04,90,USA,Duke,2012,2012,2012
Avery Bradley,27,187.96,81,USA,Texas,2010,2010,2010
Bam Adebayo,20,208.28,114.75,USA,Kentucky,2017,2017,2017
Ben McLemore,25,195.58,87.75,USA,Kansas,2013,2013,2013
Ben Moore,23,203.2,99,USA,Southern Methodist,null,null,null
Ben Simmons,21,208.28,103.5,Australia,Louisiana State,2016,2016,2016
Bismack Biyombo,25,205.74,114.75,Dominican Republic,None,2011,2011,2011
Blake Griffin,29,208.28,112.95,USA,Oklahoma,2009,2009,2009
Boban Marjanovic,29,220.98,130.5,Serbia,None,null,null,null
Bobby Brown,33,187.96,78.75,USA,Cal State-Fullerton,null,null,null
Bobby Portis,23,210.82,111.6,USA,Arkansas,2015,2015,2015
Bogdan Bogdanovic,25,198.12,92.25,Serbia,None,2014,2014,2014
Bojan Bogdanovic,29,203.2,103.5,Croatia,None,2011,2011,2011
Bradley Beal,25,195.58,93.15,USA,Florida,2012,2012,2012
Brandan Wright,30,208.28,105.75,USA,North Carolina,2007,2007,2007
Brandon Ingram,20,205.74,85.5,USA,Duke,2016,2016,2016
Brandon Jennings,28,185.42,76.5,USA,None,2009,2009,2009
Brandon Paul,27,193.04,90,USA,None,null,null,null
Briante Weber,25,187.96,74.25,USA,Virginia Commonwealth,null,null,null
Brice Johnson,24,208.28,103.5,USA,North Carolina,2016,2016,2016
Brook Lopez,30,213.36,120.6,USA,Stanford,2008,2008,2008
Bruno Caboclo,22,205.74,92.25,Brazil,None,2014,2014,2014
Bryn Forbes,24,190.5,85.5,USA,Michigan State,null,null,null
Buddy Hield,24,193.04,96.3,Bahamas,Oklahoma,2016,2016,2016
C.J. Miles,31,198.12,101.25,USA,None,2005,2005,2005
C.J. Williams,28,195.58,103.5,USA,North Carolina State,null,null,null
Caleb Swanigan,21,203.2,112.5,USA,Purdue,2017,2017,2017
Cameron Payne,23,190.5,83.25,USA,Murray State,2015,2015,2015
Caris LeVert,23,200.66,91.35,USA,Michigan,2016,2016,2016
Carmelo Anthony,34,203.2,108,USA,Syracuse,2003,2003,2003
Cedi Osman,23,203.2,96.75,Turkey,None,2015,2015,2015
Chandler Parsons,29,208.28,103.5,USA,Florida,2011,2011,2011
Channing Frye,35,210.82,114.75,USA,Arizona,2005,2005,2005
Charles Cooke,23,195.58,88.2,USA,Dayton,null,null,null
Cheick Diallo,21,205.74,99,Mali,Kansas,2016,2016,2016
Chinanu Onuaku,21,208.28,110.25,USA,Louisville,2016,2016,2016
Chris Boucher,25,208.28,90,Canada,Oregon,null,null,null
Chris McCullough,23,205.74,96.75,USA,Syracuse,2015,2015,2015
Chris Paul,33,182.88,78.75,USA,Wake Forest,2005,2005,2005
CJ McCollum,26,190.5,85.5,USA,Lehigh,2013,2013,2013
Clint Capela,24,208.28,108,Switzerland,None,2014,2014,2014
Cody Zeller,25,213.36,108,USA,Indiana,2013,2013,2013
Cole Aldrich,29,210.82,113.85,USA,Kansas,2010,2010,2010
Corey Brewer,32,205.74,83.7,USA,Florida,2007,2007,2007
Cory Joseph,26,190.5,85.5,Canada,Texas,2011,2011,2011
Courtney Lee,32,195.58,90,USA,Western Kentucky,2008,2008,2008
Cristiano Felicio,25,205.74,126,Brazil,None,null,null,null
D.J. Augustin,30,182.88,82.35,USA,Texas,2008,2008,2008
D.J. Wilson,22,208.28,106.2,USA,Michigan,2017,2017,2017
Dakari Johnson,22,213.36,114.75,USA,Kentucky,2015,2015,2015
Damian Jones,23,213.36,110.25,USA,Vanderbilt,2016,2016,2016
Damian Lillard,27,190.5,87.75,USA,Weber State,2012,2012,2012
Damien Wilkins,38,198.12,97.65,USA,Georgia,null,null,null
Damion Lee,25,198.12,94.5,USA,Louisville,null,null,null
Damyean Dotson,24,195.58,94.5,USA,Houston,2017,2017,2017
D'Angelo Russell,22,195.58,87.75,USA,Ohio State,2015,2015,2015
Daniel Hamilton,22,200.66,87.75,USA,Connecticut,2016,2016,2016
Daniel Theis,26,205.74,109.35,Germany,None,null,null,null
Danilo Gallinari,29,208.28,101.25,Italy,None,2008,2008,2008
Danny Green,31,198.12,96.75,USA,North Carolina,2009,2009,2009
Dante Cunningham,31,203.2,103.5,USA,Villanova,2009,2009,2009
Dante Exum,22,198.12,85.5,Australia,None,2014,2014,2014
Danuel House,25,200.66,99,USA,Texas A&M,null,null,null
Dario Saric,24,208.28,100.35,Croatia,None,2014,2014,2014
Darius Miller,28,203.2,101.25,USA,Kentucky,2012,2012,2012
Darrell Arthur,30,205.74,105.75,USA,Kansas,2008,2008,2008
Darren Collison,30,187.96,83.25,USA,UCLA,2009,2009,2009
Darrun Hilliard,25,198.12,99,USA,Villanova,2015,2015,2015
David Nwaba,25,193.04,94.05,USA,None,null,null,null
David Stockton,27,180.34,74.25,USA,Gonzaga,null,null,null
David West,37,205.74,112.5,USA,Xavier,2003,2003,2003
Davis Bertans,25,208.28,94.5,Latvia,None,2011,2011,2011
Davon Reed,23,198.12,94.5,USA,Miami (FL),2017,2017,2017
De'Aaron Fox,20,190.5,78.75,USA,Kentucky,2017,2017,2017
DeAndre' Bembry,23,198.12,94.5,USA,Saint Joseph's,2016,2016,2016
DeAndre Jordan,29,210.82,119.25,USA,Texas A&M,2008,2008,2008
DeAndre Liggins,30,198.12,94.05,USA,Kentucky,2011,2011,2011
Dejounte Murray,21,195.58,76.5,USA,Washington,2016,2016,2016
Delon Wright,26,195.58,85.5,USA,Utah,2015,2015,2015
DeMar DeRozan,28,200.66,99,USA,Southern California,2009,2009,2009
DeMarcus Cousins,27,210.82,121.5,USA,Kentucky,2010,2010,2010
DeMarre Carroll,31,203.2,96.75,USA,Missouri,2009,2009,2009
Demetrius Jackson,23,185.42,90.45,USA,Notre Dame,2016,2016,2016
Dennis Schroder,24,185.42,77.4,Germany,None,2013,2013,2013
Dennis Smith,20,190.5,87.75,USA,North Carolina State,2017,2017,2017
